====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 16448.E+01 A ;
  Layer # 1- Density = 6.021E22 atoms/cm3 = 2.698 g/cm3
  Layer # 1- Al = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
164476.E-02  4721.27E-03  4508.05E-08
328951.E-02  4724.82E-03  1313.01E-07
493426.E-02  4732.21E-03  2671.41E-07
657901.E-02  4743.85E-03  4552.25E-07
822376.E-02  4760.24E-03  6146.38E-07
986851.E-02  4781.26E-03  7072.67E-07
115133.E-01  4807.59E-03  7253.36E-07
131580.E-01  4823.64E-03  4098.38E-07
148028.E-01  4838.57E-03  4930.14E-07
164475.E-01  4857.30E-03  5690.51E-07
180923.E-01  4877.72E-03  6476.15E-07
197370.E-01  4900.33E-03  7162.97E-07
213818.E-01  4923.61E-03  7694.86E-07
230265.E-01  4947.86E-03  7928.86E-07
246713.E-01  4973.32E-03  7050.38E-07
263160.E-01  4997.10E-03  7039.46E-07
279608.E-01  5022.31E-03  7144.35E-07
296055.E-01  5047.64E-03  6879.16E-07
312503.E-01  5074.58E-03  8936.46E-07
328950.E-01  5100.93E-03  6685.53E-07
345398.E-01  5127.67E-03  6849.26E-07
361845.E-01  5155.12E-03  6444.49E-07
378293.E-01  5184.25E-03  7179.39E-07
394740.E-01  5213.08E-03  7741.23E-07
411188.E-01  5242.54E-03  6939.81E-07
427635.E-01  5273.24E-03  7363.19E-07
444083.E-01  5304.16E-03  6787.55E-07
460530.E-01  5336.55E-03  7778.59E-07
476978.E-01  5369.27E-03  7740.06E-07
493425.E-01  5402.09E-03  8684.13E-07
509873.E-01  5435.13E-03  6670.79E-07
526320.E-01  5469.08E-03  8699.72E-07
542768.E-01  5504.10E-03  8252.56E-07
559215.E-01  5540.15E-03  8367.41E-07
575663.E-01  5576.92E-03  8514.40E-07
592110.E-01  5614.33E-03  7102.63E-07
608558.E-01  5653.69E-03  7707.65E-07
625005.E-01  5693.27E-03  8354.28E-07
641453.E-01  5733.93E-03  9193.17E-07
657900.E-01  5776.59E-03  8313.40E-07
674348.E-01  5819.28E-03  8559.60E-07
690795.E-01  5863.41E-03  9032.03E-07
707243.E-01  5909.93E-03  8900.21E-07
723690.E-01  5956.62E-03  8066.53E-07
740138.E-01  6005.18E-03  9336.74E-07
756585.E-01  6055.41E-03  9552.51E-07
773033.E-01  6106.24E-03  9394.59E-07
789480.E-01  6160.19E-03  1033.91E-06
805928.E-01  6215.07E-03  9078.17E-07
822375.E-01  6271.51E-03  9781.66E-07
838823.E-01  6328.91E-03  9846.24E-07
855270.E-01  6388.71E-03  1023.65E-06
871718.E-01  6451.65E-03  9491.39E-07
888165.E-01  6515.89E-03  9747.73E-07
904613.E-01  6582.23E-03  1017.31E-06
921060.E-01  6652.09E-03  1055.25E-06
937508.E-01  6724.70E-03  1108.64E-06
953955.E-01  6801.95E-03  1149.51E-06
970403.E-01  6879.86E-03  1188.10E-06
986850.E-01  6962.17E-03  1159.60E-06
100330.E+00  7048.41E-03  1113.84E-06
101975.E+00  7137.96E-03  1194.20E-06
103619.E+00  7232.38E-03  1238.39E-06
105264.E+00  7331.46E-03  1205.78E-06
106909.E+00  7435.41E-03  1174.82E-06
108554.E+00  7544.61E-03  1228.91E-06
110198.E+00  7660.59E-03  1427.60E-06
111843.E+00  7781.81E-03  1434.40E-06
113488.E+00  7911.67E-03  1405.47E-06
115133.E+00  8049.10E-03  1524.32E-06
116777.E+00  8194.16E-03  1532.41E-06
118422.E+00  8351.18E-03  1523.77E-06
120067.E+00  8520.29E-03  1575.83E-06
121712.E+00  8701.50E-03  1712.93E-06
123356.E+00  8895.09E-03  1671.33E-06
125001.E+00  9105.31E-03  1855.80E-06
126646.E+00  9331.92E-03  1940.92E-06
128291.E+00  9582.90E-03  2041.56E-06
129935.E+00  9857.03E-03  2200.68E-06
131580.E+00  1015.79E-02  2417.98E-06
133225.E+00  1048.73E-02  2690.76E-06
134870.E+00  1084.71E-02  2910.26E-06
136514.E+00  1123.12E-02  3220.99E-06
138159.E+00  1161.50E-02  3728.35E-06
139804.E+00  1192.16E-02  4516.48E-06
141449.E+00  1199.11E-02  5991.97E-06
143093.E+00  1153.71E-02  8001.07E-06
144738.E+00  1024.38E-02  1024.76E-05
146383.E+00  8065.73E-03  1129.24E-05
148028.E+00  5427.45E-03  1026.32E-05
149672.E+00  3022.50E-03  7351.71E-06
151317.E+00  1354.96E-03  4066.66E-06
152962.E+00  4793.00E-04  1716.55E-06
154607.E+00  1305.12E-04  5544.79E-07
156251.E+00  2659.68E-05  1304.72E-07
157896.E+00  3749.35E-06  2099.75E-08
159541.E+00  3585.29E-07  2366.34E-09
161186.E+00  3392.80E-08  3465.57E-10
162830.E+00  0000.00E+00  0000.00E+00
164475.E+00  0000.00E+00  0000.00E+00
