====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+05 AAA ;
  Layer # 1- Density = 6.021E22 atoms/cm3 = 2.698 g/cm3
  Layer # 1- Al = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
164476.E-02  692991.E-09  198547.E-09
328951.E-02  653836.E-09  573340.E-09
493426.E-02  629421.E-09  974011.E-09
657901.E-02  613996.E-09  152164.E-08
822376.E-02  604332.E-09  204040.E-08
986851.E-02  601455.E-09  247738.E-08
115133.E-01  601265.E-09  239636.E-08
131580.E-01  585715.E-09  138010.E-08
148028.E-01  573823.E-09  167139.E-08
164475.E-01  568323.E-09  186332.E-08
180923.E-01  567776.E-09  214178.E-08
197370.E-01  570393.E-09  230849.E-08
213818.E-01  574233.E-09  234990.E-08
230265.E-01  578127.E-09  239432.E-08
246713.E-01  583076.E-09  233007.E-08
263160.E-01  587735.E-09  233629.E-08
279608.E-01  592721.E-09  235273.E-08
296055.E-01  597290.E-09  231997.E-08
312503.E-01  603059.E-09  260182.E-08
328950.E-01  609171.E-09  233343.E-08
345398.E-01  613842.E-09  232064.E-08
361845.E-01  619656.E-09  236837.E-08
378293.E-01  626079.E-09  242617.E-08
394740.E-01  631776.E-09  255315.E-08
411188.E-01  638428.E-09  243256.E-08
427635.E-01  644863.E-09  253188.E-08
444083.E-01  651667.E-09  245999.E-08
460530.E-01  658457.E-09  268397.E-08
476978.E-01  665659.E-09  265292.E-08
493425.E-01  672842.E-09  275185.E-08
509873.E-01  681182.E-09  253826.E-08
526320.E-01  688162.E-09  282177.E-08
542768.E-01  695455.E-09  277380.E-08
559215.E-01  703859.E-09  278087.E-08
575663.E-01  711877.E-09  290232.E-08
592110.E-01  720187.E-09  267490.E-08
608558.E-01  728373.E-09  278389.E-08
625005.E-01  738257.E-09  292018.E-08
641453.E-01  746978.E-09  303342.E-08
657900.E-01  756134.E-09  294441.E-08
674348.E-01  765422.E-09  300088.E-08
690795.E-01  776516.E-09  307875.E-08
707243.E-01  786533.E-09  316875.E-08
723690.E-01  798050.E-09  303664.E-08
740138.E-01  808375.E-09  321931.E-08
756585.E-01  820591.E-09  328242.E-08
773033.E-01  833828.E-09  334661.E-08
789480.E-01  845581.E-09  351243.E-08
805928.E-01  859696.E-09  334205.E-08
822375.E-01  874023.E-09  347018.E-08
838823.E-01  889004.E-09  347750.E-08
855270.E-01  903890.E-09  364939.E-08
871718.E-01  919841.E-09  350677.E-08
888165.E-01  936906.E-09  362608.E-08
904613.E-01  956038.E-09  375752.E-08
921060.E-01  975197.E-09  386206.E-08
937508.E-01  993631.E-09  403900.E-08
953955.E-01  101535.E-08  409518.E-08
970403.E-01  103641.E-08  422951.E-08
986850.E-01  105797.E-08  427770.E-08
100330.E+00  108315.E-08  421352.E-08
101975.E+00  111093.E-08  443567.E-08
103619.E+00  113833.E-08  456403.E-08
105264.E+00  116765.E-08  462608.E-08
106909.E+00  120051.E-08  459607.E-08
108554.E+00  123599.E-08  476932.E-08
110198.E+00  127264.E-08  522132.E-08
111843.E+00  131377.E-08  533724.E-08
113488.E+00  135537.E-08  542574.E-08
115133.E+00  140592.E-08  569662.E-08
116777.E+00  145541.E-08  588393.E-08
118422.E+00  151598.E-08  603690.E-08
120067.E+00  158234.E-08  625395.E-08
121712.E+00  165784.E-08  668899.E-08
123356.E+00  173988.E-08  681662.E-08
125001.E+00  183383.E-08  738412.E-08
126646.E+00  193706.E-08  779428.E-08
128291.E+00  206504.E-08  829636.E-08
129935.E+00  221773.E-08  898698.E-08
131580.E+00  240824.E-08  987304.E-08
133225.E+00  263753.E-08  110252.E-07
134870.E+00  293944.E-08  121618.E-07
136514.E+00  336576.E-08  138763.E-07
138159.E+00  402387.E-08  164178.E-07
139804.E+00  518198.E-08  206618.E-07
141449.E+00  741588.E-08  285297.E-07
143093.E+00  114489.E-07  404545.E-07
144738.E+00  169283.E-07  546996.E-07
146383.E+00  212171.E-07  631437.E-07
148028.E+00  213345.E-07  593757.E-07
149672.E+00  166316.E-07  437508.E-07
151317.E+00  988034.E-08  247507.E-07
152962.E+00  444804.E-08  106822.E-07
154607.E+00  150335.E-08  348588.E-08
156251.E+00  369934.E-09  834567.E-09
157896.E+00  634567.E-10  136031.E-09
159541.E+00  665729.E-11  153936.E-10
161186.E+00  622164.E-12  195247.E-11
162830.E+00  000000.E+00  000000.E+00
164475.E+00  000000.E+00  000000.E+00
