====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 80184.E+00 AAA ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
801850.E-03  5699.39E-06  5699.39E-06
160369.E-02  5588.94E-06  5588.94E-06
240553.E-02  5614.95E-06  5614.95E-06
320737.E-02  5640.58E-06  5640.58E-06
400921.E-02  5747.78E-06  5747.78E-06
481105.E-02  5838.71E-06  5838.71E-06
561289.E-02  5859.08E-06  5859.08E-06
641473.E-02  5981.78E-06  5981.78E-06
721657.E-02  6006.21E-06  6006.21E-06
801841.E-02  6004.71E-06  6004.71E-06
882025.E-02  6098.27E-06  6098.27E-06
962209.E-02  6198.21E-06  6198.21E-06
104239.E-01  6294.17E-06  6294.17E-06
112258.E-01  6403.69E-06  6403.69E-06
120276.E-01  6535.15E-06  6535.15E-06
128295.E-01  6505.67E-06  6505.67E-06
136313.E-01  6622.95E-06  6622.95E-06
144331.E-01  6766.50E-06  6766.50E-06
152350.E-01  6812.99E-06  6812.99E-06
160368.E-01  6891.32E-06  6891.32E-06
168387.E-01  6940.67E-06  6940.67E-06
176405.E-01  6869.57E-06  6869.57E-06
184423.E-01  6885.36E-06  6885.36E-06
192442.E-01  6925.08E-06  6925.08E-06
200460.E-01  7072.72E-06  7072.72E-06
208479.E-01  7242.45E-06  7242.45E-06
216497.E-01  7355.52E-06  7355.52E-06
224515.E-01  7434.54E-06  7434.54E-06
232534.E-01  7446.10E-06  7446.10E-06
240552.E-01  7417.76E-06  7417.76E-06
248571.E-01  7539.63E-06  7539.63E-06
256589.E-01  7630.03E-06  7630.03E-06
264607.E-01  7643.45E-06  7643.45E-06
272626.E-01  7765.41E-06  7765.41E-06
280644.E-01  7860.28E-06  7860.28E-06
288663.E-01  7929.55E-06  7929.55E-06
296681.E-01  8162.95E-06  8162.95E-06
304699.E-01  8394.37E-06  8394.37E-06
312718.E-01  8518.05E-06  8518.05E-06
320736.E-01  8658.08E-06  8658.08E-06
328755.E-01  8787.48E-06  8787.48E-06
336773.E-01  8956.16E-06  8956.16E-06
344791.E-01  9141.91E-06  9141.91E-06
352810.E-01  9217.49E-06  9217.49E-06
360828.E-01  9322.66E-06  9322.66E-06
368847.E-01  9491.39E-06  9491.39E-06
376865.E-01  9594.71E-06  9594.71E-06
384883.E-01  9862.69E-06  9862.69E-06
392902.E-01  1015.50E-05  1015.50E-05
400920.E-01  1031.86E-05  1031.86E-05
408939.E-01  1052.71E-05  1052.71E-05
416957.E-01  1062.83E-05  1062.83E-05
424975.E-01  1087.02E-05  1087.02E-05
432994.E-01  1118.84E-05  1118.84E-05
441012.E-01  1156.66E-05  1156.66E-05
449031.E-01  1183.43E-05  1183.43E-05
457049.E-01  1210.58E-05  1210.58E-05
465067.E-01  1226.44E-05  1226.44E-05
473086.E-01  1260.15E-05  1260.15E-05
481104.E-01  1299.94E-05  1299.94E-05
489123.E-01  1359.09E-05  1359.09E-05
497141.E-01  1405.17E-05  1405.17E-05
505159.E-01  1444.15E-05  1444.15E-05
513178.E-01  1521.75E-05  1521.75E-05
521196.E-01  1588.70E-05  1588.70E-05
529215.E-01  1631.81E-05  1631.81E-05
537233.E-01  1694.17E-05  1694.17E-05
545251.E-01  1761.43E-05  1761.43E-05
553270.E-01  1848.62E-05  1848.62E-05
561288.E-01  1976.69E-05  1976.69E-05
569307.E-01  2091.51E-05  2091.51E-05
577325.E-01  2193.07E-05  2193.07E-05
585343.E-01  2368.98E-05  2368.98E-05
593362.E-01  2544.65E-05  2544.65E-05
601380.E-01  2745.77E-05  2745.77E-05
609399.E-01  3029.32E-05  3029.32E-05
617417.E-01  3346.35E-05  3346.35E-05
625435.E-01  3765.31E-05  3765.31E-05
633454.E-01  4275.62E-05  4275.62E-05
641472.E-01  4991.36E-05  4991.36E-05
649491.E-01  5975.02E-05  5975.02E-05
657509.E-01  7128.50E-05  7128.50E-05
665527.E-01  8352.85E-05  8352.85E-05
673546.E-01  9347.26E-05  9347.26E-05
681564.E-01  9541.78E-05  9541.78E-05
689583.E-01  8542.60E-05  8542.60E-05
697601.E-01  6602.32E-05  6602.32E-05
705619.E-01  4343.01E-05  4343.01E-05
713638.E-01  2357.65E-05  2357.65E-05
721656.E-01  1057.53E-05  1057.53E-05
729675.E-01  3890.33E-06  3890.33E-06
737693.E-01  1148.80E-06  1148.80E-06
745711.E-01  2781.06E-07  2781.06E-07
753730.E-01  4957.72E-08  4957.72E-08
761748.E-01  8148.50E-09  8148.50E-09
769767.E-01  8150.12E-10  8150.12E-10
777785.E-01  0000.00E+00  0000.00E+00
785803.E-01  0000.00E+00  0000.00E+00
793822.E-01  0000.00E+00  0000.00E+00
801840.E-01  0000.00E+00  0000.00E+00
