====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 80184.E+00 AAA ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 679344.E-01 A   Straggling = 346307.E-02 A
 Ion Lateral Range = 463056.E-02 A   Straggling = 627462.E-02 A
 Ion Radial  Range = 727209.E-02 A   Straggling = 508830.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
8018500.E-04 25480389.E-03 30014607.E-03 38595629.E-03 11262019.E-03 
1603690.E-03 25044995.E-03 28883665.E-03 42236870.E-03 15466135.E-03 
2405530.E-03 29256558.E-03 34477731.E-03 46944098.E-03 11441097.E-03 
3207370.E-03 18578481.E-03 21456458.E-03 40916676.E-03 17946353.E-03 
4009210.E-03 23142749.E-03 29207875.E-03 48034637.E-03 10846143.E-03 
4811050.E-03 21415945.E-03 24445389.E-03 41799131.E-03 14619464.E-03 
5612890.E-03 28911196.E-03 34083612.E-03 45230272.E-03 14669475.E-03 
6414730.E-03 31223766.E-03 35360005.E-03 46637984.E-03 12229919.E-03 
7216570.E-03 20383710.E-03 23773170.E-03 36349171.E-03 14540315.E-03 
8018410.E-03 28085746.E-03 32421796.E-03 37838581.E-03 16201570.E-03 
8820250.E-03 29029317.E-03 33880001.E-03 42903563.E-03 15908252.E-03 
9622090.E-03 24443646.E-03 28159966.E-03 39688062.E-03 12050172.E-03 
1042393.E-02 25806250.E-03 30167077.E-03 43130032.E-03 14397198.E-03 
1122577.E-02 26533750.E-03 30094702.E-03 42744695.E-03 13222018.E-03 
1202761.E-02 25264276.E-03 31629511.E-03 38656211.E-03 17282157.E-03 
1282945.E-02 28433261.E-03 33941573.E-03 39387162.E-03 17914893.E-03 
1363129.E-02 24631324.E-03 27401091.E-03 40043995.E-03 11924407.E-03 
1443313.E-02 26159336.E-03 31528024.E-03 35550620.E-03 15570556.E-03 
1523497.E-02 20115696.E-03 24640436.E-03 32710093.E-03 12507886.E-03 
1603681.E-02 24626226.E-03 29757006.E-03 35478317.E-03 15832523.E-03 
1683865.E-02 32770980.E-03 37281722.E-03 45383978.E-03 14174752.E-03 
1764049.E-02 25879198.E-03 31156260.E-03 41689191.E-03 14434553.E-03 
1844233.E-02 27369895.E-03 33027699.E-03 38246992.E-03 16022114.E-03 
