====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 1000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     8.E+04 A   Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   679.3E+02 A   Straggling =   346.3E+01 A
 Ion Lateral Range =   463.1E+01 A   Straggling =   627.5E+01 A
 Ion Radial  Range =   727.2E+01 A   Straggling =   508.8E+01 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =251
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -005.5115  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 064.6991  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
801850.E-03  1.1224E+00  0.0000E+00
160369.E-02  1.6213E+00  0.0000E+00
240553.E-02  1.3718E+00  0.0000E+00
320737.E-02  8.7299E-01  0.0000E+00
400921.E-02  1.7460E+00  0.0000E+00
481105.E-02  1.4966E+00  0.0000E+00
561289.E-02  1.9954E+00  0.0000E+00
641473.E-02  1.4966E+00  0.0000E+00
721657.E-02  1.6213E+00  0.0000E+00
801841.E-02  2.2448E+00  0.0000E+00
882025.E-02  1.8707E+00  0.0000E+00
962209.E-02  2.9931E+00  0.0000E+00
104239.E-01  2.8684E+00  0.0000E+00
112258.E-01  2.8684E+00  0.0000E+00
120276.E-01  2.2448E+00  0.0000E+00
128295.E-01  2.1201E+00  0.0000E+00
136313.E-01  2.7437E+00  0.0000E+00
144331.E-01  2.3696E+00  0.0000E+00
152350.E-01  1.6213E+00  0.0000E+00
160368.E-01  2.8684E+00  0.0000E+00
168387.E-01  3.2425E+00  0.0000E+00
176405.E-01  5.1132E+00  0.0000E+00
184423.E-01  3.1178E+00  0.0000E+00
192442.E-01  2.4943E+00  0.0000E+00
200460.E-01  3.6167E+00  0.0000E+00
208479.E-01  4.2402E+00  0.0000E+00
216497.E-01  3.6167E+00  0.0000E+00
224515.E-01  3.7414E+00  0.0000E+00
232534.E-01  5.6121E+00  0.0000E+00
