====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 75393.E+00 AAA ;
  Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 651876.E-01 A   Straggling = 283638.E-02 A
 Ion Lateral Range = 376480.E-02 A   Straggling = 517069.E-02 A
 Ion Radial  Range = 591117.E-02 A   Straggling = 430268.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7539400.E-04 25619321.E-03 32083906.E-03 32579497.E-03 16565407.E-03 
1507870.E-03 28655283.E-03 33004562.E-03 49036775.E-03 90670668.E-04 
2261800.E-03 20090389.E-03 25733330.E-03 36504496.E-03 19136546.E-03 
3015730.E-03 23670029.E-03 26883287.E-03 33055797.E-03 13204452.E-03 
3769660.E-03 24682158.E-03 31016531.E-03 34369545.E-03 16385068.E-03 
4523590.E-03 31973813.E-03 32552588.E-03 35376263.E-03 77057710.E-04 
5277520.E-03 20496356.E-03 25126341.E-03 43391586.E-03 11470584.E-03 
6031450.E-03 23871695.E-03 26675951.E-03 45653021.E-03 10321311.E-03 
6785380.E-03 23474481.E-03 27256789.E-03 36205402.E-03 15698986.E-03 
7539310.E-03 20154115.E-03 22711641.E-03 41150671.E-03 11512868.E-03 
8293240.E-03 26121112.E-03 33051772.E-03 36854391.E-03 15694831.E-03 
9047170.E-03 12180504.E-03 14066544.E-03 36523262.E-03 12631025.E-03 
9801100.E-03 16224796.E-03 18500436.E-03 32002213.E-03 13469046.E-03 
1055503.E-02 20735474.E-03 27045905.E-03 31620050.E-03 16076537.E-03 
1130896.E-02 32742933.E-03 35462799.E-03 47820183.E-03 10173767.E-03 
1206289.E-02 26457244.E-03 30823187.E-03 39329333.E-03 14475650.E-03 
1281682.E-02 22787881.E-03 27506844.E-03 39281391.E-03 15177069.E-03 
1357075.E-02 23230027.E-03 25508661.E-03 36381970.E-03 11930455.E-03 
1432468.E-02 21124112.E-03 26964903.E-03 38354455.E-03 17958395.E-03 
1507861.E-02 30513259.E-03 34088614.E-03 42501481.E-03 12991473.E-03 
1583254.E-02 18904664.E-03 23787824.E-03 34354645.E-03 13850937.E-03 
1658647.E-02 27898019.E-03 31941682.E-03 38010607.E-03 15481411.E-03 
1734040.E-02 25978356.E-03 31061360.E-03 36336033.E-03 13566607.E-03 
