====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 1000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     8.E+04 A   Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   651.9E+02 A   Straggling =   283.6E+01 A
 Ion Lateral Range =   376.5E+01 A   Straggling =   517.1E+01 A
 Ion Radial  Range =   591.1E+01 A   Straggling =   430.3E+01 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =195
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -006.0364  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 083.3816  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
753940.E-03  9.2847E-01  0.0000E+00
150787.E-02  1.5917E+00  0.0000E+00
226180.E-02  9.2847E-01  0.0000E+00
301573.E-02  9.2847E-01  0.0000E+00
376966.E-02  1.0611E+00  0.0000E+00
452359.E-02  3.9791E-01  0.0000E+00
527752.E-02  7.9583E-01  0.0000E+00
603145.E-02  1.0611E+00  0.0000E+00
678538.E-02  1.4590E+00  0.0000E+00
753931.E-02  1.0611E+00  0.0000E+00
829324.E-02  2.6528E+00  0.0000E+00
904717.E-02  1.1937E+00  0.0000E+00
980110.E-02  1.3264E+00  0.0000E+00
105550.E-01  3.1833E+00  0.0000E+00
113090.E-01  1.7243E+00  0.0000E+00
120629.E-01  2.2549E+00  0.0000E+00
128168.E-01  1.3264E+00  0.0000E+00
135708.E-01  2.2549E+00  0.0000E+00
143247.E-01  2.1222E+00  0.0000E+00
150786.E-01  2.3875E+00  0.0000E+00
158325.E-01  2.5201E+00  0.0000E+00
165865.E-01  2.6528E+00  0.0000E+00
173404.E-01  2.2549E+00  0.0000E+00
180943.E-01  3.0507E+00  0.0000E+00
188483.E-01  2.9180E+00  0.0000E+00
196022.E-01  2.6528E+00  0.0000E+00
203561.E-01  2.6528E+00  0.0000E+00
211101.E-01  2.3875E+00  0.0000E+00
218640.E-01  2.5201E+00  0.0000E+00
