====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     8.E+04 A ;
  Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 10 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
753940.E-03  1334.34E-09  2190.15E-09  
150787.E-02  4045.47E-09  7328.28E-09  
226180.E-02  7043.09E-09  1267.49E-08  
301573.E-02  1055.80E-08  1970.60E-08  
376966.E-02  1463.13E-08  2928.99E-08  
452359.E-02  1888.37E-08  3605.92E-08  
527752.E-02  1152.36E-08  2259.64E-08  
603145.E-02  1101.69E-08  2307.31E-08  
678538.E-02  1260.73E-08  2497.64E-08  
753931.E-02  1416.71E-08  2779.84E-08  
829324.E-02  1508.89E-08  2937.21E-08  
904717.E-02  1610.49E-08  3268.31E-08  
980110.E-02  1618.85E-08  2910.66E-08  
105550.E-01  1635.43E-08  3038.19E-08  
113090.E-01  1669.12E-08  3190.01E-08  
120629.E-01  1645.64E-08  3013.09E-08  
128168.E-01  1683.58E-08  3131.52E-08  
135708.E-01  1735.70E-08  3406.39E-08  
143247.E-01  1711.03E-08  3188.67E-08  
150786.E-01  1740.35E-08  3259.39E-08  
158325.E-01  1767.54E-08  3425.34E-08  
165865.E-01  1775.76E-08  3176.33E-08  
173404.E-01  1785.84E-08  2957.36E-08  
180943.E-01  1790.62E-08  3272.83E-08  
188483.E-01  1854.28E-08  3434.03E-08  
196022.E-01  1858.79E-08  3432.41E-08  
203561.E-01  1871.53E-08  3428.32E-08  
211101.E-01  1896.99E-08  3682.50E-08  
218640.E-01  1947.66E-08  3284.75E-08  
226179.E-01  1958.40E-08  3301.99E-08  
233718.E-01  1957.21E-08  3729.38E-08  
241258.E-01  1987.98E-08  3584.94E-08  
248797.E-01  2018.89E-08  3807.25E-08  
256336.E-01  2030.96E-08  3687.07E-08  
263876.E-01  2076.85E-08  4130.71E-08  
271415.E-01  2105.24E-08  3743.89E-08  
278954.E-01  2103.38E-08  3688.02E-08  
286494.E-01  2182.96E-08  4003.52E-08  
294033.E-01  2213.60E-08  3880.66E-08  
301572.E-01  2237.34E-08  4028.78E-08  
309111.E-01  2270.90E-08  4346.61E-08  
316651.E-01  2306.85E-08  4163.79E-08  
324190.E-01  2356.19E-08  4562.37E-08  
331729.E-01  2387.09E-08  4134.92E-08  
339269.E-01  2402.61E-08  4195.93E-08  
346808.E-01  2446.51E-08  4422.63E-08  
354347.E-01  2550.10E-08  4386.99E-08  
361887.E-01  2589.63E-08  4346.76E-08  
369426.E-01  2608.86E-08  4542.17E-08  
376965.E-01  2674.92E-08  4546.13E-08  
384504.E-01  2738.32E-08  4928.56E-08  
392044.E-01  2779.30E-08  5114.32E-08  
399583.E-01  2863.13E-08  4611.04E-08  
407122.E-01  2944.17E-08  5367.40E-08  
414662.E-01  3074.56E-08  5357.33E-08  
422201.E-01  3100.29E-08  5077.19E-08  
429740.E-01  3156.39E-08  5385.55E-08  
437280.E-01  3301.77E-08  5842.88E-08  
444819.E-01  3377.10E-08  5601.26E-08  
452358.E-01  3449.13E-08  5920.59E-08  
459897.E-01  3573.01E-08  5945.12E-08  
467437.E-01  3680.32E-08  6076.12E-08  
