====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 80532.E+00 AAA ;
  Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 671683.E-01 A   Straggling = 391124.E-02 A
 Ion Lateral Range = 528261.E-02 A   Straggling = 713444.E-02 A
 Ion Radial  Range = 829604.E-02 A   Straggling = 574268.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
8053300.E-04 23990448.E-03 28083987.E-03 37520964.E-03 13153429.E-03 
1610650.E-03 26382880.E-03 31724623.E-03 43471080.E-03 14721920.E-03 
2415970.E-03 26934274.E-03 30460252.E-03 42772983.E-03 12257564.E-03 
3221290.E-03 26718999.E-03 31181792.E-03 44301348.E-03 16405371.E-03 
4026610.E-03 22117772.E-03 25267629.E-03 31029679.E-03 14311371.E-03 
4831930.E-03 33086140.E-03 36442626.E-03 46950724.E-03 14032446.E-03 
5637250.E-03 23258712.E-03 28053097.E-03 34052712.E-03 14170032.E-03 
6442570.E-03 32112693.E-03 35817360.E-03 43901355.E-03 13591447.E-03 
7247890.E-03 28162641.E-03 32489453.E-03 42434329.E-03 13508737.E-03 
8053210.E-03 28463633.E-03 33895009.E-03 40508871.E-03 17218688.E-03 
8858530.E-03 25503479.E-03 30550895.E-03 36902535.E-03 15133686.E-03 
9663850.E-03 28634906.E-03 33368295.E-03 40104349.E-03 13205458.E-03 
1046917.E-02 31687343.E-03 36508848.E-03 41550784.E-03 15733524.E-03 
1127449.E-02 29808777.E-03 34079481.E-03 39588889.E-03 16687340.E-03 
1207981.E-02 25289974.E-03 31898037.E-03 40216659.E-03 16461503.E-03 
1288513.E-02 25183686.E-03 30201593.E-03 41551694.E-03 15564629.E-03 
1369045.E-02 28237259.E-03 33104336.E-03 43345778.E-03 16741887.E-03 
1449577.E-02 23885289.E-03 28412242.E-03 42061711.E-03 13664518.E-03 
1530109.E-02 26119410.E-03 30433087.E-03 40123715.E-03 16411574.E-03 
1610641.E-02 29467766.E-03 33379410.E-03 42607178.E-03 11348017.E-03 
1691173.E-02 25100996.E-03 31086629.E-03 39138855.E-03 16634382.E-03 
1771705.E-02 30446594.E-03 34683492.E-03 42708963.E-03 14912217.E-03 
1852237.E-02 23208178.E-03 27153181.E-03 40846926.E-03 15089444.E-03 
