====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 74865.E+00 AAA ;
  Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 636858.E-01 A   Straggling = 313403.E-02 A
 Ion Lateral Range = 418837.E-02 A   Straggling = 570003.E-02 A
 Ion Radial  Range = 657625.E-02 A   Straggling = 464651.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7486600.E-04 30480523.E-03 33926302.E-03 49636714.E-03 55004881.E-04 
1497310.E-03 34167918.E-03 35174417.E-03 42911731.E-03 96465078.E-04 
2245960.E-03 17804810.E-03 20631104.E-03 30053642.E-03 11577835.E-03 
2994610.E-03 36685607.E-03 41561644.E-03 42863587.E-03 17501048.E-03 
3743260.E-03 26051323.E-03 29051412.E-03 26796005.E-03 12724939.E-03 
4491910.E-03 30142750.E-03 32165497.E-03 40811612.E-03 13317225.E-03 
5240560.E-03 21471876.E-03 26950290.E-03 38456034.E-03 12470547.E-03 
5989210.E-03 30372328.E-03 33973861.E-03 41166031.E-03 13810418.E-03 
6737860.E-03 28365231.E-03 33090000.E-03 35182136.E-03 15629461.E-03 
7486510.E-03 27489241.E-03 30358749.E-03 47517996.E-03 11452898.E-03 
8235160.E-03 20258981.E-03 24075601.E-03 38994716.E-03 10593429.E-03 
8983810.E-03 22568467.E-03 25856784.E-03 35519607.E-03 12019791.E-03 
9732460.E-03 28284142.E-03 33146749.E-03 45468842.E-03 13029374.E-03 
1048111.E-02 22544508.E-03 25640238.E-03 40060780.E-03 15313929.E-03 
1122976.E-02 26047640.E-03 30426520.E-03 34280638.E-03 15412256.E-03 
1197841.E-02 26611968.E-03 30371895.E-03 43086632.E-03 11608678.E-03 
1272706.E-02 22322363.E-03 27943617.E-03 35611874.E-03 15343020.E-03 
1347571.E-02 23681665.E-03 27882031.E-03 39787457.E-03 15529077.E-03 
1422436.E-02 22375115.E-03 27873234.E-03 39835992.E-03 13988917.E-03 
1497301.E-02 27508904.E-03 31203348.E-03 39552081.E-03 13771414.E-03 
1572166.E-02 19874997.E-03 24933254.E-03 36290893.E-03 15334553.E-03 
1647031.E-02 26956281.E-03 31108989.E-03 41091517.E-03 13937102.E-03 
1721896.E-02 24912202.E-03 29651962.E-03 41599120.E-03 11638389.E-03 
