====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     7.E+04 AAA ;
  Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
748660.E-03  233927.E-08  761382.E-09
149731.E-02  221315.E-08  226589.E-08
224596.E-02  214353.E-08  387381.E-08
299461.E-02  210084.E-08  628217.E-08
374326.E-02  208802.E-08  771734.E-08
449191.E-02  208084.E-08  623538.E-08
524056.E-02  202809.E-08  490469.E-08
598921.E-02  200275.E-08  600836.E-08
673786.E-02  199896.E-08  594734.E-08
748651.E-02  201087.E-08  664669.E-08
823516.E-02  202905.E-08  704753.E-08
898381.E-02  204567.E-08  694581.E-08
973246.E-02  206243.E-08  735579.E-08
104811.E-01  208395.E-08  719819.E-08
112298.E-01  210338.E-08  708102.E-08
119784.E-01  212181.E-08  793277.E-08
127271.E-01  214358.E-08  730017.E-08
134757.E-01  216663.E-08  782073.E-08
142244.E-01  219207.E-08  756872.E-08
149730.E-01  220918.E-08  770361.E-08
157217.E-01  222853.E-08  773627.E-08
164703.E-01  225384.E-08  766621.E-08
172190.E-01  227259.E-08  787889.E-08
179676.E-01  229369.E-08  808126.E-08
187163.E-01  231993.E-08  762943.E-08
194649.E-01  234663.E-08  790688.E-08
202136.E-01  237640.E-08  824607.E-08
209622.E-01  240485.E-08  848802.E-08
217109.E-01  243593.E-08  839099.E-08
224595.E-01  246156.E-08  860532.E-08
232082.E-01  249346.E-08  889661.E-08
239568.E-01  252005.E-08  849296.E-08
247055.E-01  255688.E-08  882634.E-08
254541.E-01  259340.E-08  900056.E-08
262028.E-01  262493.E-08  905629.E-08
269514.E-01  265701.E-08  911867.E-08
277001.E-01  270132.E-08  948232.E-08
284487.E-01  273762.E-08  949690.E-08
291974.E-01  277814.E-08  969160.E-08
299460.E-01  282370.E-08  971245.E-08
306947.E-01  286554.E-08  948996.E-08
314433.E-01  291222.E-08  979138.E-08
321920.E-01  295840.E-08  100326.E-07
329406.E-01  300520.E-08  101466.E-07
336893.E-01  305767.E-08  100866.E-07
344379.E-01  312020.E-08  106568.E-07
351866.E-01  318117.E-08  111502.E-07
359352.E-01  324871.E-08  111927.E-07
366839.E-01  330196.E-08  112822.E-07
374325.E-01  336670.E-08  118211.E-07
381812.E-01  343777.E-08  119054.E-07
389298.E-01  351446.E-08  121055.E-07
396785.E-01  358227.E-08  118842.E-07
404271.E-01  366607.E-08  130135.E-07
411758.E-01  375166.E-08  130537.E-07
419244.E-01  384289.E-08  134997.E-07
426731.E-01  394606.E-08  135894.E-07
434217.E-01  407109.E-08  141100.E-07
441704.E-01  418514.E-08  146245.E-07
449190.E-01  430930.E-08  146751.E-07
456677.E-01  445222.E-08  151131.E-07
464163.E-01  457318.E-08  154785.E-07
471650.E-01  474297.E-08  158271.E-07
479136.E-01  492458.E-08  168592.E-07
486623.E-01  512700.E-08  172350.E-07
494109.E-01  533409.E-08  179275.E-07
501596.E-01  556241.E-08  189856.E-07
509082.E-01  582876.E-08  200900.E-07
516569.E-01  614036.E-08  209016.E-07
524055.E-01  648128.E-08  216925.E-07
531542.E-01  687319.E-08  231211.E-07
539028.E-01  735590.E-08  250053.E-07
546515.E-01  788413.E-08  265238.E-07
554001.E-01  858330.E-08  285388.E-07
561488.E-01  939267.E-08  306980.E-07
568974.E-01  104571.E-07  343157.E-07
576461.E-01  117974.E-07  384033.E-07
583947.E-01  136025.E-07  434151.E-07
591434.E-01  161314.E-07  505539.E-07
598920.E-01  199572.E-07  604218.E-07
606407.E-01  256621.E-07  744275.E-07
613893.E-01  340328.E-07  929853.E-07
621380.E-01  456082.E-07  116333.E-06
628866.E-01  587147.E-07  139971.E-06
636353.E-01  698894.E-07  155241.E-06
643839.E-01  728804.E-07  152304.E-06
651326.E-01  655254.E-07  129700.E-06
658812.E-01  492395.E-07  931920.E-07
666299.E-01  308978.E-07  561501.E-07
673785.E-01  158850.E-07  277356.E-07
681272.E-01  674799.E-08  113802.E-07
688758.E-01  232140.E-08  382506.E-08
696245.E-01  634335.E-09  100728.E-08
703731.E-01  142481.E-09  218189.E-09
711218.E-01  274142.E-10  413739.E-10
718704.E-01  397842.E-11  601961.E-11
726191.E-01  275372.E-12  756661.E-12
733677.E-01  000000.E+00  000000.E+00
741164.E-01  000000.E+00  000000.E+00
748650.E-01  000000.E+00  000000.E+00
