====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 12013.E+01 AAA ;
  Layer # 1- Density = 5.711E22 atoms/cm3 = 4.54 g/cm3
  Layer # 1- Ti = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
120133.E-02  2995.82E-06  2995.82E-06
240265.E-02  3076.53E-06  3076.53E-06
360397.E-02  3100.08E-06  3100.08E-06
480529.E-02  3118.82E-06  3118.82E-06
600661.E-02  3203.76E-06  3203.76E-06
720793.E-02  3140.34E-06  3140.34E-06
840925.E-02  3145.78E-06  3145.78E-06
961057.E-02  3180.99E-06  3180.99E-06
108119.E-01  3149.87E-06  3149.87E-06
120132.E-01  3204.22E-06  3204.22E-06
132145.E-01  3281.61E-06  3281.61E-06
144159.E-01  3343.18E-06  3343.18E-06
156172.E-01  3313.40E-06  3313.40E-06
168185.E-01  3405.21E-06  3405.21E-06
180198.E-01  3427.52E-06  3427.52E-06
192211.E-01  3448.92E-06  3448.92E-06
204225.E-01  3429.83E-06  3429.83E-06
216238.E-01  3422.13E-06  3422.13E-06
228251.E-01  3442.55E-06  3442.55E-06
240264.E-01  3430.10E-06  3430.10E-06
252277.E-01  3473.72E-06  3473.72E-06
264291.E-01  3490.19E-06  3490.19E-06
276304.E-01  3498.30E-06  3498.30E-06
288317.E-01  3532.26E-06  3532.26E-06
300330.E-01  3595.27E-06  3595.27E-06
312343.E-01  3617.37E-06  3617.37E-06
324357.E-01  3653.51E-06  3653.51E-06
336370.E-01  3758.41E-06  3758.41E-06
348383.E-01  3836.98E-06  3836.98E-06
360396.E-01  3938.10E-06  3938.10E-06
372409.E-01  3959.74E-06  3959.74E-06
384423.E-01  4014.78E-06  4014.78E-06
396436.E-01  4041.57E-06  4041.57E-06
408449.E-01  4058.08E-06  4058.08E-06
420462.E-01  4147.09E-06  4147.09E-06
432475.E-01  4198.20E-06  4198.20E-06
444489.E-01  4269.36E-06  4269.36E-06
456502.E-01  4308.08E-06  4308.08E-06
468515.E-01  4353.75E-06  4353.75E-06
480528.E-01  4334.64E-06  4334.64E-06
492541.E-01  4350.44E-06  4350.44E-06
504555.E-01  4419.43E-06  4419.43E-06
516568.E-01  4491.01E-06  4491.01E-06
528581.E-01  4540.23E-06  4540.23E-06
540594.E-01  4591.82E-06  4591.82E-06
552607.E-01  4702.27E-06  4702.27E-06
564621.E-01  4809.96E-06  4809.96E-06
576634.E-01  4844.38E-06  4844.38E-06
588647.E-01  4950.49E-06  4950.49E-06
600660.E-01  5015.16E-06  5015.16E-06
612673.E-01  5044.30E-06  5044.30E-06
624687.E-01  5197.90E-06  5197.90E-06
636700.E-01  5288.21E-06  5288.21E-06
648713.E-01  5347.42E-06  5347.42E-06
660726.E-01  5504.34E-06  5504.34E-06
672739.E-01  5609.13E-06  5609.13E-06
684753.E-01  5740.12E-06  5740.12E-06
696766.E-01  5871.05E-06  5871.05E-06
708779.E-01  5955.91E-06  5955.91E-06
720792.E-01  6071.51E-06  6071.51E-06
732805.E-01  6175.35E-06  6175.35E-06
744819.E-01  6260.86E-06  6260.86E-06
756832.E-01  6458.55E-06  6458.55E-06
768845.E-01  6733.07E-06  6733.07E-06
780858.E-01  7002.21E-06  7002.21E-06
792871.E-01  7224.15E-06  7224.15E-06
804885.E-01  7413.79E-06  7413.79E-06
816898.E-01  7598.49E-06  7598.49E-06
828911.E-01  7877.24E-06  7877.24E-06
840924.E-01  8155.77E-06  8155.77E-06
852937.E-01  8532.50E-06  8532.50E-06
864951.E-01  8954.34E-06  8954.34E-06
876964.E-01  9438.11E-06  9438.11E-06
888977.E-01  9819.96E-06  9819.96E-06
900990.E-01  1030.28E-05  1030.28E-05
913003.E-01  1086.49E-05  1086.49E-05
925017.E-01  1168.58E-05  1168.58E-05
937030.E-01  1261.55E-05  1261.55E-05
949043.E-01  1381.94E-05  1381.94E-05
961056.E-01  1537.31E-05  1537.31E-05
973069.E-01  1717.26E-05  1717.26E-05
985083.E-01  1983.10E-05  1983.10E-05
997096.E-01  2403.66E-05  2403.66E-05
100911.E+00  2990.23E-05  2990.23E-05
102112.E+00  3832.73E-05  3832.73E-05
103314.E+00  4736.57E-05  4736.57E-05
104515.E+00  5374.38E-05  5374.38E-05
105716.E+00  5307.14E-05  5307.14E-05
106917.E+00  4434.09E-05  4434.09E-05
108119.E+00  3007.03E-05  3007.03E-05
109320.E+00  1668.56E-05  1668.56E-05
110521.E+00  7441.25E-06  7441.25E-06
111723.E+00  2595.80E-06  2595.80E-06
112924.E+00  6954.31E-07  6954.31E-07
114125.E+00  1408.95E-07  1408.95E-07
115327.E+00  2250.60E-08  2250.60E-08
116528.E+00  2919.08E-09  2919.08E-09
117729.E+00  0000.00E+00  0000.00E+00
118931.E+00  0000.00E+00  0000.00E+00
120132.E+00  0000.00E+00  0000.00E+00
