====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 A ;
  Layer # 1- Density = 5.711E22 atoms/cm3 = 4.54 g/cm3
  Layer # 1- Ti = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 12 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
120133.E-02  8540.61E-10  1775.82E-09  
240265.E-02  2718.68E-09  5203.76E-09  
360397.E-02  4800.55E-09  1043.21E-08  
480529.E-02  7361.07E-09  1545.91E-08  
600661.E-02  1013.80E-08  2332.09E-08  
720793.E-02  1306.65E-08  2788.29E-08  
840925.E-02  1241.38E-08  2364.15E-08  
961057.E-02  7388.54E-09  1620.87E-08  
108119.E-01  8827.79E-09  1851.89E-08  
120132.E-01  9914.09E-09  2053.69E-08  
132145.E-01  1093.55E-08  2009.24E-08  
144159.E-01  1156.14E-08  2410.62E-08  
156172.E-01  1216.66E-08  2555.04E-08  
168185.E-01  1221.41E-08  2476.17E-08  
180198.E-01  1238.22E-08  2428.73E-08  
192211.E-01  1225.32E-08  2750.86E-08  
204225.E-01  1252.21E-08  2693.81E-08  
216238.E-01  1259.78E-08  2483.62E-08  
228251.E-01  1283.01E-08  2748.21E-08  
240264.E-01  1283.92E-08  2793.07E-08  
252277.E-01  1314.55E-08  2554.38E-08  
264291.E-01  1308.06E-08  2602.66E-08  
276304.E-01  1313.22E-08  2652.81E-08  
288317.E-01  1368.33E-08  2505.09E-08  
300330.E-01  1349.68E-08  2758.19E-08  
312343.E-01  1367.58E-08  2769.51E-08  
324357.E-01  1381.06E-08  2706.81E-08  
336370.E-01  1393.88E-08  2617.41E-08  
348383.E-01  1419.77E-08  2760.23E-08  
360396.E-01  1449.24E-08  2810.56E-08  
372409.E-01  1456.31E-08  2926.53E-08  
384423.E-01  1475.29E-08  2938.11E-08  
396436.E-01  1495.19E-08  3159.77E-08  
408449.E-01  1490.28E-08  3207.12E-08  
420462.E-01  1549.63E-08  3053.85E-08  
432475.E-01  1546.47E-08  3087.19E-08  
444489.E-01  1568.61E-08  3095.80E-08  
456502.E-01  1581.34E-08  3164.94E-08  
468515.E-01  1618.72E-08  3478.50E-08  
480528.E-01  1634.70E-08  3370.19E-08  
492541.E-01  1670.91E-08  3271.48E-08  
504555.E-01  1713.53E-08  3306.00E-08  
516568.E-01  1706.79E-08  3279.79E-08  
528581.E-01  1744.41E-08  3504.11E-08  
540594.E-01  1765.31E-08  3310.80E-08  
552607.E-01  1797.36E-08  3477.93E-08  
564621.E-01  1830.82E-08  3592.87E-08  
576634.E-01  1857.71E-08  3483.96E-08  
588647.E-01  1895.91E-08  3688.07E-08  
600660.E-01  1953.68E-08  3776.47E-08  
612673.E-01  1985.15E-08  3995.19E-08  
624687.E-01  2019.11E-08  3562.17E-08  
636700.E-01  2035.09E-08  4051.42E-08  
648713.E-01  2112.43E-08  3885.53E-08  
660726.E-01  2131.90E-08  4172.56E-08  
672739.E-01  2193.42E-08  4203.53E-08  
684753.E-01  2239.20E-08  4054.72E-08  
696766.E-01  2297.64E-08  4350.41E-08  
708779.E-01  2339.93E-08  4433.13E-08  
720792.E-01  2415.59E-08  4615.09E-08  
732805.E-01  2502.83E-08  4580.76E-08  
744819.E-01  2550.53E-08  4748.01E-08  
