====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 73756.E+00 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
737570.E-03  6934.21E-06  6934.21E-06
147513.E-02  6912.71E-06  6912.71E-06
221269.E-02  6895.37E-06  6895.37E-06
295025.E-02  6917.57E-06  6917.57E-06
368781.E-02  6860.80E-06  6860.80E-06
442537.E-02  6994.13E-06  6994.13E-06
516293.E-02  7210.07E-06  7210.07E-06
590049.E-02  7295.66E-06  7295.66E-06
663805.E-02  7407.41E-06  7407.41E-06
737561.E-02  7447.38E-06  7447.38E-06
811317.E-02  7439.27E-06  7439.27E-06
885073.E-02  7495.30E-06  7495.30E-06
958829.E-02  7520.50E-06  7520.50E-06
103259.E-01  7663.48E-06  7663.48E-06
110634.E-01  7759.56E-06  7759.56E-06
118010.E-01  7831.83E-06  7831.83E-06
125385.E-01  7969.74E-06  7969.74E-06
132761.E-01  7952.12E-06  7952.12E-06
140137.E-01  8116.95E-06  8116.95E-06
147512.E-01  8168.06E-06  8168.06E-06
154888.E-01  8233.39E-06  8233.39E-06
162263.E-01  8337.36E-06  8337.36E-06
169639.E-01  8298.78E-06  8298.78E-06
177015.E-01  8395.82E-06  8395.82E-06
184390.E-01  8480.34E-06  8480.34E-06
191766.E-01  8634.60E-06  8634.60E-06
199141.E-01  8811.09E-06  8811.09E-06
206517.E-01  9005.46E-06  9005.46E-06
213893.E-01  9173.78E-06  9173.78E-06
221268.E-01  9303.59E-06  9303.59E-06
228644.E-01  9468.23E-06  9468.23E-06
236019.E-01  9626.16E-06  9626.16E-06
243395.E-01  9677.58E-06  9677.58E-06
250771.E-01  9737.55E-06  9737.55E-06
258146.E-01  9892.70E-06  9892.70E-06
265522.E-01  9986.76E-06  9986.76E-06
272897.E-01  1025.43E-05  1025.43E-05
280273.E-01  1046.27E-05  1046.27E-05
287649.E-01  1078.54E-05  1078.54E-05
295024.E-01  1098.72E-05  1098.72E-05
302400.E-01  1109.22E-05  1109.22E-05
309775.E-01  1114.40E-05  1114.40E-05
317151.E-01  1134.15E-05  1134.15E-05
324527.E-01  1162.48E-05  1162.48E-05
331902.E-01  1203.58E-05  1203.58E-05
339278.E-01  1235.13E-05  1235.13E-05
346653.E-01  1245.78E-05  1245.78E-05
354029.E-01  1265.49E-05  1265.49E-05
361405.E-01  1305.22E-05  1305.22E-05
368780.E-01  1351.23E-05  1351.23E-05
376156.E-01  1404.39E-05  1404.39E-05
383531.E-01  1442.18E-05  1442.18E-05
390907.E-01  1483.44E-05  1483.44E-05
398283.E-01  1513.76E-05  1513.76E-05
405658.E-01  1565.71E-05  1565.71E-05
413034.E-01  1636.90E-05  1636.90E-05
420409.E-01  1707.25E-05  1707.25E-05
427785.E-01  1769.43E-05  1769.43E-05
435161.E-01  1809.84E-05  1809.84E-05
442536.E-01  1899.90E-05  1899.90E-05
449912.E-01  1976.59E-05  1976.59E-05
457287.E-01  2073.50E-05  2073.50E-05
464663.E-01  2176.78E-05  2176.78E-05
472039.E-01  2300.32E-05  2300.32E-05
479414.E-01  2416.16E-05  2416.16E-05
486790.E-01  2561.51E-05  2561.51E-05
494165.E-01  2721.13E-05  2721.13E-05
501541.E-01  2959.14E-05  2959.14E-05
508917.E-01  3172.97E-05  3172.97E-05
516292.E-01  3404.86E-05  3404.86E-05
523668.E-01  3631.41E-05  3631.41E-05
531043.E-01  3900.31E-05  3900.31E-05
538419.E-01  4117.83E-05  4117.83E-05
545795.E-01  4259.21E-05  4259.21E-05
553170.E-01  4305.43E-05  4305.43E-05
560546.E-01  4158.45E-05  4158.45E-05
567921.E-01  3804.47E-05  3804.47E-05
575297.E-01  3238.83E-05  3238.83E-05
582673.E-01  2532.69E-05  2532.69E-05
590048.E-01  1798.65E-05  1798.65E-05
597424.E-01  1175.19E-05  1175.19E-05
604799.E-01  6768.18E-06  6768.18E-06
612175.E-01  3486.05E-06  3486.05E-06
619551.E-01  1591.40E-06  1591.40E-06
626926.E-01  6536.93E-07  6536.93E-07
634302.E-01  2273.99E-07  2273.99E-07
641677.E-01  6284.21E-08  6284.21E-08
649053.E-01  1493.59E-08  1493.59E-08
656429.E-01  2866.15E-09  2866.15E-09
663804.E-01  2617.43E-10  2617.43E-10
671180.E-01  2033.96E-10  2033.96E-10
678555.E-01  0000.00E+00  0000.00E+00
685931.E-01  0000.00E+00  0000.00E+00
693307.E-01  0000.00E+00  0000.00E+00
700682.E-01  0000.00E+00  0000.00E+00
708058.E-01  0000.00E+00  0000.00E+00
715433.E-01  0000.00E+00  0000.00E+00
722809.E-01  0000.00E+00  0000.00E+00
730185.E-01  0000.00E+00  0000.00E+00
737560.E-01  0000.00E+00  0000.00E+00
