====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 73756.E+00 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 552708.E-01 A   Straggling = 522067.E-02 A
 Ion Lateral Range = 695770.E-02 A   Straggling = 905663.E-02 A
 Ion Radial  Range = 109334.E-01 A   Straggling = 667594.E-02 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
7375700.E-04 19166113.E-03 22957873.E-03 34834419.E-03 12386640.E-03 
1475130.E-03 17815225.E-03 21350912.E-03 31460581.E-03 12682501.E-03 
2212690.E-03 20279295.E-03 24878752.E-03 33622655.E-03 13375822.E-03 
2950250.E-03 20673123.E-03 23961829.E-03 34495624.E-03 12013132.E-03 
3687810.E-03 23790693.E-03 27345675.E-03 37857402.E-03 11428332.E-03 
4425370.E-03 22294207.E-03 26335798.E-03 36001668.E-03 11780152.E-03 
5162930.E-03 18926698.E-03 22832923.E-03 34389889.E-03 12551007.E-03 
5900490.E-03 23757735.E-03 27655693.E-03 33920306.E-03 12838730.E-03 
6638050.E-03 23371014.E-03 26935797.E-03 35654863.E-03 12818010.E-03 
7375610.E-03 20566768.E-03 24759578.E-03 34547969.E-03 12875530.E-03 
8113170.E-03 24484065.E-03 29243010.E-03 37156191.E-03 13649287.E-03 
8850730.E-03 23787739.E-03 27496014.E-03 35625389.E-03 13611650.E-03 
9588290.E-03 22191667.E-03 26408607.E-03 34813628.E-03 12836779.E-03 
1032585.E-02 21533528.E-03 26034392.E-03 35810727.E-03 12532695.E-03 
1106341.E-02 20789078.E-03 25178419.E-03 33319319.E-03 12852175.E-03 
1180097.E-02 22699498.E-03 26648235.E-03 36294887.E-03 12015738.E-03 
1253853.E-02 23148118.E-03 26951414.E-03 34241245.E-03 12765447.E-03 
1327609.E-02 20199901.E-03 24305844.E-03 33050026.E-03 12152453.E-03 
1401365.E-02 21482759.E-03 25417478.E-03 32928700.E-03 12012256.E-03 
1475121.E-02 23144776.E-03 27095935.E-03 33980154.E-03 13022965.E-03 
1548877.E-02 22332063.E-03 26656916.E-03 32595556.E-03 13798679.E-03 
1622633.E-02 22528055.E-03 26357618.E-03 33214005.E-03 12392485.E-03 
1696389.E-02 21373657.E-03 25052798.E-03 34356672.E-03 12008263.E-03 
