====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 12591.E+01 AAA ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
125909.E-02  3563.45E-06  3563.45E-06
251817.E-02  3513.31E-06  3513.31E-06
377725.E-02  3534.37E-06  3534.37E-06
503633.E-02  3479.73E-06  3479.73E-06
629541.E-02  3440.62E-06  3440.62E-06
755449.E-02  3505.10E-06  3505.10E-06
881357.E-02  3538.92E-06  3538.92E-06
100727.E-01  3534.71E-06  3534.71E-06
113317.E-01  3581.35E-06  3581.35E-06
125908.E-01  3646.82E-06  3646.82E-06
138499.E-01  3698.49E-06  3698.49E-06
151090.E-01  3756.04E-06  3756.04E-06
163681.E-01  3806.59E-06  3806.59E-06
176271.E-01  3860.51E-06  3860.51E-06
188862.E-01  3893.54E-06  3893.54E-06
201453.E-01  3891.30E-06  3891.30E-06
214044.E-01  3934.70E-06  3934.70E-06
226635.E-01  3983.72E-06  3983.72E-06
239225.E-01  4006.73E-06  4006.73E-06
251816.E-01  4018.18E-06  4018.18E-06
264407.E-01  4079.74E-06  4079.74E-06
276998.E-01  4127.07E-06  4127.07E-06
289589.E-01  4154.30E-06  4154.30E-06
302179.E-01  4186.53E-06  4186.53E-06
314770.E-01  4231.08E-06  4231.08E-06
327361.E-01  4241.12E-06  4241.12E-06
339952.E-01  4267.46E-06  4267.46E-06
352543.E-01  4392.83E-06  4392.83E-06
365133.E-01  4400.45E-06  4400.45E-06
377724.E-01  4439.69E-06  4439.69E-06
390315.E-01  4489.22E-06  4489.22E-06
402906.E-01  4493.45E-06  4493.45E-06
415497.E-01  4574.94E-06  4574.94E-06
428087.E-01  4664.22E-06  4664.22E-06
440678.E-01  4760.21E-06  4760.21E-06
453269.E-01  4845.51E-06  4845.51E-06
465860.E-01  4868.27E-06  4868.27E-06
478451.E-01  4877.55E-06  4877.55E-06
491041.E-01  4869.14E-06  4869.14E-06
503632.E-01  4908.66E-06  4908.66E-06
516223.E-01  5037.02E-06  5037.02E-06
528814.E-01  5157.40E-06  5157.40E-06
541405.E-01  5219.05E-06  5219.05E-06
553995.E-01  5286.63E-06  5286.63E-06
566586.E-01  5349.99E-06  5349.99E-06
579177.E-01  5449.79E-06  5449.79E-06
591768.E-01  5580.61E-06  5580.61E-06
604359.E-01  5741.01E-06  5741.01E-06
616949.E-01  5853.32E-06  5853.32E-06
629540.E-01  5926.45E-06  5926.45E-06
642131.E-01  5996.39E-06  5996.39E-06
654722.E-01  6083.84E-06  6083.84E-06
667313.E-01  6159.15E-06  6159.15E-06
679903.E-01  6258.16E-06  6258.16E-06
692494.E-01  6427.13E-06  6427.13E-06
705085.E-01  6583.27E-06  6583.27E-06
717676.E-01  6810.51E-06  6810.51E-06
730267.E-01  6887.47E-06  6887.47E-06
742857.E-01  7038.76E-06  7038.76E-06
755448.E-01  7262.03E-06  7262.03E-06
768039.E-01  7456.39E-06  7456.39E-06
780630.E-01  7645.00E-06  7645.00E-06
793221.E-01  7864.64E-06  7864.64E-06
805811.E-01  8129.25E-06  8129.25E-06
818402.E-01  8485.68E-06  8485.68E-06
830993.E-01  8889.99E-06  8889.99E-06
843584.E-01  9151.31E-06  9151.31E-06
856175.E-01  9527.44E-06  9527.44E-06
868765.E-01  9932.41E-06  9932.41E-06
881356.E-01  1042.89E-05  1042.89E-05
893947.E-01  1091.67E-05  1091.67E-05
906538.E-01  1144.28E-05  1144.28E-05
919129.E-01  1216.96E-05  1216.96E-05
931719.E-01  1309.03E-05  1309.03E-05
944310.E-01  1430.48E-05  1430.48E-05
956901.E-01  1549.25E-05  1549.25E-05
969492.E-01  1694.46E-05  1694.46E-05
982083.E-01  1903.00E-05  1903.00E-05
994673.E-01  2177.19E-05  2177.19E-05
100726.E+00  2522.62E-05  2522.62E-05
101985.E+00  2946.40E-05  2946.40E-05
103245.E+00  3348.77E-05  3348.77E-05
104504.E+00  3605.35E-05  3605.35E-05
105763.E+00  3588.63E-05  3588.63E-05
107022.E+00  3240.35E-05  3240.35E-05
108281.E+00  2526.81E-05  2526.81E-05
109540.E+00  1716.44E-05  1716.44E-05
110799.E+00  1002.42E-05  1002.42E-05
112058.E+00  4905.99E-06  4905.99E-06
113317.E+00  2044.44E-06  2044.44E-06
114576.E+00  7457.82E-07  7457.82E-07
115835.E+00  2060.65E-07  2060.65E-07
117094.E+00  5257.70E-08  5257.70E-08
118354.E+00  1284.03E-08  1284.03E-08
119613.E+00  1380.63E-09  1380.63E-09
120872.E+00  2198.21E-10  2198.21E-10
122131.E+00  7778.43E-11  7778.43E-11
123390.E+00  0000.00E+00  0000.00E+00
124649.E+00  0000.00E+00  0000.00E+00
125908.E+00  0000.00E+00  0000.00E+00
