====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 12591.E+01 A ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
125909.E-02  6474.61E-03  7951.60E-08
251817.E-02  6483.28E-03  2178.37E-07
377725.E-02  6495.31E-03  3834.85E-07
503633.E-02  6514.12E-03  6219.26E-07
629541.E-02  6539.99E-03  8337.93E-07
755449.E-02  6572.60E-03  7398.13E-07
881357.E-02  6592.62E-03  4622.70E-07
100727.E-01  6613.37E-03  6106.34E-07
113317.E-01  6637.84E-03  6314.34E-07
125908.E-01  6665.09E-03  6866.60E-07
138499.E-01  6694.48E-03  7409.31E-07
151090.E-01  6726.15E-03  7115.27E-07
163681.E-01  6753.70E-03  7400.57E-07
176271.E-01  6783.41E-03  8098.06E-07
188862.E-01  6815.46E-03  7890.66E-07
201453.E-01  6848.71E-03  7815.97E-07
214044.E-01  6880.32E-03  7742.66E-07
226635.E-01  6913.74E-03  8127.07E-07
239225.E-01  6947.50E-03  8387.90E-07
251816.E-01  6983.71E-03  7908.19E-07
264407.E-01  7017.49E-03  8053.59E-07
276998.E-01  7055.74E-03  8043.78E-07
289589.E-01  7091.61E-03  8835.12E-07
302179.E-01  7128.49E-03  8310.06E-07
314770.E-01  7166.77E-03  8321.66E-07
327361.E-01  7205.48E-03  8508.54E-07
339952.E-01  7246.70E-03  8900.87E-07
352543.E-01  7288.97E-03  8563.60E-07
365133.E-01  7332.48E-03  8517.45E-07
377724.E-01  7376.68E-03  8927.61E-07
390315.E-01  7420.53E-03  8607.70E-07
402906.E-01  7468.06E-03  9972.49E-07
415497.E-01  7517.46E-03  8858.55E-07
428087.E-01  7564.02E-03  8723.72E-07
440678.E-01  7615.95E-03  9464.49E-07
453269.E-01  7669.71E-03  9321.46E-07
465860.E-01  7722.76E-03  9797.92E-07
478451.E-01  7777.68E-03  1024.10E-06
491041.E-01  7834.80E-03  9704.78E-07
503632.E-01  7897.82E-03  9841.25E-07
516223.E-01  7959.18E-03  1004.28E-06
528814.E-01  8022.33E-03  9871.39E-07
541405.E-01  8091.04E-03  9849.43E-07
553995.E-01  8159.90E-03  1080.42E-06
566586.E-01  8227.41E-03  1031.87E-06
579177.E-01  8301.77E-03  1069.76E-06
591768.E-01  8380.85E-03  1091.44E-06
604359.E-01  8459.60E-03  1092.46E-06
616949.E-01  8543.77E-03  1129.88E-06
629540.E-01  8634.03E-03  1161.51E-06
642131.E-01  8724.76E-03  1194.18E-06
654722.E-01  8816.46E-03  1232.17E-06
667313.E-01  8917.51E-03  1195.84E-06
679903.E-01  9025.64E-03  1226.97E-06
692494.E-01  9136.17E-03  1266.79E-06
705085.E-01  9255.87E-03  1233.38E-06
717676.E-01  9384.20E-03  1313.88E-06
730267.E-01  9515.08E-03  1350.74E-06
742857.E-01  9656.10E-03  1374.67E-06
755448.E-01  9804.34E-03  1396.51E-06
768039.E-01  9969.79E-03  1391.14E-06
780630.E-01  1014.41E-02  1491.46E-06
793221.E-01  1033.22E-02  1555.17E-06
805811.E-01  1052.80E-02  1504.39E-06
818402.E-01  1073.99E-02  1583.81E-06
830993.E-01  1096.83E-02  1684.85E-06
843584.E-01  1122.43E-02  1717.58E-06
856175.E-01  1149.94E-02  1821.53E-06
868765.E-01  1179.49E-02  1858.08E-06
881356.E-01  1212.52E-02  1962.78E-06
893947.E-01  1248.29E-02  2052.02E-06
906538.E-01  1287.33E-02  2141.90E-06
919129.E-01  1330.79E-02  2265.80E-06
931719.E-01  1378.86E-02  2371.46E-06
944310.E-01  1429.93E-02  2628.20E-06
956901.E-01  1483.58E-02  2850.05E-06
969492.E-01  1538.94E-02  3124.73E-06
982083.E-01  1592.01E-02  3426.85E-06
994673.E-01  1633.84E-02  3935.48E-06
100726.E+00  1656.03E-02  4557.25E-06
101985.E+00  1638.52E-02  5377.45E-06
103245.E+00  1562.64E-02  6218.75E-06
104504.E+00  1411.52E-02  6874.55E-06
105763.E+00  1184.47E-02  7006.97E-06
107022.E+00  9090.57E-03  6517.42E-06
108281.E+00  6241.71E-03  5251.06E-06
109540.E+00  3790.71E-03  3695.80E-06
110799.E+00  2009.15E-03  2220.38E-06
112058.E+00  9165.51E-04  1126.81E-06
113317.E+00  3567.20E-04  4823.60E-07
114576.E+00  1201.44E-04  1794.54E-07
115835.E+00  3293.87E-05  5207.23E-08
117094.E+00  7912.19E-06  1338.83E-08
118354.E+00  1599.37E-06  3110.20E-09
119613.E+00  2574.94E-07  3609.01E-10
120872.E+00  5289.88E-08  8235.81E-11
122131.E+00  7813.62E-09  1740.36E-11
123390.E+00  0000.00E+00  0000.00E+00
124649.E+00  0000.00E+00  0000.00E+00
125908.E+00  0000.00E+00  0000.00E+00
