====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 AAA ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
125909.E-02  137200.E-08  476297.E-09
251817.E-02  130553.E-08  130467.E-08
377725.E-02  126566.E-08  223944.E-08
503633.E-02  124136.E-08  341971.E-08
629541.E-02  122961.E-08  456090.E-08
755449.E-02  122978.E-08  421918.E-08
881357.E-02  120062.E-08  262895.E-08
100727.E-01  118197.E-08  331286.E-08
113317.E-01  117457.E-08  354429.E-08
125908.E-01  117699.E-08  387842.E-08
138499.E-01  118559.E-08  409253.E-08
151090.E-01  119659.E-08  401809.E-08
163681.E-01  120602.E-08  413786.E-08
176271.E-01  121644.E-08  437350.E-08
188862.E-01  122755.E-08  435827.E-08
201453.E-01  123991.E-08  430165.E-08
214044.E-01  125122.E-08  433442.E-08
226635.E-01  126143.E-08  445485.E-08
239225.E-01  127403.E-08  461334.E-08
251816.E-01  128675.E-08  443961.E-08
264407.E-01  129824.E-08  448969.E-08
276998.E-01  131300.E-08  450739.E-08
289589.E-01  132581.E-08  479760.E-08
302179.E-01  134041.E-08  465469.E-08
314770.E-01  135499.E-08  468299.E-08
327361.E-01  136800.E-08  476013.E-08
339952.E-01  138542.E-08  490655.E-08
352543.E-01  139926.E-08  479995.E-08
365133.E-01  141426.E-08  486097.E-08
377724.E-01  142948.E-08  500083.E-08
390315.E-01  144577.E-08  491125.E-08
402906.E-01  146441.E-08  541232.E-08
415497.E-01  147950.E-08  505564.E-08
428087.E-01  149685.E-08  503223.E-08
440678.E-01  151595.E-08  530791.E-08
453269.E-01  153999.E-08  529901.E-08
465860.E-01  155990.E-08  548836.E-08
478451.E-01  158057.E-08  566234.E-08
491041.E-01  160385.E-08  553422.E-08
503632.E-01  162702.E-08  558856.E-08
516223.E-01  164653.E-08  570752.E-08
528814.E-01  167268.E-08  571761.E-08
541405.E-01  169508.E-08  571213.E-08
553995.E-01  172443.E-08  611113.E-08
566586.E-01  174814.E-08  595245.E-08
579177.E-01  177620.E-08  613534.E-08
591768.E-01  180899.E-08  625807.E-08
604359.E-01  184128.E-08  631063.E-08
616949.E-01  187311.E-08  648477.E-08
629540.E-01  190949.E-08  664743.E-08
642131.E-01  194535.E-08  681722.E-08
654722.E-01  197897.E-08  695699.E-08
667313.E-01  201584.E-08  692436.E-08
679903.E-01  205946.E-08  713376.E-08
692494.E-01  210517.E-08  729631.E-08
705085.E-01  215301.E-08  731547.E-08
717676.E-01  220430.E-08  764888.E-08
730267.E-01  225476.E-08  782440.E-08
742857.E-01  231109.E-08  801512.E-08
755448.E-01  237627.E-08  821210.E-08
768039.E-01  244328.E-08  826645.E-08
780630.E-01  251227.E-08  872525.E-08
793221.E-01  259525.E-08  907093.E-08
805811.E-01  268248.E-08  905932.E-08
818402.E-01  277169.E-08  947402.E-08
830993.E-01  287769.E-08  999491.E-08
843584.E-01  299762.E-08  103162.E-07
856175.E-01  312640.E-08  108597.E-07
868765.E-01  327023.E-08  112169.E-07
881356.E-01  343805.E-08  118193.E-07
893947.E-01  363438.E-08  124591.E-07
906538.E-01  384975.E-08  131571.E-07
919129.E-01  412569.E-08  139807.E-07
931719.E-01  446152.E-08  148737.E-07
944310.E-01  486751.E-08  164201.E-07
956901.E-01  538626.E-08  179867.E-07
969492.E-01  607805.E-08  200334.E-07
982083.E-01  706969.E-08  225005.E-07
994673.E-01  843266.E-08  262825.E-07
100726.E+00  104642.E-07  313172.E-07
101985.E+00  133849.E-07  379363.E-07
103245.E+00  170029.E-07  453112.E-07
104504.E+00  208080.E-07  517713.E-07
105763.E+00  234044.E-07  544496.E-07
107022.E+00  235107.E-07  518465.E-07
108281.E+00  205434.E-07  428147.E-07
109540.E+00  153357.E-07  306844.E-07
110799.E+00  978914.E-08  187788.E-07
112058.E+00  525857.E-08  970113.E-08
113317.E+00  234794.E-08  420143.E-08
114576.E+00  896884.E-09  157910.E-08
115835.E+00  276932.E-09  466549.E-09
117094.E+00  711700.E-10  120485.E-09
118354.E+00  159793.E-10  277028.E-10
119613.E+00  213489.E-11  343678.E-11
120872.E+00  641378.E-12  818538.E-12
122131.E+00  111041.E-12  175729.E-12
123390.E+00  000000.E+00  000000.E+00
124649.E+00  000000.E+00  000000.E+00
125908.E+00  000000.E+00  000000.E+00
