====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+05 A ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 9 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
125909.E-02  1108.75E-09  2225.56E-09  
251817.E-02  3157.07E-09  6043.53E-09  
377725.E-02  5851.10E-09  1044.50E-08  
503633.E-02  8682.53E-09  1718.49E-08  
629541.E-02  1193.81E-08  2303.63E-08  
755449.E-02  1183.96E-08  2057.22E-08  
881357.E-02  7285.48E-09  1288.62E-08  
100727.E-01  8908.09E-09  1697.06E-08  
113317.E-01  1018.20E-08  1741.40E-08  
125908.E-01  1106.20E-08  1930.55E-08  
138499.E-01  1155.69E-08  2079.05E-08  
151090.E-01  1171.41E-08  1978.05E-08  
163681.E-01  1177.76E-08  2083.81E-08  
176271.E-01  1211.84E-08  2282.39E-08  
188862.E-01  1220.10E-08  2245.44E-08  
201453.E-01  1219.30E-08  2176.44E-08  
214044.E-01  1246.47E-08  2184.60E-08  
226635.E-01  1249.96E-08  2289.99E-08  
239225.E-01  1286.89E-08  2406.40E-08  
251816.E-01  1282.52E-08  2228.80E-08  
264407.E-01  1283.00E-08  2252.20E-08  
276998.E-01  1315.80E-08  2251.64E-08  
289589.E-01  1314.93E-08  2529.57E-08  
302179.E-01  1341.54E-08  2346.91E-08  
314770.E-01  1373.94E-08  2335.09E-08  
327361.E-01  1360.28E-08  2402.86E-08  
339952.E-01  1373.78E-08  2527.48E-08  
352543.E-01  1396.34E-08  2398.37E-08  
365133.E-01  1422.39E-08  2412.89E-08  
377724.E-01  1428.19E-08  2536.60E-08  
390315.E-01  1444.23E-08  2420.49E-08  
402906.E-01  1486.01E-08  2870.88E-08  
415497.E-01  1501.33E-08  2481.96E-08  
428087.E-01  1508.16E-08  2446.53E-08  
440678.E-01  1560.43E-08  2657.96E-08  
453269.E-01  1566.54E-08  2631.54E-08  
465860.E-01  1585.13E-08  2783.56E-08  
478451.E-01  1610.06E-08  2918.66E-08  
491041.E-01  1643.90E-08  2734.08E-08  
503632.E-01  1660.90E-08  2765.09E-08  
516223.E-01  1685.68E-08  2843.39E-08  
528814.E-01  1711.01E-08  2796.57E-08  
541405.E-01  1734.44E-08  2753.30E-08  
553995.E-01  1789.08E-08  3092.98E-08  
566586.E-01  1802.35E-08  2901.28E-08  
579177.E-01  1837.06E-08  3034.01E-08  
591768.E-01  1881.61E-08  3075.60E-08  
604359.E-01  1897.26E-08  3097.08E-08  
616949.E-01  1951.19E-08  3195.09E-08  
629540.E-01  1990.34E-08  3290.52E-08  
642131.E-01  2041.41E-08  3387.81E-08  
654722.E-01  2069.13E-08  3481.05E-08  
667313.E-01  2117.74E-08  3375.88E-08  
679903.E-01  2186.60E-08  3472.14E-08  
692494.E-01  2219.72E-08  3591.60E-08  
705085.E-01  2283.89E-08  3494.12E-08  
717676.E-01  2349.73E-08  3735.59E-08  
730267.E-01  2414.38E-08  3814.15E-08  
742857.E-01  2487.61E-08  3895.82E-08  
755448.E-01  2567.59E-08  3964.85E-08  
768039.E-01  2639.71E-08  3905.65E-08  
780630.E-01  2735.01E-08  4224.88E-08  
