====== H (2000) into Layer 1                    =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 2000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+05 A   Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =47324.97
 Ion Average Range =   187.0E+03 A   Straggling =   660.8E+01 A
 Ion Lateral Range =   918.5E+01 A   Straggling =   127.9E+02 A
 Ion Radial  Range =   143.5E+02 A   Straggling =   108.6E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =4
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -007.9626  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 137.8383  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
300001.E-02  0.0000E+00  0.0000E+00
600001.E-02  0.0000E+00  0.0000E+00
900001.E-02  7.0435E-01  0.0000E+00
120000.E-01  0.0000E+00  0.0000E+00
150000.E-01  0.0000E+00  0.0000E+00
180000.E-01  0.0000E+00  0.0000E+00
210000.E-01  0.0000E+00  0.0000E+00
240000.E-01  7.0435E-01  0.0000E+00
270000.E-01  2.1130E+00  0.0000E+00
300000.E-01  0.0000E+00  0.0000E+00
330000.E-01  0.0000E+00  0.0000E+00
360000.E-01  0.0000E+00  0.0000E+00
390000.E-01  1.4087E+00  0.0000E+00
420000.E-01  7.0435E-01  0.0000E+00
450000.E-01  7.0435E-01  0.0000E+00
480000.E-01  0.0000E+00  0.0000E+00
510000.E-01  0.0000E+00  0.0000E+00
540000.E-01  1.4087E+00  0.0000E+00
570000.E-01  7.0435E-01  0.0000E+00
600000.E-01  0.0000E+00  0.0000E+00
630000.E-01  7.0435E-01  0.0000E+00
660000.E-01  2.1130E+00  0.0000E+00
690000.E-01  7.0435E-01  0.0000E+00
720000.E-01  0.0000E+00  0.0000E+00
750000.E-01  7.0435E-01  0.0000E+00
780000.E-01  0.0000E+00  0.0000E+00
810000.E-01  7.0435E-01  0.0000E+00
840000.E-01  7.0435E-01  0.0000E+00
870000.E-01  2.1130E+00  0.0000E+00
