====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 2000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     5.E+05 A   Layer # 1- Density = 6.021E22 atoms/cm3 = 2.698 g/cm3
  Layer # 1- Al = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   423.4E+03 A   Straggling =   108.0E+02 A
 Ion Lateral Range =   131.7E+02 A   Straggling =   189.9E+02 A
 Ion Radial  Range =   207.0E+02 A   Straggling =   171.4E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =40
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -008.6650  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 208.6201  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
469401.E-02  2.1304E-02  0.0000E+00
938801.E-02  4.2608E-02  0.0000E+00
140820.E-01  6.3911E-02  0.0000E+00
187760.E-01  2.1304E-02  0.0000E+00
234700.E-01  1.4913E-01  0.0000E+00
281640.E-01  6.3911E-02  0.0000E+00
328580.E-01  2.1304E-02  0.0000E+00
375520.E-01  1.0652E-01  0.0000E+00
422460.E-01  0.0000E+00  0.0000E+00
469400.E-01  6.3911E-02  0.0000E+00
516340.E-01  6.3911E-02  0.0000E+00
563280.E-01  8.5215E-02  0.0000E+00
610220.E-01  8.5215E-02  0.0000E+00
657160.E-01  1.2782E-01  0.0000E+00
704100.E-01  1.2782E-01  0.0000E+00
751040.E-01  8.5215E-02  0.0000E+00
797980.E-01  1.0652E-01  0.0000E+00
844920.E-01  4.2608E-02  0.0000E+00
891860.E-01  4.2608E-02  0.0000E+00
938800.E-01  2.1304E-02  0.0000E+00
985740.E-01  1.4913E-01  0.0000E+00
103268.E+00  6.3911E-02  0.0000E+00
107962.E+00  6.3911E-02  0.0000E+00
112656.E+00  1.4913E-01  0.0000E+00
117350.E+00  6.3911E-02  0.0000E+00
122044.E+00  1.2782E-01  0.0000E+00
126738.E+00  1.2782E-01  0.0000E+00
131432.E+00  2.3434E-01  0.0000E+00
136126.E+00  8.5215E-02  0.0000E+00
