====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     5.E+05 A ;
  Layer # 1- Density = 6.021E22 atoms/cm3 = 2.698 g/cm3
  Layer # 1- Al = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 20 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
469401.E-02  5524.07E-10  1317.22E-09  
938801.E-02  1777.38E-09  3967.19E-09  
140820.E-01  3370.69E-09  7376.13E-09  
187760.E-01  5181.72E-09  1226.96E-08  
234700.E-01  3223.26E-09  6917.73E-09  
281640.E-01  3430.34E-09  8402.81E-09  
328580.E-01  4077.12E-09  8542.70E-09  
375520.E-01  4428.42E-09  1065.86E-08  
422460.E-01  4578.61E-09  1095.52E-08  
469400.E-01  4621.22E-09  1180.76E-08  
516340.E-01  4621.86E-09  9460.03E-09  
563280.E-01  4637.62E-09  1086.60E-08  
610220.E-01  4674.69E-09  1045.75E-08  
657160.E-01  4736.05E-09  1077.32E-08  
704100.E-01  4782.49E-09  1007.83E-08  
751040.E-01  4782.28E-09  1057.43E-08  
797980.E-01  4889.01E-09  1089.34E-08  
844920.E-01  4848.96E-09  1118.55E-08  
891860.E-01  4926.50E-09  1003.64E-08  
938800.E-01  5010.44E-09  1138.38E-08  
985740.E-01  5021.09E-09  1088.79E-08  
103268.E+00  5095.65E-09  1244.38E-08  
107962.E+00  5135.71E-09  1212.42E-08  
112656.E+00  5195.78E-09  1170.81E-08  
117350.E+00  5198.55E-09  1153.42E-08  
122044.E+00  5260.55E-09  1164.32E-08  
126738.E+00  5339.58E-09  1037.64E-08  
131432.E+00  5368.56E-09  1220.39E-08  
136126.E+00  5419.47E-09  1378.99E-08  
140820.E+00  5467.83E-09  1114.52E-08  
145514.E+00  5521.52E-09  1220.43E-08  
150208.E+00  5609.08E-09  1311.69E-08  
154902.E+00  5694.93E-09  1250.29E-08  
159596.E+00  5740.52E-09  1259.99E-08  
164290.E+00  5778.87E-09  1302.41E-08  
168984.E+00  5879.42E-09  1369.56E-08  
173678.E+00  5942.69E-09  1306.15E-08  
178372.E+00  6043.89E-09  1417.17E-08  
183066.E+00  6033.23E-09  1313.15E-08  
187760.E+00  6177.67E-09  1312.12E-08  
192454.E+00  6273.33E-09  1543.57E-08  
197148.E+00  6391.56E-09  1481.08E-08  
201842.E+00  6378.14E-09  1542.56E-08  
206536.E+00  6490.20E-09  1426.04E-08  
211230.E+00  6600.55E-09  1400.73E-08  
215924.E+00  6626.76E-09  1486.09E-08  
220618.E+00  6756.07E-09  1345.10E-08  
225312.E+00  6938.01E-09  1496.31E-08  
230006.E+00  7033.45E-09  1537.67E-08  
234700.E+00  7183.43E-09  1603.32E-08  
239394.E+00  7245.21E-09  1589.37E-08  
244088.E+00  7409.67E-09  1604.30E-08  
248782.E+00  7553.05E-09  1567.01E-08  
253476.E+00  7715.59E-09  1676.23E-08  
258170.E+00  7826.59E-09  1710.44E-08  
262864.E+00  7984.45E-09  1617.63E-08  
267558.E+00  8123.99E-09  1811.17E-08  
272252.E+00  8248.62E-09  1790.03E-08  
276946.E+00  8560.08E-09  1900.76E-08  
281640.E+00  8704.73E-09  1824.89E-08  
286334.E+00  8919.90E-09  1921.66E-08  
291028.E+00  9055.39E-09  1894.31E-08  
