====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 21197.E+01 A ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
211971.E-02  7148.38E-03  1115.15E-07
423941.E-02  7162.85E-03  3435.94E-07
635911.E-02  7189.28E-03  5940.46E-07
847881.E-02  7226.27E-03  7084.17E-07
105985.E-01  7253.18E-03  4676.44E-07
127182.E-01  7282.17E-03  6919.99E-07
148379.E-01  7317.14E-03  7237.18E-07
169576.E-01  7354.06E-03  7691.03E-07
190773.E-01  7390.04E-03  7555.05E-07
211970.E-01  7427.62E-03  7867.90E-07
233167.E-01  7465.95E-03  7394.34E-07
254364.E-01  7505.99E-03  8311.61E-07
275561.E-01  7545.02E-03  8168.25E-07
296758.E-01  7585.69E-03  7220.19E-07
317955.E-01  7628.71E-03  8483.24E-07
339152.E-01  7672.25E-03  8440.12E-07
360349.E-01  7717.27E-03  8103.46E-07
381546.E-01  7761.39E-03  8490.97E-07
402743.E-01  7805.69E-03  8134.31E-07
423940.E-01  7852.02E-03  8802.59E-07
445137.E-01  7897.42E-03  8043.89E-07
466334.E-01  7944.12E-03  8787.25E-07
487531.E-01  7994.58E-03  8166.37E-07
508728.E-01  8044.55E-03  8979.85E-07
529925.E-01  8096.04E-03  8609.87E-07
551122.E-01  8148.55E-03  8289.17E-07
572319.E-01  8201.24E-03  8192.14E-07
593516.E-01  8256.77E-03  8934.51E-07
614713.E-01  8311.61E-03  8569.96E-07
635910.E-01  8369.66E-03  9112.64E-07
657107.E-01  8428.54E-03  9253.95E-07
678304.E-01  8488.74E-03  8959.30E-07
699501.E-01  8548.54E-03  8376.31E-07
720698.E-01  8610.03E-03  8651.97E-07
741895.E-01  8675.01E-03  9311.94E-07
763092.E-01  8740.62E-03  8954.27E-07
784289.E-01  8810.14E-03  9506.15E-07
805486.E-01  8880.15E-03  8836.85E-07
826683.E-01  8952.56E-03  9691.57E-07
847880.E-01  9025.56E-03  9345.51E-07
869077.E-01  9099.85E-03  1008.38E-06
890274.E-01  9175.21E-03  1016.04E-06
911471.E-01  9257.67E-03  9826.55E-07
932668.E-01  9341.76E-03  9793.51E-07
953865.E-01  9430.08E-03  1036.90E-06
975062.E-01  9522.64E-03  1048.08E-06
996259.E-01  9617.77E-03  1070.56E-06
101746.E+00  9718.78E-03  1094.75E-06
103865.E+00  9824.31E-03  1114.45E-06
105985.E+00  9936.38E-03  1183.10E-06
108105.E+00  1004.97E-02  1195.33E-06
110224.E+00  1016.48E-02  1212.05E-06
112344.E+00  1028.17E-02  1209.71E-06
114464.E+00  1039.94E-02  1153.38E-06
116584.E+00  1051.87E-02  1239.95E-06
118703.E+00  1064.14E-02  1374.44E-06
120823.E+00  1077.14E-02  1205.33E-06
122943.E+00  1090.84E-02  1257.77E-06
125062.E+00  1105.41E-02  1313.35E-06
127182.E+00  1120.59E-02  1355.68E-06
129302.E+00  1136.02E-02  1404.04E-06
131421.E+00  1152.22E-02  1459.33E-06
133541.E+00  1170.22E-02  1495.05E-06
135661.E+00  1188.56E-02  1515.20E-06
137781.E+00  1207.99E-02  1543.68E-06
139900.E+00  1228.03E-02  1593.00E-06
142020.E+00  1249.77E-02  1589.31E-06
144140.E+00  1271.86E-02  1621.18E-06
146259.E+00  1295.93E-02  1725.43E-06
148379.E+00  1321.52E-02  1877.22E-06
150499.E+00  1348.84E-02  1871.84E-06
152618.E+00  1378.13E-02  1966.10E-06
154738.E+00  1409.18E-02  2016.29E-06
156858.E+00  1442.82E-02  2137.98E-06
158978.E+00  1479.66E-02  2233.46E-06
161097.E+00  1518.93E-02  2315.29E-06
163217.E+00  1561.79E-02  2525.74E-06
165337.E+00  1607.81E-02  2652.46E-06
167456.E+00  1657.27E-02  2908.50E-06
169576.E+00  1709.56E-02  3149.59E-06
171696.E+00  1764.99E-02  3532.98E-06
173815.E+00  1820.65E-02  4008.37E-06
175935.E+00  1870.42E-02  4715.84E-06
178055.E+00  1899.04E-02  5841.42E-06
180175.E+00  1877.81E-02  7420.22E-06
182294.E+00  1762.44E-02  9367.88E-06
184414.E+00  1516.35E-02  1083.15E-05
186534.E+00  1149.05E-02  1078.35E-05
188653.E+00  7388.79E-03  8746.80E-06
190773.E+00  3915.52E-03  5653.75E-06
192893.E+00  1670.64E-03  2858.16E-06
195012.E+00  5601.61E-04  1100.44E-06
197132.E+00  1473.73E-04  3229.11E-07
199252.E+00  2889.12E-05  7104.46E-08
201372.E+00  4485.22E-06  1186.83E-08
203491.E+00  5754.16E-07  1337.00E-09
205611.E+00  7708.84E-08  2084.49E-10
207731.E+00  1515.52E-08  3341.59E-11
209850.E+00  0000.00E+00  0000.00E+00
211970.E+00  0000.00E+00  0000.00E+00
