====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 21157.E+01 A ;
  Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
211573.E-02  6876.57E-03  1074.85E-07
423145.E-02  6887.76E-03  2806.87E-07
634717.E-02  6910.18E-03  6795.17E-07
846289.E-02  6944.86E-03  8532.11E-07
105786.E-01  6975.39E-03  5553.77E-07
126943.E-01  6999.81E-03  5960.32E-07
148101.E-01  7030.30E-03  6162.32E-07
169258.E-01  7064.03E-03  7990.93E-07
190415.E-01  7099.22E-03  6882.20E-07
211572.E-01  7136.64E-03  7338.14E-07
232729.E-01  7172.80E-03  7935.60E-07
253887.E-01  7209.87E-03  6903.52E-07
275044.E-01  7248.86E-03  6010.74E-07
296201.E-01  7289.58E-03  6784.30E-07
317358.E-01  7330.02E-03  8530.55E-07
338515.E-01  7371.60E-03  7092.47E-07
359673.E-01  7411.24E-03  7745.66E-07
380830.E-01  7453.17E-03  8211.41E-07
401987.E-01  7494.51E-03  7675.20E-07
423144.E-01  7537.66E-03  8086.29E-07
444301.E-01  7584.27E-03  7908.02E-07
465459.E-01  7630.05E-03  7786.15E-07
486616.E-01  7676.06E-03  8594.23E-07
507773.E-01  7723.90E-03  8893.97E-07
528930.E-01  7771.96E-03  8932.44E-07
550087.E-01  7820.83E-03  8092.53E-07
571245.E-01  7870.34E-03  8000.33E-07
592402.E-01  7921.35E-03  8486.54E-07
613559.E-01  7972.83E-03  8011.68E-07
634716.E-01  8027.33E-03  8454.91E-07
655873.E-01  8082.32E-03  9244.67E-07
677031.E-01  8138.25E-03  7751.51E-07
698188.E-01  8198.48E-03  9582.26E-07
719345.E-01  8256.99E-03  8791.95E-07
740502.E-01  8316.81E-03  9363.51E-07
761659.E-01  8377.97E-03  8790.05E-07
782817.E-01  8440.60E-03  9452.47E-07
803974.E-01  8505.85E-03  8623.74E-07
825131.E-01  8572.40E-03  9789.24E-07
846288.E-01  8641.46E-03  9000.01E-07
867445.E-01  8710.72E-03  1082.70E-06
888603.E-01  8781.29E-03  9270.24E-07
909760.E-01  8855.20E-03  9125.76E-07
930917.E-01  8933.98E-03  1026.32E-06
952074.E-01  9011.85E-03  9759.11E-07
973231.E-01  9093.86E-03  1050.91E-06
994389.E-01  9178.44E-03  1084.68E-06
101555.E+00  9266.99E-03  1113.39E-06
103670.E+00  9359.60E-03  9941.97E-07
105786.E+00  9453.77E-03  1085.46E-06
107902.E+00  9555.54E-03  1114.25E-06
110017.E+00  9662.83E-03  1089.58E-06
112133.E+00  9771.60E-03  1100.11E-06
114249.E+00  9884.92E-03  1156.65E-06
116365.E+00  9998.27E-03  1213.91E-06
118480.E+00  1011.49E-02  1194.01E-06
120596.E+00  1023.40E-02  1222.73E-06
122712.E+00  1035.78E-02  1285.32E-06
124827.E+00  1049.16E-02  1201.51E-06
126943.E+00  1063.70E-02  1334.73E-06
129059.E+00  1078.82E-02  1289.75E-06
131175.E+00  1095.66E-02  1388.27E-06
133290.E+00  1113.82E-02  1424.99E-06
135406.E+00  1132.79E-02  1363.19E-06
137522.E+00  1152.61E-02  1445.04E-06
139638.E+00  1173.77E-02  1429.78E-06
141753.E+00  1196.15E-02  1438.96E-06
143869.E+00  1220.13E-02  1529.98E-06
145985.E+00  1245.85E-02  1582.52E-06
148100.E+00  1273.18E-02  1596.66E-06
150216.E+00  1303.16E-02  1704.18E-06
152332.E+00  1334.87E-02  1684.14E-06
154448.E+00  1369.65E-02  1823.15E-06
156563.E+00  1407.35E-02  1837.90E-06
158679.E+00  1448.67E-02  1938.44E-06
160795.E+00  1494.10E-02  2068.54E-06
162910.E+00  1543.99E-02  2137.02E-06
165026.E+00  1600.08E-02  2186.42E-06
167142.E+00  1662.93E-02  2419.45E-06
169258.E+00  1732.96E-02  2665.84E-06
171373.E+00  1812.26E-02  2766.16E-06
173489.E+00  1902.43E-02  3140.85E-06
175605.E+00  2001.50E-02  3650.12E-06
177720.E+00  2099.66E-02  4328.80E-06
179836.E+00  2173.86E-02  5585.77E-06
181952.E+00  2169.05E-02  7567.41E-06
184068.E+00  2012.48E-02  9808.82E-06
186183.E+00  1666.22E-02  1141.21E-05
188299.E+00  1180.88E-02  1110.60E-05
190415.E+00  6921.32E-03  8489.88E-06
192531.E+00  3272.51E-03  5017.45E-06
194646.E+00  1225.30E-03  2283.04E-06
196762.E+00  3560.13E-04  7799.09E-07
198878.E+00  7968.97E-05  2004.33E-07
200993.E+00  1360.70E-05  3725.01E-08
203109.E+00  1840.79E-06  5713.51E-09
205225.E+00  1552.70E-07  5879.12E-10
207341.E+00  8907.19E-09  2366.76E-11
209456.E+00  0000.00E+00  0000.00E+00
211572.E+00  0000.00E+00  0000.00E+00
