====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+05 AAA ;
  Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
211573.E-02  105420.E-08  516112.E-09
423145.E-02  985291.E-09  139824.E-08
634717.E-02  951274.E-09  278725.E-08
846289.E-02  940649.E-09  365459.E-08
105786.E-01  915632.E-09  216543.E-08
126943.E-01  893217.E-09  251895.E-08
148101.E-01  889467.E-09  276139.E-08
169258.E-01  893228.E-09  322848.E-08
190415.E-01  899964.E-09  303708.E-08
211572.E-01  907065.E-09  313871.E-08
232729.E-01  914189.E-09  323274.E-08
253887.E-01  920841.E-09  308725.E-08
275044.E-01  928735.E-09  288456.E-08
296201.E-01  936978.E-09  309018.E-08
317358.E-01  945064.E-09  343098.E-08
338515.E-01  952502.E-09  317138.E-08
359673.E-01  959979.E-09  327006.E-08
380830.E-01  967737.E-09  339738.E-08
401987.E-01  974651.E-09  337608.E-08
423144.E-01  983125.E-09  344247.E-08
444301.E-01  992723.E-09  339066.E-08
465459.E-01  100113.E-08  337254.E-08
486616.E-01  101050.E-08  360893.E-08
507773.E-01  102058.E-08  363863.E-08
528930.E-01  103235.E-08  369894.E-08
550087.E-01  104268.E-08  353422.E-08
571245.E-01  105216.E-08  355381.E-08
592402.E-01  106112.E-08  366886.E-08
613559.E-01  107019.E-08  356992.E-08
634716.E-01  108266.E-08  365430.E-08
655873.E-01  109259.E-08  389722.E-08
677031.E-01  110256.E-08  359154.E-08
698188.E-01  111694.E-08  401553.E-08
719345.E-01  112837.E-08  386468.E-08
740502.E-01  114167.E-08  401142.E-08
761659.E-01  115508.E-08  389955.E-08
782817.E-01  116965.E-08  408409.E-08
803974.E-01  118419.E-08  393364.E-08
825131.E-01  119816.E-08  420031.E-08
846288.E-01  121254.E-08  407453.E-08
867445.E-01  122771.E-08  447019.E-08
888603.E-01  124196.E-08  421352.E-08
909760.E-01  125908.E-08  422453.E-08
930917.E-01  127963.E-08  445588.E-08
952074.E-01  129381.E-08  437990.E-08
973231.E-01  131099.E-08  458848.E-08
994389.E-01  133462.E-08  469083.E-08
101555.E+00  135255.E-08  479505.E-08
103670.E+00  137418.E-08  457428.E-08
105786.E+00  139540.E-08  482578.E-08
107902.E+00  141658.E-08  494802.E-08
110017.E+00  143793.E-08  487932.E-08
112133.E+00  146369.E-08  499103.E-08
114249.E+00  148935.E-08  516608.E-08
116365.E+00  151670.E-08  532499.E-08
118480.E+00  154718.E-08  536581.E-08
120596.E+00  157712.E-08  545060.E-08
122712.E+00  161022.E-08  569031.E-08
124827.E+00  164385.E-08  554969.E-08
126943.E+00  168170.E-08  594735.E-08
129059.E+00  171468.E-08  589227.E-08
131175.E+00  175519.E-08  621135.E-08
133290.E+00  179997.E-08  639889.E-08
135406.E+00  184949.E-08  631604.E-08
137522.E+00  189785.E-08  655831.E-08
139638.E+00  195283.E-08  667026.E-08
141753.E+00  200600.E-08  675168.E-08
143869.E+00  207265.E-08  711304.E-08
145985.E+00  213723.E-08  738653.E-08
148100.E+00  221438.E-08  753998.E-08
150216.E+00  229969.E-08  795980.E-08
152332.E+00  239002.E-08  806431.E-08
154448.E+00  249518.E-08  859276.E-08
156563.E+00  261463.E-08  884751.E-08
158679.E+00  275195.E-08  936036.E-08
160795.E+00  290511.E-08  994755.E-08
162910.E+00  308121.E-08  104446.E-07
165026.E+00  330186.E-08  109296.E-07
167142.E+00  356809.E-08  119514.E-07
169258.E+00  390021.E-08  132328.E-07
171373.E+00  432579.E-08  142017.E-07
173489.E+00  494719.E-08  162370.E-07
175605.E+00  586416.E-08  191264.E-07
177720.E+00  746808.E-08  235510.E-07
179836.E+00  105983.E-07  316223.E-07
181952.E+00  162848.E-07  449980.E-07
184068.E+00  246289.E-07  618993.E-07
186183.E+00  324836.E-07  754948.E-07
188299.E+00  345240.E-07  757585.E-07
190415.E+00  285151.E-07  595179.E-07
192531.E+00  179293.E-07  359408.E-07
194646.E+00  856810.E-08  166249.E-07
196762.E+00  306048.E-08  576688.E-08
198878.E+00  827602.E-09  150554.E-08
200993.E+00  159463.E-09  283305.E-09
203109.E+00  262787.E-10  442776.E-10
205225.E+00  302108.E-11  478890.E-11
207341.E+00  918881.E-13  182598.E-12
209456.E+00  000000.E+00  000000.E+00
211572.E+00  000000.E+00  000000.E+00
