====== H (100) into Layer 1                     =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.=  H(2 MeV) ==> Layer 1(  25 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 25000.E+01 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =40000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
250001.E-02  2709.67E-06  2713.66E-06
500001.E-02  3291.17E-06  3303.62E-06
750001.E-02  3502.90E-06  3525.46E-06
100000.E-01  3560.78E-06  3579.50E-06
125000.E-01  3225.47E-06  3244.76E-06
150000.E-01  2906.26E-06  2928.40E-06
175000.E-01  2786.43E-06  2810.58E-06
200000.E-01  2710.15E-06  2735.59E-06
225000.E-01  2719.72E-06  2743.48E-06
250000.E-01  3023.00E-06  3046.43E-06
275000.E-01  3077.71E-06  3101.41E-06
300000.E-01  2771.57E-06  2795.54E-06
325000.E-01  2469.93E-06  2496.21E-06
350000.E-01  2433.86E-06  2458.79E-06
375000.E-01  2778.70E-06  2802.70E-06
400000.E-01  3186.65E-06  3211.28E-06
425000.E-01  3154.10E-06  3180.56E-06
450000.E-01  3107.20E-06  3132.16E-06
475000.E-01  2857.12E-06  2884.42E-06
500000.E-01  3044.74E-06  3071.53E-06
525000.E-01  2971.10E-06  2998.43E-06
550000.E-01  3145.22E-06  3172.34E-06
575000.E-01  3182.47E-06  3211.54E-06
600000.E-01  2937.29E-06  2964.29E-06
625000.E-01  3120.19E-06  3148.75E-06
650000.E-01  3390.88E-06  3420.01E-06
675000.E-01  4231.26E-06  4259.43E-06
700000.E-01  4599.24E-06  4628.43E-06
725000.E-01  4491.39E-06  4521.69E-06
750000.E-01  3809.22E-06  3839.37E-06
775000.E-01  3113.72E-06  3144.26E-06
800000.E-01  3101.16E-06  3132.81E-06
825000.E-01  3473.01E-06  3505.59E-06
850000.E-01  3638.36E-06  3671.84E-06
875000.E-01  3858.54E-06  3891.93E-06
900000.E-01  3732.51E-06  3764.55E-06
925000.E-01  3675.23E-06  3708.56E-06
950000.E-01  3923.21E-06  3958.73E-06
975000.E-01  4099.96E-06  4133.17E-06
100000.E+00  4051.94E-06  4087.28E-06
102500.E+00  4033.27E-06  4068.76E-06
105000.E+00  3803.21E-06  3840.59E-06
107500.E+00  4189.38E-06  4228.92E-06
110000.E+00  4374.92E-06  4415.33E-06
112500.E+00  4409.90E-06  4449.53E-06
115000.E+00  4990.93E-06  5030.35E-06
117500.E+00  4716.12E-06  4758.45E-06
120000.E+00  4515.54E-06  4557.18E-06
122500.E+00  5738.19E-06  5780.34E-06
125000.E+00  5976.96E-06  6022.20E-06
127500.E+00  5477.47E-06  5523.67E-06
130000.E+00  5537.96E-06  5584.73E-06
132500.E+00  5422.41E-06  5474.10E-06
135000.E+00  5600.19E-06  5651.04E-06
137500.E+00  5385.19E-06  5438.95E-06
140000.E+00  5727.47E-06  5781.14E-06
142500.E+00  5736.12E-06  5794.62E-06
145000.E+00  6407.87E-06  6466.85E-06
147500.E+00  7321.48E-06  7383.31E-06
150000.E+00  7061.14E-06  7126.84E-06
152500.E+00  7845.92E-06  7916.60E-06
155000.E+00  7731.14E-06  7805.33E-06
157500.E+00  7513.87E-06  7590.79E-06
160000.E+00  8719.93E-06  8802.58E-06
162500.E+00  9714.07E-06  9801.16E-06
165000.E+00  1002.49E-05  1012.32E-05
167500.E+00  1064.30E-05  1075.14E-05
170000.E+00  1140.84E-05  1153.00E-05
172500.E+00  1297.06E-05  1311.05E-05
175000.E+00  1518.26E-05  1534.96E-05
177500.E+00  1891.87E-05  1914.68E-05
180000.E+00  2429.46E-05  2463.05E-05
182500.E+00  3631.50E-05  3687.56E-05
185000.E+00  4911.11E-05  4998.58E-05
187500.E+00  5143.83E-05  5248.65E-05
190000.E+00  4162.02E-05  4252.49E-05
192500.E+00  2473.55E-05  2531.25E-05
195000.E+00  9674.88E-06  9910.77E-06
197500.E+00  2711.21E-06  2782.37E-06
200000.E+00  5551.94E-07  5704.04E-07
202500.E+00  8207.66E-08  8444.66E-08
205000.E+00  3189.21E-09  3279.21E-09
207500.E+00  0000.00E+00  0000.00E+00
210000.E+00  0000.00E+00  0000.00E+00
212500.E+00  0000.00E+00  0000.00E+00
215000.E+00  0000.00E+00  0000.00E+00
217500.E+00  0000.00E+00  0000.00E+00
220000.E+00  0000.00E+00  0000.00E+00
222500.E+00  0000.00E+00  0000.00E+00
225000.E+00  0000.00E+00  0000.00E+00
227500.E+00  0000.00E+00  0000.00E+00
230000.E+00  0000.00E+00  0000.00E+00
232500.E+00  0000.00E+00  0000.00E+00
235000.E+00  0000.00E+00  0000.00E+00
237500.E+00  0000.00E+00  0000.00E+00
240000.E+00  0000.00E+00  0000.00E+00
242500.E+00  0000.00E+00  0000.00E+00
245000.E+00  0000.00E+00  0000.00E+00
247500.E+00  0000.00E+00  0000.00E+00
250000.E+00  0000.00E+00  0000.00E+00
