====== H (100) into Layer 1                     =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  H(2 MeV) ==> Layer 1(  25 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 25000.E+01 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =040000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
250001.E-02  6877.32E-03  8972.84E-08
500001.E-02  6890.18E-03  3685.27E-07
750001.E-02  6917.51E-03  9402.94E-07
100000.E-01  6956.63E-03  7509.94E-07
125000.E-01  6986.50E-03  9184.61E-07
150000.E-01  7028.23E-03  7989.02E-07
175000.E-01  7067.17E-03  4457.69E-07
200000.E-01  7114.59E-03  1035.67E-06
225000.E-01  7153.35E-03  6492.03E-07
250000.E-01  7193.92E-03  4513.90E-07
275000.E-01  7233.75E-03  7497.26E-07
300000.E-01  7285.08E-03  8573.69E-07
325000.E-01  7332.92E-03  7698.13E-07
350000.E-01  7385.02E-03  5844.04E-07
375000.E-01  7434.13E-03  5013.86E-07
400000.E-01  7480.91E-03  6065.07E-07
425000.E-01  7526.80E-03  8644.86E-07
450000.E-01  7582.18E-03  6914.09E-07
475000.E-01  7644.13E-03  8056.52E-07
500000.E-01  7701.66E-03  7096.80E-07
525000.E-01  7742.23E-03  7297.07E-07
550000.E-01  7794.19E-03  7071.92E-07
575000.E-01  7856.49E-03  5745.04E-07
600000.E-01  7916.08E-03  1066.14E-06
625000.E-01  7979.92E-03  7411.04E-07
650000.E-01  8058.82E-03  5834.53E-07
675000.E-01  8120.64E-03  8926.25E-07
700000.E-01  8184.34E-03  8120.84E-07
725000.E-01  8257.32E-03  1586.85E-06
750000.E-01  8328.12E-03  1026.82E-06
775000.E-01  8403.43E-03  1115.26E-06
800000.E-01  8475.34E-03  7581.38E-07
825000.E-01  8551.11E-03  6591.69E-07
850000.E-01  8633.86E-03  7707.71E-07
875000.E-01  8719.39E-03  9760.18E-07
900000.E-01  8813.73E-03  8612.60E-07
925000.E-01  8894.37E-03  9363.47E-07
950000.E-01  8991.99E-03  9411.11E-07
975000.E-01  9083.18E-03  8987.17E-07
100000.E+00  9173.50E-03  1091.91E-06
102500.E+00  9274.26E-03  1113.55E-06
105000.E+00  9387.14E-03  8242.80E-07
107500.E+00  9508.12E-03  8681.26E-07
110000.E+00  9633.73E-03  9347.79E-07
112500.E+00  9765.54E-03  1104.52E-06
115000.E+00  9899.70E-03  9814.87E-07
117500.E+00  1001.95E-02  1449.35E-06
120000.E+00  1015.55E-02  9041.83E-07
122500.E+00  1030.57E-02  1107.38E-06
125000.E+00  1048.03E-02  1534.35E-06
127500.E+00  1065.32E-02  1368.23E-06
130000.E+00  1083.83E-02  1399.48E-06
132500.E+00  1105.27E-02  1348.31E-06
135000.E+00  1126.50E-02  1243.08E-06
137500.E+00  1150.17E-02  1386.31E-06
140000.E+00  1173.24E-02  1239.78E-06
142500.E+00  1199.87E-02  1310.67E-06
145000.E+00  1228.15E-02  1419.44E-06
147500.E+00  1259.81E-02  1594.30E-06
150000.E+00  1295.09E-02  1721.74E-06
152500.E+00  1332.00E-02  1651.30E-06
155000.E+00  1371.19E-02  2058.58E-06
157500.E+00  1416.72E-02  1697.24E-06
160000.E+00  1465.87E-02  1953.10E-06
162500.E+00  1524.23E-02  2039.38E-06
165000.E+00  1589.00E-02  2546.15E-06
167500.E+00  1661.84E-02  2187.77E-06
170000.E+00  1744.06E-02  2675.41E-06
172500.E+00  1841.57E-02  2734.24E-06
175000.E+00  1952.99E-02  3155.49E-06
177500.E+00  2071.43E-02  4135.88E-06
180000.E+00  2164.85E-02  5334.88E-06
182500.E+00  2159.86E-02  7646.05E-06
185000.E+00  1937.43E-02  1055.75E-05
187500.E+00  1448.93E-02  1145.36E-05
190000.E+00  8647.76E-03  9426.27E-06
192500.E+00  3914.54E-03  5797.31E-06
195000.E+00  1271.24E-03  2304.35E-06
197500.E+00  3105.19E-04  6654.24E-07
200000.E+00  5169.84E-05  1343.60E-07
202500.E+00  6316.47E-06  1938.89E-08
205000.E+00  1323.11E-07  9658.41E-10
207500.E+00  0000.00E+00  0000.00E+00
210000.E+00  0000.00E+00  0000.00E+00
212500.E+00  0000.00E+00  0000.00E+00
215000.E+00  0000.00E+00  0000.00E+00
217500.E+00  0000.00E+00  0000.00E+00
220000.E+00  0000.00E+00  0000.00E+00
222500.E+00  0000.00E+00  0000.00E+00
225000.E+00  0000.00E+00  0000.00E+00
227500.E+00  0000.00E+00  0000.00E+00
230000.E+00  0000.00E+00  0000.00E+00
232500.E+00  0000.00E+00  0000.00E+00
235000.E+00  0000.00E+00  0000.00E+00
237500.E+00  0000.00E+00  0000.00E+00
240000.E+00  0000.00E+00  0000.00E+00
242500.E+00  0000.00E+00  0000.00E+00
245000.E+00  0000.00E+00  0000.00E+00
247500.E+00  0000.00E+00  0000.00E+00
250000.E+00  0000.00E+00  0000.00E+00
