====== H (100) into Layer 1                     =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  H(2 MeV) ==> Layer 1(  25 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+05 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =40000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
250001.E-02  103694.E-08  494930.E-09
500001.E-02  978696.E-09  176606.E-08
750001.E-02  937427.E-09  356298.E-08
100000.E-01  926050.E-09  277482.E-08
125000.E-01  894122.E-09  317408.E-08
150000.E-01  885254.E-09  323697.E-08
175000.E-01  891611.E-09  245680.E-08
200000.E-01  901966.E-09  369273.E-08
225000.E-01  911479.E-09  285350.E-08
250000.E-01  921203.E-09  241632.E-08
275000.E-01  930621.E-09  320024.E-08
300000.E-01  938411.E-09  339721.E-08
325000.E-01  947723.E-09  330720.E-08
350000.E-01  960926.E-09  282334.E-08
375000.E-01  970499.E-09  264685.E-08
400000.E-01  975899.E-09  289914.E-08
425000.E-01  983885.E-09  345334.E-08
450000.E-01  993204.E-09  319499.E-08
475000.E-01  100236.E-08  343883.E-08
500000.E-01  101635.E-08  322924.E-08
525000.E-01  102566.E-08  338255.E-08
550000.E-01  103830.E-08  327669.E-08
575000.E-01  105423.E-08  302678.E-08
600000.E-01  106061.E-08  383415.E-08
625000.E-01  107762.E-08  334439.E-08
650000.E-01  108738.E-08  307739.E-08
675000.E-01  109218.E-08  376621.E-08
700000.E-01  110678.E-08  362935.E-08
725000.E-01  113366.E-08  516807.E-08
750000.E-01  115495.E-08  408018.E-08
775000.E-01  115769.E-08  428246.E-08
800000.E-01  116683.E-08  358235.E-08
825000.E-01  119055.E-08  347218.E-08
850000.E-01  120734.E-08  375077.E-08
875000.E-01  122177.E-08  429647.E-08
900000.E-01  125117.E-08  385738.E-08
925000.E-01  127249.E-08  414382.E-08
950000.E-01  128501.E-08  416661.E-08
975000.E-01  131779.E-08  410378.E-08
100000.E+00  134221.E-08  437880.E-08
102500.E+00  135827.E-08  466636.E-08
105000.E+00  137859.E-08  414025.E-08
107500.E+00  138971.E-08  437892.E-08
110000.E+00  143285.E-08  450748.E-08
112500.E+00  148374.E-08  497586.E-08
115000.E+00  149068.E-08  467897.E-08
117500.E+00  151788.E-08  580229.E-08
120000.E+00  155527.E-08  462619.E-08
122500.E+00  159825.E-08  509737.E-08
125000.E+00  163832.E-08  628393.E-08
127500.E+00  167989.E-08  590025.E-08
130000.E+00  172033.E-08  588425.E-08
132500.E+00  177223.E-08  607646.E-08
135000.E+00  183703.E-08  588204.E-08
137500.E+00  190117.E-08  636205.E-08
140000.E+00  195126.E-08  607050.E-08
142500.E+00  201244.E-08  647029.E-08
145000.E+00  208111.E-08  656063.E-08
147500.E+00  217212.E-08  722641.E-08
150000.E+00  227966.E-08  789853.E-08
152500.E+00  239741.E-08  789038.E-08
155000.E+00  250590.E-08  890789.E-08
157500.E+00  263025.E-08  823353.E-08
160000.E+00  280112.E-08  921988.E-08
162500.E+00  301392.E-08  978649.E-08
165000.E+00  325948.E-08  115400.E-07
167500.E+00  359237.E-08  111425.E-07
170000.E+00  392407.E-08  130508.E-07
172500.E+00  451714.E-08  140931.E-07
175000.E+00  530531.E-08  164161.E-07
177500.E+00  692619.E-08  216217.E-07
180000.E+00  102321.E-07  295126.E-07
182500.E+00  169191.E-07  451158.E-07
185000.E+00  273887.E-07  661018.E-07
187500.E+00  342337.E-07  754940.E-07
190000.E+00  309250.E-07  643182.E-07
192500.E+00  201898.E-07  403273.E-07
195000.E+00  860144.E-08  164353.E-07
197500.E+00  264657.E-08  485804.E-08
200000.E+00  548138.E-09  997168.E-09
202500.E+00  750036.E-10  143647.E-09
205000.E+00  573455.E-11  818270.E-11
207500.E+00  000000.E+00  000000.E+00
210000.E+00  000000.E+00  000000.E+00
212500.E+00  000000.E+00  000000.E+00
215000.E+00  000000.E+00  000000.E+00
217500.E+00  000000.E+00  000000.E+00
220000.E+00  000000.E+00  000000.E+00
222500.E+00  000000.E+00  000000.E+00
225000.E+00  000000.E+00  000000.E+00
227500.E+00  000000.E+00  000000.E+00
230000.E+00  000000.E+00  000000.E+00
232500.E+00  000000.E+00  000000.E+00
235000.E+00  000000.E+00  000000.E+00
237500.E+00  000000.E+00  000000.E+00
240000.E+00  000000.E+00  000000.E+00
242500.E+00  000000.E+00  000000.E+00
245000.E+00  000000.E+00  000000.E+00
247500.E+00  000000.E+00  000000.E+00
250000.E+00  000000.E+00  000000.E+00
