====== H (100) into Layer 1                     =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
====== TRIM Calc.=  H(2 MeV) ==> Layer 1(  25 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 2000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+05 A   Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =40000.00
 Ion Average Range =   187.0E+03 A   Straggling =   657.2E+01 A
 Ion Lateral Range =   915.4E+01 A   Straggling =   128.4E+02 A
 Ion Radial  Range =   143.6E+02 A   Straggling =   110.1E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =4
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -007.5294  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 128.6201  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
250001.E-02  0.0000E+00  0.0000E+00
500001.E-02  1.0000E+00  0.0000E+00
750001.E-02  0.0000E+00  0.0000E+00
100000.E-01  0.0000E+00  0.0000E+00
125000.E-01  0.0000E+00  0.0000E+00
150000.E-01  0.0000E+00  0.0000E+00
175000.E-01  2.0000E+00  0.0000E+00
200000.E-01  0.0000E+00  0.0000E+00
225000.E-01  0.0000E+00  0.0000E+00
250000.E-01  0.0000E+00  0.0000E+00
275000.E-01  1.0000E+00  0.0000E+00
300000.E-01  0.0000E+00  0.0000E+00
325000.E-01  0.0000E+00  0.0000E+00
350000.E-01  0.0000E+00  0.0000E+00
375000.E-01  1.0000E+00  0.0000E+00
400000.E-01  0.0000E+00  0.0000E+00
425000.E-01  0.0000E+00  0.0000E+00
450000.E-01  0.0000E+00  0.0000E+00
475000.E-01  0.0000E+00  0.0000E+00
500000.E-01  1.0000E+00  0.0000E+00
525000.E-01  1.0000E+00  0.0000E+00
550000.E-01  0.0000E+00  0.0000E+00
575000.E-01  1.0000E+00  0.0000E+00
600000.E-01  1.0000E+00  0.0000E+00
625000.E-01  3.0000E+00  0.0000E+00
650000.E-01  0.0000E+00  0.0000E+00
675000.E-01  0.0000E+00  0.0000E+00
700000.E-01  0.0000E+00  0.0000E+00
725000.E-01  1.0000E+00  0.0000E+00
750000.E-01  2.0000E+00  0.0000E+00
775000.E-01  1.0000E+00  0.0000E+00
