====== H (100) into Layer 1                     =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.=  H(2 MeV) ==> Layer 1(  25 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =40000.00
 Total Target Vacancies     = 14 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
250001.E-02  1330.00E-09  2010.31E-09  
500001.E-02  4150.00E-09  8870.88E-09  
750001.E-02  7520.00E-09  2108.67E-08  
100000.E-01  6240.00E-09  1607.34E-08  
125000.E-01  6430.00E-09  2041.06E-08  
150000.E-01  7380.00E-09  1945.84E-08  
175000.E-01  8050.00E-09  1050.48E-08  
200000.E-01  8480.00E-09  2291.22E-08  
225000.E-01  7920.00E-09  1473.88E-08  
250000.E-01  7810.00E-09  1005.22E-08  
275000.E-01  7900.00E-09  1786.94E-08  
300000.E-01  7990.00E-09  1992.34E-08  
325000.E-01  8760.00E-09  1815.22E-08  
350000.E-01  8310.00E-09  1339.38E-08  
375000.E-01  8000.00E-09  1183.32E-08  
400000.E-01  8210.00E-09  1403.29E-08  
425000.E-01  8820.00E-09  1908.73E-08  
450000.E-01  8320.00E-09  1695.25E-08  
475000.E-01  9100.00E-09  1858.42E-08  
500000.E-01  8930.00E-09  1642.94E-08  
525000.E-01  9110.00E-09  1796.40E-08  
550000.E-01  9040.00E-09  1674.55E-08  
575000.E-01  9690.00E-09  1365.35E-08  
600000.E-01  9000.00E-09  2254.66E-08  
625000.E-01  9520.00E-09  1678.65E-08  
650000.E-01  9710.00E-09  1377.74E-08  
675000.E-01  9390.00E-09  2091.10E-08  
700000.E-01  9730.00E-09  1913.96E-08  
725000.E-01  1010.00E-08  3479.47E-08  
750000.E-01  1005.00E-08  2315.50E-08  
775000.E-01  1018.00E-08  2488.76E-08  
800000.E-01  1055.00E-08  1763.67E-08  
825000.E-01  1086.00E-08  1585.00E-08  
850000.E-01  1116.00E-08  1862.00E-08  
875000.E-01  1113.00E-08  2389.68E-08  
900000.E-01  1068.00E-08  1953.39E-08  
925000.E-01  1111.00E-08  2195.85E-08  
950000.E-01  1184.00E-08  2123.84E-08  
975000.E-01  1107.00E-08  2117.66E-08  
100000.E+00  1178.00E-08  2306.79E-08  
102500.E+00  1183.00E-08  2616.90E-08  
105000.E+00  1246.00E-08  1954.81E-08  
107500.E+00  1318.00E-08  2150.99E-08  
110000.E+00  1347.00E-08  2238.12E-08  
112500.E+00  1321.00E-08  2692.66E-08  
115000.E+00  1314.00E-08  2346.76E-08  
117500.E+00  1411.00E-08  3422.14E-08  
120000.E+00  1388.00E-08  2189.55E-08  
122500.E+00  1405.00E-08  2640.24E-08  
125000.E+00  1508.00E-08  3699.94E-08  
127500.E+00  1540.00E-08  3270.33E-08  
130000.E+00  1559.00E-08  3213.21E-08  
132500.E+00  1723.00E-08  3234.69E-08  
135000.E+00  1695.00E-08  2970.78E-08  
137500.E+00  1792.00E-08  3326.89E-08  
140000.E+00  1789.00E-08  2998.56E-08  
142500.E+00  1950.00E-08  3201.28E-08  
145000.E+00  1966.00E-08  3250.62E-08  
147500.E+00  2061.00E-08  3770.70E-08  
150000.E+00  2190.00E-08  4257.80E-08  
152500.E+00  2356.00E-08  3996.33E-08  
155000.E+00  2473.00E-08  4859.12E-08  
157500.E+00  2564.00E-08  3951.72E-08  
160000.E+00  2755.00E-08  4700.59E-08  
162500.E+00  2903.00E-08  4926.27E-08  
165000.E+00  3277.00E-08  6212.89E-08  
167500.E+00  3613.00E-08  5218.85E-08  
170000.E+00  4053.00E-08  6532.08E-08  
172500.E+00  4662.00E-08  6552.21E-08  
175000.E+00  5566.00E-08  7475.53E-08  
177500.E+00  7604.00E-08  9755.09E-08  
180000.E+00  1119.70E-07  1195.41E-07  
182500.E+00  1868.70E-07  1580.30E-07  
185000.E+00  2915.60E-07  1942.12E-07  
187500.E+00  3493.90E-07  1830.26E-07  
190000.E+00  3015.60E-07  1350.60E-07  
192500.E+00  1923.20E-07  7535.17E-08  
195000.E+00  7863.00E-08  2758.33E-08  
197500.E+00  2372.00E-08  6884.90E-09  
200000.E+00  5070.00E-09  1220.32E-09  
202500.E+00  7900.00E-10  1857.97E-10  
205000.E+00  3000.00E-11  0000.00E+00  
207500.E+00  0000.00E+00  0000.00E+00  
210000.E+00  0000.00E+00  0000.00E+00  
212500.E+00  0000.00E+00  0000.00E+00  
215000.E+00  0000.00E+00  0000.00E+00  
217500.E+00  0000.00E+00  0000.00E+00  
220000.E+00  0000.00E+00  0000.00E+00  
222500.E+00  0000.00E+00  0000.00E+00  
225000.E+00  0000.00E+00  0000.00E+00  
227500.E+00  0000.00E+00  0000.00E+00  
230000.E+00  0000.00E+00  0000.00E+00  
232500.E+00  0000.00E+00  0000.00E+00  
235000.E+00  0000.00E+00  0000.00E+00  
237500.E+00  0000.00E+00  0000.00E+00  
240000.E+00  0000.00E+00  0000.00E+00  
242500.E+00  0000.00E+00  0000.00E+00  
245000.E+00  0000.00E+00  0000.00E+00  
247500.E+00  0000.00E+00  0000.00E+00  
250000.E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
