====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+05 AAA ;
  Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
220601.E-02  128530.E-08  521307.E-09
441201.E-02  121184.E-08  185449.E-08
661801.E-02  117739.E-08  332974.E-08
882401.E-02  116718.E-08  354450.E-08
110300.E-01  113407.E-08  257035.E-08
132360.E-01  111880.E-08  292169.E-08
154420.E-01  112120.E-08  352297.E-08
176480.E-01  113015.E-08  330364.E-08
198540.E-01  113736.E-08  363223.E-08
220600.E-01  114657.E-08  349909.E-08
242660.E-01  115752.E-08  332735.E-08
264720.E-01  116732.E-08  355211.E-08
286780.E-01  117652.E-08  343190.E-08
308840.E-01  118578.E-08  353529.E-08
330900.E-01  119649.E-08  363923.E-08
352960.E-01  120894.E-08  369529.E-08
375020.E-01  122014.E-08  364252.E-08
397080.E-01  123128.E-08  361679.E-08
419140.E-01  124016.E-08  387101.E-08
441200.E-01  125164.E-08  381448.E-08
463260.E-01  126453.E-08  384187.E-08
485320.E-01  127810.E-08  387582.E-08
507380.E-01  129102.E-08  394593.E-08
529440.E-01  130464.E-08  402565.E-08
551500.E-01  131812.E-08  397140.E-08
573560.E-01  133217.E-08  404880.E-08
595620.E-01  134702.E-08  410437.E-08
617680.E-01  135886.E-08  394247.E-08
639740.E-01  137017.E-08  421214.E-08
661800.E-01  138580.E-08  411599.E-08
683860.E-01  140373.E-08  440938.E-08
705920.E-01  142158.E-08  428708.E-08
727980.E-01  143718.E-08  435120.E-08
750040.E-01  145053.E-08  424932.E-08
772100.E-01  146443.E-08  452591.E-08
794160.E-01  148412.E-08  449332.E-08
816220.E-01  150467.E-08  466697.E-08
838280.E-01  152571.E-08  450153.E-08
860340.E-01  154596.E-08  461676.E-08
882400.E-01  156888.E-08  463982.E-08
904460.E-01  158735.E-08  488297.E-08
926520.E-01  161216.E-08  495769.E-08
948580.E-01  163540.E-08  510159.E-08
970640.E-01  166327.E-08  502125.E-08
992700.E-01  168692.E-08  494484.E-08
101476.E+00  171096.E-08  495685.E-08
103682.E+00  173214.E-08  533942.E-08
105888.E+00  176482.E-08  542604.E-08
108094.E+00  179342.E-08  538459.E-08
110300.E+00  181935.E-08  544767.E-08
112506.E+00  185124.E-08  553219.E-08
114712.E+00  189149.E-08  576677.E-08
116918.E+00  193066.E-08  578931.E-08
119124.E+00  196873.E-08  594933.E-08
121330.E+00  200594.E-08  601746.E-08
123536.E+00  204779.E-08  612145.E-08
125742.E+00  208757.E-08  622360.E-08
127948.E+00  213751.E-08  636157.E-08
130154.E+00  218844.E-08  663248.E-08
132360.E+00  224253.E-08  655824.E-08
134566.E+00  229787.E-08  673408.E-08
136772.E+00  235852.E-08  723468.E-08
138978.E+00  242348.E-08  734906.E-08
141184.E+00  248860.E-08  731769.E-08
143390.E+00  256885.E-08  763934.E-08
145596.E+00  265041.E-08  788860.E-08
147802.E+00  274196.E-08  805406.E-08
150008.E+00  284154.E-08  834020.E-08
152214.E+00  295295.E-08  858968.E-08
154420.E+00  307204.E-08  902669.E-08
156626.E+00  321149.E-08  940180.E-08
158832.E+00  337076.E-08  979123.E-08
161038.E+00  355158.E-08  103517.E-07
163244.E+00  375072.E-08  108661.E-07
165450.E+00  400214.E-08  114264.E-07
167656.E+00  428143.E-08  124111.E-07
169862.E+00  464145.E-08  132020.E-07
172068.E+00  509050.E-08  145806.E-07
174274.E+00  572605.E-08  158487.E-07
176480.E+00  657922.E-08  181585.E-07
178686.E+00  790376.E-08  210449.E-07
180892.E+00  993963.E-08  256208.E-07
183098.E+00  132892.E-07  322024.E-07
185304.E+00  180513.E-07  406389.E-07
187510.E+00  233850.E-07  490417.E-07
189716.E+00  267312.E-07  523649.E-07
191922.E+00  256305.E-07  478023.E-07
194128.E+00  202890.E-07  361400.E-07
196334.E+00  127004.E-07  217733.E-07
198540.E+00  642227.E-08  106974.E-07
200746.E+00  254643.E-08  411850.E-08
202952.E+00  819281.E-09  128869.E-08
205158.E+00  189816.E-09  292032.E-09
207364.E+00  368332.E-10  575186.E-10
209570.E+00  462915.E-11  751117.E-11
211776.E+00  789720.E-12  167104.E-11
213982.E+00  000000.E+00  000000.E+00
216188.E+00  000000.E+00  000000.E+00
218394.E+00  000000.E+00  000000.E+00
220600.E+00  000000.E+00  000000.E+00
