====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 2000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+05 A   Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   188.9E+03 A   Straggling =   904.2E+01 A
 Ion Lateral Range =   128.7E+02 A   Straggling =   175.6E+02 A
 Ion Radial  Range =   202.2E+02 A   Straggling =   144.5E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =278
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -006.6560  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 085.6871  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
220601.E-02  4.5331E-01  0.0000E+00
441201.E-02  6.3463E-01  0.0000E+00
661801.E-02  2.7199E-01  0.0000E+00
882401.E-02  9.0662E-01  0.0000E+00
110300.E-01  7.2529E-01  0.0000E+00
132360.E-01  4.5331E-01  0.0000E+00
154420.E-01  4.5331E-01  0.0000E+00
176480.E-01  9.5195E-01  0.0000E+00
198540.E-01  5.4397E-01  0.0000E+00
220600.E-01  5.8930E-01  0.0000E+00
242660.E-01  9.0662E-01  0.0000E+00
264720.E-01  8.1596E-01  0.0000E+00
286780.E-01  6.3463E-01  0.0000E+00
308840.E-01  9.9728E-01  0.0000E+00
330900.E-01  8.1596E-01  0.0000E+00
352960.E-01  9.5195E-01  0.0000E+00
375020.E-01  1.0426E+00  0.0000E+00
397080.E-01  1.1786E+00  0.0000E+00
419140.E-01  1.0879E+00  0.0000E+00
441200.E-01  1.4959E+00  0.0000E+00
463260.E-01  1.1333E+00  0.0000E+00
485320.E-01  1.3146E+00  0.0000E+00
507380.E-01  1.4506E+00  0.0000E+00
529440.E-01  1.5413E+00  0.0000E+00
551500.E-01  1.3599E+00  0.0000E+00
573560.E-01  1.4506E+00  0.0000E+00
595620.E-01  1.6319E+00  0.0000E+00
617680.E-01  1.8132E+00  0.0000E+00
639740.E-01  1.8132E+00  0.0000E+00
