====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 19965.E+01 A ;
  Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
199647.E-02  7559.68E-03  9839.54E-08
399293.E-02  7574.27E-03  5051.57E-07
598939.E-02  7601.47E-03  8038.09E-07
798585.E-02  7640.78E-03  8443.92E-07
998231.E-02  7669.83E-03  5672.87E-07
119788.E-01  7699.67E-03  7542.36E-07
139752.E-01  7734.04E-03  8665.33E-07
159717.E-01  7773.26E-03  8321.29E-07
179682.E-01  7813.63E-03  7960.63E-07
199646.E-01  7854.36E-03  8365.91E-07
219611.E-01  7894.26E-03  8618.76E-07
239575.E-01  7937.80E-03  8829.68E-07
259540.E-01  7980.25E-03  8932.60E-07
279505.E-01  8022.96E-03  9081.28E-07
299469.E-01  8067.05E-03  8486.90E-07
319434.E-01  8112.93E-03  7953.71E-07
339398.E-01  8160.20E-03  9381.17E-07
359363.E-01  8207.44E-03  8166.55E-07
379328.E-01  8253.30E-03  8458.67E-07
399292.E-01  8303.40E-03  9614.60E-07
419257.E-01  8354.06E-03  9734.55E-07
439221.E-01  8405.35E-03  9516.80E-07
459186.E-01  8454.91E-03  9638.65E-07
479151.E-01  8507.08E-03  1019.38E-06
499115.E-01  8558.31E-03  9892.08E-07
519080.E-01  8613.67E-03  9123.91E-07
539044.E-01  8668.40E-03  1016.70E-06
559009.E-01  8724.98E-03  1082.88E-06
578974.E-01  8783.63E-03  9607.35E-07
598938.E-01  8846.30E-03  1081.51E-06
618903.E-01  8907.08E-03  9991.78E-07
638867.E-01  8970.63E-03  1053.61E-06
658832.E-01  9034.81E-03  1058.03E-06
678797.E-01  9099.55E-03  1095.04E-06
698761.E-01  9166.43E-03  1118.27E-06
718726.E-01  9235.41E-03  1075.41E-06
738690.E-01  9304.70E-03  1140.19E-06
758655.E-01  9377.26E-03  1199.40E-06
778620.E-01  9449.01E-03  1081.74E-06
798584.E-01  9524.16E-03  1140.02E-06
818549.E-01  9602.11E-03  1122.84E-06
838513.E-01  9682.81E-03  1061.89E-06
858478.E-01  9766.96E-03  1174.63E-06
878443.E-01  9851.74E-03  1205.89E-06
898407.E-01  9939.23E-03  1137.39E-06
918372.E-01  1002.88E-02  1070.44E-06
938336.E-01  1012.40E-02  1203.55E-06
958301.E-01  1022.13E-02  1176.21E-06
978266.E-01  1032.38E-02  1221.99E-06
998230.E-01  1042.94E-02  1200.19E-06
101819.E+00  1053.95E-02  1303.37E-06
103816.E+00  1065.26E-02  1181.16E-06
105812.E+00  1076.62E-02  1365.40E-06
107809.E+00  1088.05E-02  1375.08E-06
109805.E+00  1099.93E-02  1351.09E-06
111802.E+00  1111.77E-02  1404.39E-06
113798.E+00  1124.81E-02  1516.74E-06
115795.E+00  1138.21E-02  1500.31E-06
117791.E+00  1152.74E-02  1445.39E-06
119788.E+00  1168.14E-02  1584.46E-06
121784.E+00  1184.56E-02  1491.52E-06
123781.E+00  1201.80E-02  1499.64E-06
125777.E+00  1219.91E-02  1628.98E-06
127773.E+00  1238.40E-02  1688.92E-06
129770.E+00  1258.66E-02  1592.19E-06
131766.E+00  1280.07E-02  1806.19E-06
133763.E+00  1302.32E-02  1794.05E-06
135759.E+00  1326.01E-02  1820.29E-06
137756.E+00  1351.47E-02  1854.19E-06
139752.E+00  1378.71E-02  1958.54E-06
141749.E+00  1407.61E-02  2125.50E-06
143745.E+00  1438.88E-02  2128.35E-06
145742.E+00  1473.05E-02  2284.60E-06
147738.E+00  1509.23E-02  2260.34E-06
149735.E+00  1549.60E-02  2401.42E-06
151731.E+00  1593.72E-02  2567.07E-06
153727.E+00  1642.25E-02  2679.75E-06
155724.E+00  1696.56E-02  2909.20E-06
157720.E+00  1756.87E-02  3059.15E-06
159717.E+00  1824.51E-02  3448.62E-06
161713.E+00  1899.96E-02  3811.19E-06
163710.E+00  1980.54E-02  4245.88E-06
165706.E+00  2059.36E-02  5072.17E-06
167703.E+00  2116.98E-02  6387.51E-06
169699.E+00  2114.01E-02  8234.89E-06
171696.E+00  1995.55E-02  1059.67E-05
173692.E+00  1720.37E-02  1284.42E-05
175688.E+00  1303.96E-02  1318.90E-05
177685.E+00  8384.08E-03  1103.58E-05
179681.E+00  4448.84E-03  7304.37E-06
181678.E+00  1902.57E-03  3772.11E-06
183674.E+00  6425.72E-04  1492.57E-06
185671.E+00  1694.91E-04  4465.50E-07
187667.E+00  3436.27E-05  1018.70E-07
189664.E+00  5198.34E-06  1694.83E-08
191660.E+00  5993.69E-07  2115.29E-09
193657.E+00  3920.39E-08  2042.65E-10
195653.E+00  0000.00E+00  0000.00E+00
197650.E+00  0000.00E+00  0000.00E+00
199646.E+00  0000.00E+00  0000.00E+00
