====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 2000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 19965.E+01 AAA ;
  Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 174823.E+00 A   Straggling = 674541.E-02 A
 Ion Lateral Range = 942719.E-02 A   Straggling = 130332.E-01 A
 Ion Radial  Range = 148050.E-01 A   Straggling = 109528.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1996470.E-03 74747029.E-03 79857367.E-03 12159470.E-02 21153792.E-03 
3992930.E-03 61220717.E-03 75652486.E-03 11474855.E-02 27292147.E-03 
5989390.E-03 92042720.E-03 10041985.E-02 11539823.E-02 41897508.E-03 
7985850.E-03 12010353.E-02 12433433.E-02 12264570.E-02 29929764.E-03 
9982310.E-03 70686284.E-03 80737908.E-03 13237269.E-02 28696489.E-03 
1197877.E-02 66138048.E-03 80002121.E-03 10000482.E-02 38611980.E-03 
1397523.E-02 65868351.E-03 75004130.E-03 10453536.E-02 36601615.E-03 
1597169.E-02 71107937.E-03 83393464.E-03 97273262.E-03 40767101.E-03 
1796815.E-02 57165581.E-03 68335825.E-03 10090025.E-02 44062532.E-03 
1996461.E-02 70051272.E-03 84069490.E-03 10169149.E-02 30863136.E-03 
2196107.E-02 68790512.E-03 85439071.E-03 10023652.E-02 40098113.E-03 
2395753.E-02 68654965.E-03 89724485.E-03 13106289.E-02 30339109.E-03 
2595399.E-02 42844872.E-03 57906695.E-03 90350926.E-03 24379529.E-03 
2795045.E-02 10192398.E-02 11000262.E-02 11450743.E-02 35477440.E-03 
2994691.E-02 68080580.E-03 77987757.E-03 11851084.E-02 32897658.E-03 
3194337.E-02 54182071.E-03 67643995.E-03 92798480.E-03 41476545.E-03 
3393983.E-02 68337934.E-03 78950353.E-03 10928367.E-02 39977653.E-03 
3593629.E-02 55895401.E-03 65409960.E-03 10390018.E-02 33359826.E-03 
3793275.E-02 72699528.E-03 86485743.E-03 97055203.E-03 48057593.E-03 
3992921.E-02 80211162.E-03 92059746.E-03 10540314.E-02 40820760.E-03 
4192567.E-02 51289193.E-03 64120776.E-03 86289688.E-03 38542035.E-03 
4392213.E-02 62963640.E-03 77698057.E-03 90063373.E-03 47869807.E-03 
4591859.E-02 59619103.E-03 71560137.E-03 76865367.E-03 37449555.E-03 
