====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 34480.E+01 A ;
  Layer # 1- Density = 5.711E22 atoms/cm3 = 4.54 g/cm3
  Layer # 1- Ti = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
344801.E-02  4135.56E-03  3835.91E-08
689601.E-02  4141.58E-03  1985.91E-07
103440.E-01  4154.20E-03  3315.22E-07
137920.E-01  4174.75E-03  4596.98E-07
172400.E-01  4194.62E-03  2493.05E-07
206880.E-01  4209.29E-03  3115.55E-07
241360.E-01  4227.28E-03  4463.29E-07
275840.E-01  4247.26E-03  4431.56E-07
310320.E-01  4269.08E-03  4998.38E-07
344800.E-01  4291.60E-03  5031.75E-07
379280.E-01  4313.90E-03  4190.24E-07
413760.E-01  4336.00E-03  4825.51E-07
448240.E-01  4357.66E-03  4714.50E-07
482720.E-01  4381.38E-03  4443.03E-07
517200.E-01  4405.62E-03  4333.72E-07
551680.E-01  4429.75E-03  4866.44E-07
586160.E-01  4453.79E-03  4520.16E-07
620640.E-01  4478.74E-03  4212.84E-07
655120.E-01  4504.64E-03  4428.65E-07
689600.E-01  4531.02E-03  4461.58E-07
724080.E-01  4558.17E-03  4855.02E-07
758560.E-01  4584.73E-03  4413.47E-07
793040.E-01  4612.66E-03  4597.60E-07
827520.E-01  4640.45E-03  5199.45E-07
862000.E-01  4670.13E-03  4634.87E-07
896480.E-01  4699.26E-03  4054.68E-07
930960.E-01  4729.65E-03  5569.06E-07
965440.E-01  4760.81E-03  5298.38E-07
999920.E-01  4792.62E-03  4810.51E-07
103440.E+00  4825.05E-03  5512.42E-07
106888.E+00  4858.27E-03  5227.78E-07
110336.E+00  4891.76E-03  4917.61E-07
113784.E+00  4926.61E-03  5211.21E-07
117232.E+00  4962.30E-03  5141.86E-07
120680.E+00  4999.04E-03  5328.70E-07
124128.E+00  5036.76E-03  5070.51E-07
127576.E+00  5074.34E-03  5002.54E-07
131024.E+00  5113.35E-03  5648.25E-07
134472.E+00  5155.38E-03  5318.86E-07
137920.E+00  5197.85E-03  5889.96E-07
141368.E+00  5239.94E-03  5368.28E-07
144816.E+00  5284.41E-03  6143.32E-07
148264.E+00  5329.38E-03  5622.07E-07
151712.E+00  5377.02E-03  5426.93E-07
155160.E+00  5425.23E-03  5379.18E-07
158608.E+00  5475.34E-03  5315.37E-07
162056.E+00  5526.91E-03  6402.66E-07
165504.E+00  5580.21E-03  6396.87E-07
168952.E+00  5634.70E-03  6372.07E-07
172400.E+00  5694.99E-03  6257.28E-07
175848.E+00  5757.15E-03  6494.44E-07
179296.E+00  5821.85E-03  6799.09E-07
182744.E+00  5889.76E-03  6476.21E-07
186192.E+00  5959.21E-03  6528.56E-07
189640.E+00  6028.19E-03  7070.51E-07
193088.E+00  6098.82E-03  7326.73E-07
196536.E+00  6170.90E-03  6537.60E-07
199984.E+00  6245.18E-03  7202.96E-07
203432.E+00  6320.32E-03  7351.64E-07
206880.E+00  6399.11E-03  7346.16E-07
210328.E+00  6481.44E-03  7833.62E-07
213776.E+00  6567.36E-03  7375.24E-07
217224.E+00  6659.61E-03  7347.84E-07
220672.E+00  6757.53E-03  8458.05E-07
224120.E+00  6860.44E-03  8377.95E-07
227568.E+00  6969.22E-03  8638.84E-07
231016.E+00  7085.96E-03  8621.10E-07
234464.E+00  7208.62E-03  8766.97E-07
237912.E+00  7337.68E-03  9235.93E-07
241360.E+00  7481.04E-03  9339.81E-07
244808.E+00  7635.04E-03  1012.05E-06
248256.E+00  7802.22E-03  9878.88E-07
251704.E+00  7982.87E-03  1036.13E-06
255152.E+00  8180.15E-03  1023.72E-06
258600.E+00  8395.30E-03  1068.74E-06
262048.E+00  8636.90E-03  1098.78E-06
265496.E+00  8906.29E-03  1204.32E-06
268944.E+00  9210.89E-03  1213.48E-06
272392.E+00  9555.13E-03  1283.38E-06
275840.E+00  9956.16E-03  1415.29E-06
279288.E+00  1042.60E-02  1540.55E-06
282736.E+00  1098.04E-02  1664.43E-06
286184.E+00  1164.66E-02  1816.55E-06
289632.E+00  1244.93E-02  2067.83E-06
293080.E+00  1334.76E-02  2538.94E-06
296528.E+00  1416.69E-02  3160.14E-06
299976.E+00  1441.03E-02  4332.72E-06
303424.E+00  1340.98E-02  5497.97E-06
306872.E+00  1083.86E-02  6005.99E-06
310320.E+00  7277.90E-03  5298.17E-06
313768.E+00  3917.61E-03  3597.06E-06
317216.E+00  1650.09E-03  1838.62E-06
320664.E+00  5334.61E-04  7073.40E-07
324112.E+00  1303.03E-04  2000.51E-07
327560.E+00  2379.56E-05  4197.81E-08
331008.E+00  3398.80E-06  6640.47E-09
334456.E+00  2741.86E-07  6190.57E-10
337904.E+00  7039.15E-09  3279.52E-11
341352.E+00  0000.00E+00  0000.00E+00
344800.E+00  0000.00E+00  0000.00E+00
