====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     3.E+05 AAA ;
  Layer # 1- Density = 5.711E22 atoms/cm3 = 4.54 g/cm3
  Layer # 1- Ti = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
344801.E-02  552471.E-09  223734.E-09
689601.E-02  513992.E-09  797799.E-09
103440.E-01  494608.E-09  138444.E-08
137920.E-01  487375.E-09  201224.E-08
172400.E-01  475998.E-09  111987.E-08
206880.E-01  460334.E-09  132936.E-08
241360.E-01  455748.E-09  168808.E-08
275840.E-01  457372.E-09  175234.E-08
310320.E-01  459937.E-09  186730.E-08
344800.E-01  463698.E-09  187640.E-08
379280.E-01  467285.E-09  172606.E-08
413760.E-01  470579.E-09  185331.E-08
448240.E-01  474761.E-09  183915.E-08
482720.E-01  478376.E-09  180633.E-08
517200.E-01  481938.E-09  177925.E-08
551680.E-01  485520.E-09  188294.E-08
586160.E-01  488849.E-09  185267.E-08
620640.E-01  492959.E-09  180346.E-08
655120.E-01  497035.E-09  186111.E-08
689600.E-01  501245.E-09  184807.E-08
724080.E-01  506066.E-09  193460.E-08
758560.E-01  510426.E-09  187509.E-08
793040.E-01  515310.E-09  193345.E-08
827520.E-01  519107.E-09  203541.E-08
862000.E-01  524141.E-09  196367.E-08
896480.E-01  529306.E-09  183876.E-08
930960.E-01  534703.E-09  214846.E-08
965440.E-01  540304.E-09  209798.E-08
999920.E-01  545615.E-09  202938.E-08
103440.E+00  550424.E-09  219477.E-08
106888.E+00  555567.E-09  212213.E-08
110336.E+00  560715.E-09  207740.E-08
113784.E+00  566603.E-09  215527.E-08
117232.E+00  572462.E-09  215513.E-08
120680.E+00  579052.E-09  220334.E-08
124128.E+00  585673.E-09  217445.E-08
127576.E+00  591606.E-09  217940.E-08
131024.E+00  598276.E-09  232408.E-08
134472.E+00  604923.E-09  229631.E-08
137920.E+00  612031.E-09  239807.E-08
141368.E+00  619486.E-09  231479.E-08
144816.E+00  628146.E-09  248733.E-08
148264.E+00  635824.E-09  236114.E-08
151712.E+00  644058.E-09  238141.E-08
155160.E+00  652688.E-09  238139.E-08
158608.E+00  660921.E-09  236363.E-08
162056.E+00  671365.E-09  261952.E-08
165504.E+00  681126.E-09  265621.E-08
168952.E+00  691143.E-09  267025.E-08
172400.E+00  701116.E-09  265725.E-08
175848.E+00  712388.E-09  273431.E-08
179296.E+00  723099.E-09  283429.E-08
182744.E+00  734779.E-09  279332.E-08
186192.E+00  745513.E-09  282366.E-08
189640.E+00  758859.E-09  293649.E-08
193088.E+00  774134.E-09  305311.E-08
196536.E+00  788589.E-09  292618.E-08
199984.E+00  803101.E-09  309939.E-08
203432.E+00  818776.E-09  313436.E-08
206880.E+00  836571.E-09  316683.E-08
210328.E+00  854997.E-09  334156.E-08
213776.E+00  873349.E-09  327467.E-08
217224.E+00  891858.E-09  328816.E-08
220672.E+00  912506.E-09  357512.E-08
224120.E+00  937018.E-09  362655.E-08
227568.E+00  961115.E-09  373183.E-08
231016.E+00  986336.E-09  378771.E-08
234464.E+00  101397.E-08  389092.E-08
237912.E+00  104467.E-08  405231.E-08
241360.E+00  107673.E-08  413670.E-08
244808.E+00  111233.E-08  437696.E-08
248256.E+00  115197.E-08  441862.E-08
251704.E+00  119714.E-08  464063.E-08
255152.E+00  124773.E-08  470105.E-08
258600.E+00  130247.E-08  491449.E-08
262048.E+00  136241.E-08  512599.E-08
265496.E+00  143222.E-08  552639.E-08
268944.E+00  151492.E-08  569733.E-08
272392.E+00  161664.E-08  607901.E-08
275840.E+00  173784.E-08  664237.E-08
279288.E+00  187958.E-08  725019.E-08
282736.E+00  207306.E-08  793986.E-08
286184.E+00  232570.E-08  884736.E-08
289632.E+00  272981.E-08  102960.E-07
293080.E+00  345906.E-08  129187.E-07
296528.E+00  492894.E-08  171377.E-07
299976.E+00  758782.E-08  246783.E-07
303424.E+00  110771.E-07  331499.E-07
306872.E+00  136175.E-07  379064.E-07
310320.E+00  131186.E-07  345270.E-07
313768.E+00  957677.E-08  240514.E-07
317216.E+00  521299.E-08  125656.E-07
320664.E+00  209122.E-08  489756.E-08
324112.E+00  620828.E-09  141019.E-08
327560.E+00  132544.E-09  297533.E-09
331008.E+00  218581.E-10  477599.E-10
334456.E+00  229378.E-11  464380.E-11
337904.E+00  113146.E-12  243760.E-12
341352.E+00  000000.E+00  000000.E+00
344800.E+00  000000.E+00  000000.E+00
