====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 2000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     3.E+05 A   Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   293.5E+03 A   Straggling =   135.9E+02 A
 Ion Lateral Range =   194.7E+02 A   Straggling =   266.1E+02 A
 Ion Radial  Range =   305.6E+02 A   Straggling =   218.9E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =274
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -006.7832  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 090.2897  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
341501.E-02  2.6354E-01  0.0000E+00
683001.E-02  3.5139E-01  0.0000E+00
102450.E-01  4.3924E-01  0.0000E+00
136600.E-01  1.7570E-01  0.0000E+00
170750.E-01  2.9283E-01  0.0000E+00
204900.E-01  6.4422E-01  0.0000E+00
239050.E-01  3.2211E-01  0.0000E+00
273200.E-01  5.5637E-01  0.0000E+00
307350.E-01  3.8067E-01  0.0000E+00
341500.E-01  5.5637E-01  0.0000E+00
375650.E-01  4.9780E-01  0.0000E+00
409800.E-01  3.8067E-01  0.0000E+00
443950.E-01  5.8565E-01  0.0000E+00
478100.E-01  4.3924E-01  0.0000E+00
512250.E-01  5.8565E-01  0.0000E+00
546400.E-01  5.2709E-01  0.0000E+00
580550.E-01  5.5637E-01  0.0000E+00
614700.E-01  7.6135E-01  0.0000E+00
648850.E-01  4.6852E-01  0.0000E+00
683000.E-01  6.1493E-01  0.0000E+00
717150.E-01  5.8565E-01  0.0000E+00
751300.E-01  5.8565E-01  0.0000E+00
785450.E-01  8.1991E-01  0.0000E+00
819600.E-01  9.0776E-01  0.0000E+00
853750.E-01  6.4422E-01  0.0000E+00
887900.E-01  9.3704E-01  0.0000E+00
922050.E-01  9.3704E-01  0.0000E+00
956200.E-01  1.0249E+00  0.0000E+00
990350.E-01  7.9063E-01  0.0000E+00
