====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 91060.E+01 AAA ;
  Layer # 1- Density = 6.021E22 atoms/cm3 = 2.698 g/cm3
  Layer # 1- Al = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
910601.E-02  7842.51E-07  7842.51E-07
182120.E-01  8975.25E-07  8975.25E-07
273180.E-01  8884.74E-07  8884.74E-07
364240.E-01  8268.48E-07  8268.48E-07
455300.E-01  8055.00E-07  8055.00E-07
546360.E-01  8262.34E-07  8262.34E-07
637420.E-01  8270.31E-07  8270.31E-07
728480.E-01  8694.46E-07  8694.46E-07
819540.E-01  8681.29E-07  8681.29E-07
910600.E-01  8871.00E-07  8871.00E-07
100166.E+00  8555.94E-07  8555.94E-07
109272.E+00  8485.02E-07  8485.02E-07
118378.E+00  8537.10E-07  8537.10E-07
127484.E+00  8513.12E-07  8513.12E-07
136590.E+00  8890.54E-07  8890.54E-07
145696.E+00  8928.11E-07  8928.11E-07
154802.E+00  9045.52E-07  9045.52E-07
163908.E+00  8902.39E-07  8902.39E-07
173014.E+00  8878.61E-07  8878.61E-07
182120.E+00  9163.00E-07  9163.00E-07
191226.E+00  9223.67E-07  9223.67E-07
200332.E+00  9307.95E-07  9307.95E-07
209438.E+00  9507.28E-07  9507.28E-07
218544.E+00  9505.01E-07  9505.01E-07
227650.E+00  9215.77E-07  9215.77E-07
236756.E+00  9290.14E-07  9290.14E-07
245862.E+00  9863.47E-07  9863.47E-07
254968.E+00  9913.74E-07  9913.74E-07
264074.E+00  9735.18E-07  9735.18E-07
273180.E+00  1039.52E-06  1039.52E-06
282286.E+00  1081.48E-06  1081.48E-06
291392.E+00  1039.45E-06  1039.45E-06
300498.E+00  9970.74E-07  9970.74E-07
309604.E+00  1033.40E-06  1033.40E-06
318710.E+00  1040.26E-06  1040.26E-06
327816.E+00  1053.42E-06  1053.42E-06
336922.E+00  1040.23E-06  1040.23E-06
346028.E+00  1061.51E-06  1061.51E-06
355134.E+00  1113.13E-06  1113.13E-06
364240.E+00  1145.67E-06  1145.67E-06
373346.E+00  1127.56E-06  1127.56E-06
382452.E+00  1135.34E-06  1135.34E-06
391558.E+00  1176.76E-06  1176.76E-06
400664.E+00  1185.55E-06  1185.55E-06
409770.E+00  1193.26E-06  1193.26E-06
418876.E+00  1207.33E-06  1207.33E-06
427982.E+00  1182.11E-06  1182.11E-06
437088.E+00  1251.69E-06  1251.69E-06
446194.E+00  1284.13E-06  1284.13E-06
455300.E+00  1279.12E-06  1279.12E-06
464406.E+00  1293.51E-06  1293.51E-06
473512.E+00  1295.42E-06  1295.42E-06
482618.E+00  1301.61E-06  1301.61E-06
491724.E+00  1304.13E-06  1304.13E-06
500830.E+00  1325.92E-06  1325.92E-06
509936.E+00  1367.16E-06  1367.16E-06
519042.E+00  1401.32E-06  1401.32E-06
528148.E+00  1430.88E-06  1430.88E-06
537254.E+00  1510.49E-06  1510.49E-06
546360.E+00  1529.46E-06  1529.46E-06
555466.E+00  1567.81E-06  1567.81E-06
564572.E+00  1615.02E-06  1615.02E-06
573678.E+00  1571.70E-06  1571.70E-06
582784.E+00  1585.75E-06  1585.75E-06
591890.E+00  1623.97E-06  1623.97E-06
600996.E+00  1616.76E-06  1616.76E-06
610102.E+00  1716.08E-06  1716.08E-06
619208.E+00  1827.76E-06  1827.76E-06
628314.E+00  1801.08E-06  1801.08E-06
637420.E+00  1820.70E-06  1820.70E-06
646526.E+00  1946.89E-06  1946.89E-06
655632.E+00  2002.90E-06  2002.90E-06
664738.E+00  2067.35E-06  2067.35E-06
673844.E+00  2243.20E-06  2243.20E-06
682950.E+00  2269.60E-06  2269.60E-06
692056.E+00  2350.65E-06  2350.65E-06
701162.E+00  2490.45E-06  2490.45E-06
710268.E+00  2597.65E-06  2597.65E-06
719374.E+00  2794.17E-06  2794.17E-06
728480.E+00  2946.45E-06  2946.45E-06
737586.E+00  3182.30E-06  3182.30E-06
746692.E+00  3382.38E-06  3382.38E-06
755798.E+00  3728.78E-06  3728.78E-06
764904.E+00  4267.71E-06  4267.71E-06
774010.E+00  4904.40E-06  4904.40E-06
783116.E+00  6096.30E-06  6096.30E-06
792222.E+00  8475.99E-06  8475.99E-06
801328.E+00  1238.40E-05  1238.40E-05
810434.E+00  1627.13E-05  1627.13E-05
819540.E+00  1644.01E-05  1644.01E-05
828646.E+00  1193.56E-05  1193.56E-05
837752.E+00  5956.45E-06  5956.45E-06
846858.E+00  2018.82E-06  2018.82E-06
855964.E+00  4639.36E-07  4639.36E-07
865070.E+00  6871.25E-08  6871.25E-08
874176.E+00  7692.16E-09  7692.16E-09
883282.E+00  1464.09E-10  1464.09E-10
892388.E+00  0000.00E+00  0000.00E+00
901494.E+00  0000.00E+00  0000.00E+00
910600.E+00  0000.00E+00  0000.00E+00
