====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 91060.E+01 AAA ;
  Layer # 1- Density = 6.021E22 atoms/cm3 = 2.698 g/cm3
  Layer # 1- Al = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 815543.E+00 A   Straggling = 193310.E-01 A
 Ion Lateral Range = 236910.E-01 A   Straggling = 342195.E-01 A
 Ion Radial  Range = 372087.E-01 A   Straggling = 310517.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
9106010.E-03 50163969.E-02 51975420.E-02 56468727.E-02 12569390.E-02 
1821201.E-02 47217527.E-02 47217527.E-02 56871009.E-02 00000000.E+00 
2731801.E-02 32984500.E-02 32984500.E-02 33962121.E-02 00000000.E+00 
3642401.E-02 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4553001.E-02 30175482.E-02 33466588.E-02 47404577.E-02 23504569.E-02 
5463601.E-02 28016246.E-02 34216406.E-02 51039393.E-02 22380103.E-03 
6374201.E-02 49194188.E-02 51540465.E-02 64225773.E-02 36007637.E-04 
7284801.E-02 24639849.E-02 24639849.E-02 43239366.E-02 00000000.E+00 
8195401.E-02 34643154.E-02 39177119.E-02 49147172.E-02 17173311.E-02 
9106001.E-02 36255388.E-02 38409886.E-02 43394753.E-02 17903777.E-02 
1001660.E-01 17147548.E-02 19723619.E-02 40997129.E-02 10299671.E-02 
1092720.E-01 38229698.E-02 40661791.E-02 54463599.E-02 14667088.E-02 
1183780.E-01 57334857.E-02 57731612.E-02 58808134.E-02 82281962.E-03 
1274840.E-01 17055921.E-02 19933632.E-02 53182767.E-02 18354789.E-02 
1365900.E-01 44523829.E-03 44523829.E-03 58264827.E-02 00000000.E+00 
1456960.E-01 10992889.E-02 18102534.E-02 59752481.E-02 92551406.E-03 
1548020.E-01 27627014.E-02 37317844.E-02 37155482.E-02 18834127.E-02 
1639080.E-01 10554325.E-02 13303109.E-02 22257559.E-02 16031075.E-02 
1730140.E-01 36541590.E-02 38065046.E-02 41093228.E-02 11841884.E-02 
1821200.E-01 30054754.E-02 30054754.E-02 58515607.E-02 00000000.E+00 
1912260.E-01 24863085.E-02 31448007.E-02 50134693.E-02 99472280.E-03 
2003320.E-01 31295177.E-02 35024017.E-02 42290720.E-02 18084575.E-02 
2094380.E-01 21112314.E-02 26218461.E-02 52611867.E-02 14856613.E-02 
