====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
393801.E-02  704733.E-09  492949.E-09
787601.E-02  647244.E-09  165802.E-08
118140.E-01  626660.E-09  234586.E-08
157520.E-01  597051.E-09  166142.E-08
196900.E-01  584672.E-09  224266.E-08
236280.E-01  587573.E-09  229905.E-08
275660.E-01  592079.E-09  231261.E-08
315040.E-01  596212.E-09  239433.E-08
354420.E-01  600318.E-09  221687.E-08
393800.E-01  604522.E-09  243678.E-08
433180.E-01  609022.E-09  230211.E-08
472560.E-01  613094.E-09  243291.E-08
511940.E-01  618353.E-09  236211.E-08
551320.E-01  623376.E-09  241425.E-08
590700.E-01  629340.E-09  242663.E-08
630080.E-01  634789.E-09  250731.E-08
669460.E-01  639903.E-09  241191.E-08
708840.E-01  645107.E-09  244085.E-08
748220.E-01  650164.E-09  262048.E-08
787600.E-01  656056.E-09  236624.E-08
826980.E-01  662845.E-09  259788.E-08
866360.E-01  669608.E-09  255143.E-08
905740.E-01  675534.E-09  268580.E-08
945120.E-01  680601.E-09  257095.E-08
984500.E-01  686803.E-09  268302.E-08
102388.E+00  693204.E-09  285884.E-08
106326.E+00  700523.E-09  271127.E-08
110264.E+00  707487.E-09  271485.E-08
114202.E+00  715517.E-09  272084.E-08
118140.E+00  722217.E-09  277346.E-08
122078.E+00  729423.E-09  281115.E-08
126016.E+00  736631.E-09  278482.E-08
129954.E+00  744495.E-09  292692.E-08
133892.E+00  753450.E-09  292296.E-08
137830.E+00  761651.E-09  303953.E-08
141768.E+00  771484.E-09  292123.E-08
145706.E+00  780628.E-09  303510.E-08
149644.E+00  790802.E-09  307842.E-08
153582.E+00  800517.E-09  318863.E-08
157520.E+00  809736.E-09  311357.E-08
161458.E+00  819324.E-09  319223.E-08
165396.E+00  830848.E-09  311148.E-08
169334.E+00  841758.E-09  319796.E-08
173272.E+00  854178.E-09  324714.E-08
177210.E+00  865531.E-09  337204.E-08
181148.E+00  878454.E-09  337722.E-08
185086.E+00  890895.E-09  336841.E-08
189024.E+00  904445.E-09  356131.E-08
192962.E+00  919977.E-09  355611.E-08
196900.E+00  934544.E-09  368968.E-08
200838.E+00  947881.E-09  363213.E-08
204776.E+00  963882.E-09  371605.E-08
208714.E+00  981834.E-09  387738.E-08
212652.E+00  100039.E-08  382673.E-08
216590.E+00  101914.E-08  401293.E-08
220528.E+00  103984.E-08  420324.E-08
224466.E+00  106052.E-08  412625.E-08
228404.E+00  108150.E-08  434447.E-08
232342.E+00  110331.E-08  425322.E-08
236280.E+00  112876.E-08  431967.E-08
240218.E+00  115585.E-08  448833.E-08
244156.E+00  118455.E-08  457233.E-08
248094.E+00  121404.E-08  483472.E-08
252032.E+00  124564.E-08  484523.E-08
255970.E+00  127766.E-08  502270.E-08
259908.E+00  131618.E-08  512077.E-08
263846.E+00  135552.E-08  519884.E-08
267784.E+00  140171.E-08  552348.E-08
271722.E+00  144956.E-08  559386.E-08
275660.E+00  149842.E-08  573759.E-08
279598.E+00  155960.E-08  611706.E-08
283536.E+00  162395.E-08  638433.E-08
287474.E+00  169446.E-08  657045.E-08
291412.E+00  177829.E-08  687210.E-08
295350.E+00  187319.E-08  720230.E-08
299288.E+00  197614.E-08  751697.E-08
303226.E+00  210249.E-08  811055.E-08
307164.E+00  225779.E-08  866108.E-08
311102.E+00  244585.E-08  945006.E-08
315040.E+00  268294.E-08  104320.E-07
318978.E+00  299534.E-08  114598.E-07
322916.E+00  343351.E-08  130243.E-07
326854.E+00  411669.E-08  154465.E-07
330792.E+00  532937.E-08  195734.E-07
334730.E+00  763090.E-08  265601.E-07
338668.E+00  114540.E-07  368730.E-07
342606.E+00  159280.E-07  476179.E-07
346544.E+00  183551.E-07  513599.E-07
350482.E+00  164002.E-07  435868.E-07
354420.E+00  109988.E-07  279432.E-07
358358.E+00  542680.E-08  133327.E-07
362296.E+00  194111.E-08  464665.E-08
366234.E+00  506407.E-09  118481.E-08
370172.E+00  973588.E-10  225351.E-09
374110.E+00  141267.E-10  315697.E-10
378048.E+00  168202.E-11  343446.E-11
381986.E+00  650202.E-13  104356.E-12
385924.E+00  000000.E+00  000000.E+00
389862.E+00  000000.E+00  000000.E+00
393800.E+00  000000.E+00  000000.E+00
