====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 A ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 26 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
393801.E-02  1434.74E-09  3168.73E-09  
787601.E-02  5046.98E-09  1186.69E-08  
118140.E-01  7652.87E-09  1685.27E-08  
157520.E-01  5453.78E-09  1205.68E-08  
196900.E-01  6906.55E-09  1755.13E-08  
236280.E-01  7463.69E-09  1750.75E-08  
275660.E-01  7497.46E-09  1755.73E-08  
315040.E-01  7560.18E-09  1854.38E-08  
354420.E-01  7635.09E-09  1608.28E-08  
393800.E-01  7687.40E-09  1889.07E-08  
433180.E-01  7729.05E-09  1705.32E-08  
472560.E-01  7855.00E-09  1860.40E-08  
511940.E-01  7850.69E-09  1763.04E-08  
551320.E-01  7988.57E-09  1818.10E-08  
590700.E-01  8131.54E-09  1810.53E-08  
630080.E-01  8063.23E-09  1923.24E-08  
669460.E-01  8187.15E-09  1771.55E-08  
708840.E-01  8247.08E-09  1804.52E-08  
748220.E-01  8424.58E-09  2023.16E-08  
787600.E-01  8365.92E-09  1679.62E-08  
826980.E-01  8495.18E-09  1973.53E-08  
866360.E-01  8553.07E-09  1893.63E-08  
905740.E-01  8643.73E-09  2060.10E-08  
945120.E-01  8784.66E-09  1886.91E-08  
984500.E-01  8831.89E-09  2028.45E-08  
102388.E+00  8903.50E-09  2249.45E-08  
106326.E+00  9063.74E-09  2026.27E-08  
110264.E+00  9145.76E-09  2024.51E-08  
114202.E+00  9215.85E-09  2007.74E-08  
118140.E+00  9332.40E-09  2067.08E-08  
122078.E+00  9424.07E-09  2094.09E-08  
126016.E+00  9588.88E-09  2042.70E-08  
129954.E+00  9710.51E-09  2207.41E-08  
133892.E+00  9743.02E-09  2195.10E-08  
137830.E+00  9976.13E-09  2316.61E-08  
141768.E+00  1006.32E-08  2145.36E-08  
145706.E+00  1022.07E-08  2268.79E-08  
149644.E+00  1028.24E-08  2310.66E-08  
153582.E+00  1043.96E-08  2434.97E-08  
157520.E+00  1049.19E-08  2317.10E-08  
161458.E+00  1070.04E-08  2394.15E-08  
165396.E+00  1090.91E-08  2254.87E-08  
169334.E+00  1109.90E-08  2344.70E-08  
173272.E+00  1127.60E-08  2381.02E-08  
177210.E+00  1137.20E-08  2525.25E-08  
181148.E+00  1151.93E-08  2502.21E-08  
185086.E+00  1185.96E-08  2445.65E-08  
189024.E+00  1203.15E-08  2676.69E-08  
192962.E+00  1217.78E-08  2638.08E-08  
196900.E+00  1230.17E-08  2787.84E-08  
200838.E+00  1254.60E-08  2675.12E-08  
204776.E+00  1286.24E-08  2743.11E-08  
208714.E+00  1321.74E-08  2907.41E-08  
212652.E+00  1336.64E-08  2806.32E-08  
216590.E+00  1367.42E-08  3006.66E-08  
220528.E+00  1397.00E-08  3209.80E-08  
224466.E+00  1424.40E-08  3060.24E-08  
228404.E+00  1446.90E-08  3303.45E-08  
232342.E+00  1494.44E-08  3121.04E-08  
236280.E+00  1516.07E-08  3159.76E-08  
240218.E+00  1568.87E-08  3310.27E-08  
244156.E+00  1604.37E-08  3356.41E-08  
