====== H (3000) into Layer 1                    =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 40000.E+01 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
400001.E-02  1862.01E-06  1864.85E-06
800001.E-02  1895.86E-06  1905.58E-06
120000.E-01  1893.60E-06  1910.30E-06
160000.E-01  1912.45E-06  1922.83E-06
200000.E-01  1925.03E-06  1938.56E-06
240000.E-01  1917.80E-06  1932.91E-06
280000.E-01  1996.85E-06  2012.03E-06
320000.E-01  2071.09E-06  2086.48E-06
360000.E-01  2168.17E-06  2183.95E-06
400000.E-01  2132.64E-06  2148.56E-06
440000.E-01  2127.03E-06  2142.89E-06
480000.E-01  2073.47E-06  2089.51E-06
520000.E-01  2113.54E-06  2129.45E-06
560000.E-01  2149.98E-06  2166.08E-06
600000.E-01  2199.23E-06  2215.28E-06
640000.E-01  2208.37E-06  2225.06E-06
680000.E-01  2235.20E-06  2251.97E-06
720000.E-01  2219.22E-06  2235.89E-06
760000.E-01  2170.86E-06  2187.67E-06
800000.E-01  2200.11E-06  2217.03E-06
840000.E-01  2251.07E-06  2268.56E-06
880000.E-01  2266.18E-06  2283.87E-06
920000.E-01  2320.36E-06  2337.98E-06
960000.E-01  2386.42E-06  2404.19E-06
100000.E+00  2331.21E-06  2349.23E-06
104000.E+00  2370.70E-06  2388.69E-06
108000.E+00  2352.97E-06  2371.31E-06
112000.E+00  2378.48E-06  2397.02E-06
116000.E+00  2390.48E-06  2409.28E-06
120000.E+00  2370.95E-06  2389.80E-06
124000.E+00  2333.40E-06  2352.65E-06
128000.E+00  2401.88E-06  2421.39E-06
132000.E+00  2490.41E-06  2510.07E-06
136000.E+00  2622.43E-06  2642.13E-06
140000.E+00  2666.50E-06  2686.48E-06
144000.E+00  2657.69E-06  2677.70E-06
148000.E+00  2615.79E-06  2636.44E-06
152000.E+00  2619.45E-06  2640.21E-06
156000.E+00  2674.60E-06  2695.61E-06
160000.E+00  2756.54E-06  2777.72E-06
164000.E+00  2780.89E-06  2802.46E-06
168000.E+00  2744.01E-06  2765.82E-06
172000.E+00  2778.86E-06  2801.18E-06
176000.E+00  2854.89E-06  2877.38E-06
180000.E+00  2867.91E-06  2890.59E-06
184000.E+00  2948.24E-06  2971.48E-06
188000.E+00  2985.11E-06  3008.71E-06
192000.E+00  2876.74E-06  2900.88E-06
196000.E+00  2893.46E-06  2917.62E-06
200000.E+00  2994.53E-06  3019.18E-06
204000.E+00  3068.83E-06  3093.81E-06
208000.E+00  3117.48E-06  3143.32E-06
212000.E+00  3206.07E-06  3232.11E-06
216000.E+00  3244.62E-06  3270.98E-06
220000.E+00  3304.00E-06  3331.19E-06
224000.E+00  3464.86E-06  3492.19E-06
228000.E+00  3482.74E-06  3511.05E-06
232000.E+00  3480.28E-06  3508.98E-06
236000.E+00  3473.80E-06  3503.25E-06
240000.E+00  3552.78E-06  3583.08E-06
244000.E+00  3683.68E-06  3714.19E-06
248000.E+00  3741.10E-06  3772.56E-06
252000.E+00  3905.59E-06  3937.89E-06
256000.E+00  3936.74E-06  3970.17E-06
260000.E+00  3919.05E-06  3953.03E-06
264000.E+00  4033.66E-06  4068.83E-06
268000.E+00  4146.13E-06  4182.49E-06
272000.E+00  4374.52E-06  4412.16E-06
276000.E+00  4572.61E-06  4611.18E-06
280000.E+00  4640.16E-06  4680.11E-06
284000.E+00  4683.94E-06  4725.22E-06
288000.E+00  4916.07E-06  4959.23E-06
292000.E+00  5150.38E-06  5195.32E-06
296000.E+00  5265.79E-06  5312.97E-06
300000.E+00  5661.24E-06  5710.94E-06
304000.E+00  5964.82E-06  6016.83E-06
308000.E+00  6191.03E-06  6246.32E-06
312000.E+00  6517.23E-06  6576.49E-06
316000.E+00  6942.88E-06  7007.09E-06
320000.E+00  7172.04E-06  7241.02E-06
324000.E+00  8101.40E-06  8177.64E-06
328000.E+00  8790.61E-06  8875.96E-06
332000.E+00  9892.14E-06  9991.02E-06
336000.E+00  1137.90E-05  1150.00E-05
340000.E+00  1416.05E-05  1432.47E-05
344000.E+00  1926.96E-05  1952.09E-05
348000.E+00  2636.56E-05  2676.51E-05
352000.E+00  3330.08E-05  3387.40E-05
356000.E+00  3471.23E-05  3537.20E-05
360000.E+00  2814.35E-05  2871.68E-05
364000.E+00  1689.54E-05  1725.90E-05
368000.E+00  7494.19E-06  7662.79E-06
372000.E+00  2431.85E-06  2488.48E-06
376000.E+00  5434.31E-07  5567.33E-07
380000.E+00  9219.52E-08  9453.22E-08
384000.E+00  1128.64E-08  1157.36E-08
388000.E+00  1089.62E-09  1120.37E-09
392000.E+00  2581.11E-10  2648.61E-10
396000.E+00  3472.12E-11  3622.12E-11
400000.E+00  0000.00E+00  0000.00E+00
