====== H (3000) into Layer 1                    =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 40000.E+01 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
400001.E-02  5285.13E-03  9520.40E-08
800001.E-02  5296.04E-03  3314.52E-07
120000.E-01  5320.07E-03  5132.30E-07
160000.E-01  5343.80E-03  3667.78E-07
200000.E-01  5365.36E-03  4331.83E-07
240000.E-01  5391.33E-03  5054.95E-07
280000.E-01  5419.07E-03  4866.53E-07
320000.E-01  5448.66E-03  5019.73E-07
360000.E-01  5476.22E-03  5623.23E-07
400000.E-01  5504.63E-03  5575.44E-07
440000.E-01  5532.57E-03  6154.42E-07
480000.E-01  5562.58E-03  5432.38E-07
520000.E-01  5591.72E-03  5367.86E-07
560000.E-01  5623.04E-03  5502.18E-07
600000.E-01  5653.68E-03  5394.66E-07
640000.E-01  5686.00E-03  5999.30E-07
680000.E-01  5719.22E-03  5978.52E-07
720000.E-01  5753.26E-03  5612.37E-07
760000.E-01  5786.37E-03  5908.67E-07
800000.E-01  5820.24E-03  5743.79E-07
840000.E-01  5855.99E-03  5579.53E-07
880000.E-01  5892.21E-03  5833.60E-07
920000.E-01  5928.23E-03  5930.18E-07
960000.E-01  5965.85E-03  5587.13E-07
100000.E+00  6004.43E-03  6530.33E-07
104000.E+00  6042.59E-03  6501.63E-07
108000.E+00  6082.97E-03  5419.07E-07
112000.E+00  6124.96E-03  6642.66E-07
116000.E+00  6165.85E-03  5611.09E-07
120000.E+00  6208.20E-03  6238.78E-07
124000.E+00  6253.02E-03  6115.34E-07
128000.E+00  6296.61E-03  6072.55E-07
132000.E+00  6342.80E-03  5594.15E-07
136000.E+00  6390.72E-03  6785.16E-07
140000.E+00  6438.64E-03  6671.24E-07
144000.E+00  6486.53E-03  6989.10E-07
148000.E+00  6535.88E-03  6904.19E-07
152000.E+00  6588.21E-03  6736.38E-07
156000.E+00  6641.69E-03  6763.59E-07
160000.E+00  6697.48E-03  6664.58E-07
164000.E+00  6753.27E-03  7215.09E-07
168000.E+00  6812.22E-03  7338.06E-07
172000.E+00  6872.15E-03  6870.98E-07
176000.E+00  6932.86E-03  6879.28E-07
180000.E+00  6994.87E-03  7195.86E-07
184000.E+00  7059.50E-03  7359.01E-07
188000.E+00  7127.24E-03  7263.37E-07
192000.E+00  7194.80E-03  7776.61E-07
196000.E+00  7264.88E-03  7232.64E-07
200000.E+00  7342.26E-03  7269.51E-07
204000.E+00  7420.80E-03  7372.96E-07
208000.E+00  7500.18E-03  7663.54E-07
212000.E+00  7582.08E-03  7837.36E-07
216000.E+00  7667.03E-03  8032.51E-07
220000.E+00  7756.14E-03  8279.39E-07
224000.E+00  7850.11E-03  8176.75E-07
228000.E+00  7946.73E-03  8855.60E-07
232000.E+00  8046.48E-03  9025.12E-07
236000.E+00  8150.09E-03  8525.98E-07
240000.E+00  8258.49E-03  8482.41E-07
244000.E+00  8373.05E-03  8916.59E-07
248000.E+00  8494.76E-03  9486.85E-07
252000.E+00  8619.13E-03  8967.81E-07
256000.E+00  8751.95E-03  1022.63E-06
260000.E+00  8887.32E-03  9340.32E-07
264000.E+00  9035.11E-03  9466.53E-07
268000.E+00  9193.66E-03  1022.82E-06
272000.E+00  9364.85E-03  9986.06E-07
276000.E+00  9548.75E-03  1131.33E-06
280000.E+00  9744.97E-03  1126.51E-06
284000.E+00  9952.59E-03  1165.82E-06
288000.E+00  1017.91E-02  1114.34E-06
292000.E+00  1042.05E-02  1248.60E-06
296000.E+00  1068.80E-02  1254.38E-06
300000.E+00  1099.30E-02  1312.88E-06
304000.E+00  1133.60E-02  1407.50E-06
308000.E+00  1172.03E-02  1483.63E-06
312000.E+00  1215.22E-02  1507.67E-06
316000.E+00  1264.47E-02  1621.41E-06
320000.E+00  1320.87E-02  1680.91E-06
324000.E+00  1386.48E-02  1824.92E-06
328000.E+00  1463.56E-02  2026.77E-06
332000.E+00  1555.80E-02  2198.43E-06
336000.E+00  1666.63E-02  2531.59E-06
340000.E+00  1791.01E-02  3111.38E-06
344000.E+00  1899.61E-02  4163.81E-06
348000.E+00  1916.18E-02  5735.47E-06
352000.E+00  1739.39E-02  7266.39E-06
356000.E+00  1339.64E-02  7698.52E-06
360000.E+00  8319.78E-03  6312.08E-06
364000.E+00  4026.47E-03  3848.11E-06
368000.E+00  1486.77E-03  1733.88E-06
372000.E+00  4083.24E-04  5688.05E-07
376000.E+00  8131.19E-05  1301.00E-07
380000.E+00  1179.09E-05  2176.89E-08
384000.E+00  1318.32E-06  2746.52E-09
388000.E+00  1710.11E-07  2663.05E-10
392000.E+00  4265.28E-08  5860.33E-11
396000.E+00  7332.49E-09  1263.60E-11
400000.E+00  0000.00E+00  0000.00E+00
