====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 40180.E+01 AAA ;
  Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 354244.E+00 A   Straggling = 114456.E-01 A
 Ion Lateral Range = 160535.E-01 A   Straggling = 225008.E-01 A
 Ion Radial  Range = 252206.E-01 A   Straggling = 194227.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
4018010.E-03 13465412.E-02 15123426.E-02 19955489.E-02 86134173.E-03 
8036010.E-03 15261432.E-02 18418528.E-02 22768372.E-02 42632476.E-03 
1205401.E-02 18695612.E-02 20002855.E-02 29288146.E-02 19941088.E-03 
1607201.E-02 20372863.E-02 22765987.E-02 27956537.E-02 17202949.E-03 
2009001.E-02 84029901.E-03 90081930.E-03 16362370.E-02 90153446.E-03 
2410801.E-02 14385211.E-02 15590499.E-02 23394176.E-02 57430868.E-03 
2812601.E-02 87070074.E-03 95932249.E-03 18913026.E-02 88901568.E-03 
3214401.E-02 91294634.E-03 95241175.E-03 21529963.E-02 10842002.E-02 
3616201.E-02 13470690.E-02 13803693.E-02 18286647.E-02 56468349.E-03 
4018001.E-02 13367070.E-02 17031081.E-02 19823725.E-02 10785395.E-02 
4419801.E-02 11904319.E-02 14551974.E-02 24886010.E-02 64785170.E-03 
4821601.E-02 73229053.E-03 78754846.E-03 24539773.E-02 80693643.E-03 
5223401.E-02 20789521.E-02 20870506.E-02 24137546.E-02 10624486.E-03 
5625201.E-02 11661064.E-02 13491865.E-02 23652981.E-02 64529401.E-03 
6027001.E-02 10543022.E-02 13832743.E-02 20581060.E-02 83264844.E-03 
6428801.E-02 18163938.E-02 19914182.E-02 25089348.E-02 59196288.E-03 
6830601.E-02 14674649.E-02 18283771.E-02 24035495.E-02 81846586.E-03 
7232401.E-02 13939811.E-02 15968307.E-02 21667994.E-02 73035535.E-03 
7634201.E-02 14778856.E-02 17173706.E-02 23921453.E-02 76229971.E-03 
8036001.E-02 17608168.E-02 18792063.E-02 21692804.E-02 55421635.E-03 
8437801.E-02 87523835.E-03 10747610.E-02 14644524.E-02 85256782.E-03 
8839601.E-02 10725947.E-02 13321758.E-02 20681917.E-02 62312705.E-03 
9241401.E-02 12085636.E-02 14986663.E-02 20175727.E-02 90241383.E-03 
