====== H (3000) into Layer 1                    =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  714242.E-09  440212.E-09
800001.E-02  664213.E-09  138807.E-08
120000.E-01  646379.E-09  221919.E-08
160000.E-01  622450.E-09  143631.E-08
200000.E-01  606600.E-09  178089.E-08
240000.E-01  606843.E-09  203827.E-08
280000.E-01  611364.E-09  197059.E-08
320000.E-01  616049.E-09  205716.E-08
360000.E-01  619231.E-09  215101.E-08
400000.E-01  624728.E-09  211954.E-08
440000.E-01  630237.E-09  225469.E-08
480000.E-01  636146.E-09  214428.E-08
520000.E-01  639841.E-09  214885.E-08
560000.E-01  644129.E-09  218830.E-08
600000.E-01  649219.E-09  214657.E-08
640000.E-01  654800.E-09  230416.E-08
680000.E-01  662166.E-09  230106.E-08
720000.E-01  667557.E-09  224036.E-08
760000.E-01  671182.E-09  231996.E-08
800000.E-01  674714.E-09  227262.E-08
840000.E-01  680870.E-09  226203.E-08
880000.E-01  687156.E-09  236647.E-08
920000.E-01  693404.E-09  235681.E-08
960000.E-01  699827.E-09  232891.E-08
100000.E+00  706047.E-09  248931.E-08
104000.E+00  712479.E-09  248202.E-08
108000.E+00  719110.E-09  234372.E-08
112000.E+00  725648.E-09  254672.E-08
116000.E+00  733561.E-09  239584.E-08
120000.E+00  741067.E-09  252657.E-08
124000.E+00  748158.E-09  252032.E-08
128000.E+00  755477.E-09  252449.E-08
132000.E+00  763810.E-09  242751.E-08
136000.E+00  773190.E-09  266443.E-08
140000.E+00  781047.E-09  267093.E-08
144000.E+00  789792.E-09  273728.E-08
148000.E+00  797398.E-09  276893.E-08
152000.E+00  806905.E-09  273818.E-08
156000.E+00  817974.E-09  275063.E-08
160000.E+00  827351.E-09  276598.E-08
164000.E+00  837384.E-09  287078.E-08
168000.E+00  849694.E-09  294299.E-08
172000.E+00  860529.E-09  289858.E-08
176000.E+00  870155.E-09  291258.E-08
180000.E+00  880864.E-09  298338.E-08
184000.E+00  892041.E-09  302557.E-08
188000.E+00  906268.E-09  303253.E-08
192000.E+00  919596.E-09  317598.E-08
196000.E+00  932985.E-09  306009.E-08
200000.E+00  947693.E-09  312460.E-08
204000.E+00  960893.E-09  316216.E-08
208000.E+00  977753.E-09  326113.E-08
212000.E+00  993634.E-09  333777.E-08
216000.E+00  101293.E-08  339950.E-08
220000.E+00  103105.E-08  349246.E-08
224000.E+00  105120.E-08  348352.E-08
228000.E+00  106870.E-08  368400.E-08
232000.E+00  108746.E-08  372606.E-08
236000.E+00  110817.E-08  368003.E-08
240000.E+00  113314.E-08  371096.E-08
244000.E+00  115802.E-08  383946.E-08
248000.E+00  118469.E-08  400053.E-08
252000.E+00  121145.E-08  395496.E-08
256000.E+00  124239.E-08  430267.E-08
260000.E+00  126948.E-08  417461.E-08
264000.E+00  130394.E-08  423076.E-08
268000.E+00  134001.E-08  446056.E-08
272000.E+00  137977.E-08  448445.E-08
276000.E+00  142162.E-08  486036.E-08
280000.E+00  146723.E-08  491815.E-08
284000.E+00  152168.E-08  509813.E-08
288000.E+00  157583.E-08  509289.E-08
292000.E+00  164026.E-08  550304.E-08
296000.E+00  170641.E-08  564988.E-08
300000.E+00  178383.E-08  592573.E-08
304000.E+00  186832.E-08  626300.E-08
308000.E+00  196997.E-08  663333.E-08
312000.E+00  209299.E-08  691323.E-08
316000.E+00  223472.E-08  744756.E-08
320000.E+00  240541.E-08  786782.E-08
324000.E+00  262306.E-08  862412.E-08
328000.E+00  290850.E-08  959696.E-08
332000.E+00  331256.E-08  106827.E-07
336000.E+00  395343.E-08  125995.E-07
340000.E+00  525428.E-08  160739.E-07
344000.E+00  787877.E-08  226378.E-07
348000.E+00  125898.E-07  331706.E-07
352000.E+00  183515.E-07  445825.E-07
356000.E+00  216092.E-07  492516.E-07
360000.E+00  191979.E-07  416982.E-07
364000.E+00  124441.E-07  260226.E-07
368000.E+00  588279.E-08  119335.E-07
372000.E+00  202528.E-08  398353.E-08
376000.E+00  483030.E-09  926438.E-09
380000.E+00  844437.E-10  158209.E-09
384000.E+00  954339.E-11  193636.E-10
388000.E+00  999045.E-12  193478.E-11
392000.E+00  223391.E-12  430284.E-12
396000.E+00  810439.E-13  104921.E-12
400000.E+00  000000.E+00  000000.E+00
