====== H (3000) into Layer 1                    =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+05 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 17 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400001.E-02  9467.50E-10  2147.32E-09  
800001.E-02  3241.25E-09  7177.51E-09  
120000.E-01  5565.50E-09  1146.17E-08  
160000.E-01  3460.00E-09  7773.38E-09  
200000.E-01  4510.25E-09  9490.36E-09  
240000.E-01  5036.50E-09  1130.15E-08  
280000.E-01  5060.25E-09  1052.76E-08  
320000.E-01  5131.00E-09  1129.71E-08  
360000.E-01  5262.00E-09  1213.04E-08  
400000.E-01  5308.00E-09  1178.35E-08  
440000.E-01  5286.00E-09  1308.88E-08  
480000.E-01  5344.75E-09  1186.51E-08  
520000.E-01  5302.75E-09  1189.65E-08  
560000.E-01  5365.50E-09  1218.60E-08  
600000.E-01  5350.75E-09  1173.32E-08  
640000.E-01  5562.75E-09  1316.33E-08  
680000.E-01  5589.00E-09  1303.80E-08  
720000.E-01  5554.50E-09  1236.32E-08  
760000.E-01  5601.25E-09  1308.03E-08  
800000.E-01  5638.50E-09  1252.81E-08  
840000.E-01  5828.25E-09  1227.25E-08  
880000.E-01  5896.75E-09  1321.85E-08  
920000.E-01  5872.50E-09  1309.81E-08  
960000.E-01  5922.25E-09  1268.64E-08  
100000.E+00  6006.50E-09  1419.91E-08  
104000.E+00  5995.00E-09  1409.60E-08  
108000.E+00  6114.00E-09  1248.08E-08  
112000.E+00  6179.25E-09  1449.43E-08  
116000.E+00  6268.75E-09  1279.81E-08  
120000.E+00  6283.75E-09  1403.99E-08  
124000.E+00  6416.00E-09  1379.70E-08  
128000.E+00  6503.00E-09  1372.11E-08  
132000.E+00  6556.25E-09  1262.12E-08  
136000.E+00  6568.00E-09  1494.50E-08  
140000.E+00  6659.25E-09  1490.05E-08  
144000.E+00  6671.25E-09  1543.29E-08  
148000.E+00  6883.00E-09  1555.00E-08  
152000.E+00  6919.75E-09  1509.24E-08  
156000.E+00  7002.50E-09  1509.04E-08  
160000.E+00  7059.50E-09  1508.05E-08  
164000.E+00  7189.25E-09  1596.48E-08  
168000.E+00  7269.00E-09  1656.23E-08  
172000.E+00  7440.75E-09  1583.44E-08  
176000.E+00  7493.75E-09  1584.28E-08  
180000.E+00  7558.75E-09  1642.41E-08  
184000.E+00  7745.50E-09  1658.97E-08  
188000.E+00  7867.50E-09  1646.90E-08  
192000.E+00  8047.50E-09  1767.62E-08  
196000.E+00  8051.00E-09  1633.45E-08  
200000.E+00  8214.50E-09  1672.02E-08  
204000.E+00  8327.25E-09  1687.72E-08  
208000.E+00  8613.75E-09  1754.65E-08  
212000.E+00  8679.50E-09  1814.46E-08  
216000.E+00  8784.50E-09  1847.88E-08  
220000.E+00  9064.25E-09  1907.58E-08  
224000.E+00  9110.25E-09  1877.24E-08  
228000.E+00  9437.75E-09  2035.50E-08  
232000.E+00  9568.00E-09  2051.73E-08  
236000.E+00  9815.75E-09  1968.55E-08  
240000.E+00  1010.20E-08  1955.51E-08  
244000.E+00  1017.00E-08  2057.68E-08  
248000.E+00  1048.80E-08  2167.78E-08  
