====== H (3000) into Layer 1                    =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.=  H(3 MeV) ==> Layer 1(  40 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 40000.E+01 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
400001.E-02  1714.07E-06  1717.30E-06
800001.E-02  1736.45E-06  1747.78E-06
120000.E-01  1437.08E-06  1453.88E-06
160000.E-01  1602.22E-06  1610.92E-06
200000.E-01  1976.54E-06  1989.97E-06
240000.E-01  1791.34E-06  1807.54E-06
280000.E-01  1942.60E-06  1957.23E-06
320000.E-01  1892.87E-06  1907.42E-06
360000.E-01  1892.51E-06  1908.63E-06
400000.E-01  1577.13E-06  1592.43E-06
440000.E-01  1555.44E-06  1572.02E-06
480000.E-01  1605.89E-06  1620.89E-06
520000.E-01  1600.18E-06  1615.63E-06
560000.E-01  1536.66E-06  1551.96E-06
600000.E-01  1533.12E-06  1549.47E-06
640000.E-01  1628.98E-06  1645.63E-06
680000.E-01  2017.11E-06  2034.13E-06
720000.E-01  1992.33E-06  2008.83E-06
760000.E-01  1521.64E-06  1538.74E-06
800000.E-01  1196.90E-06  1215.05E-06
840000.E-01  1474.62E-06  1493.82E-06
880000.E-01  3069.88E-06  3086.76E-06
920000.E-01  3471.23E-06  3487.35E-06
960000.E-01  2808.18E-06  2824.90E-06
100000.E+00  1747.28E-06  1764.60E-06
104000.E+00  1599.30E-06  1618.12E-06
108000.E+00  1704.81E-06  1724.08E-06
112000.E+00  1503.07E-06  1522.12E-06
116000.E+00  1713.94E-06  1729.76E-06
120000.E+00  2604.66E-06  2622.66E-06
124000.E+00  2894.84E-06  2913.21E-06
128000.E+00  2580.60E-06  2602.12E-06
132000.E+00  1864.87E-06  1882.57E-06
136000.E+00  1780.65E-06  1801.57E-06
140000.E+00  1509.69E-06  1528.29E-06
144000.E+00  1579.86E-06  1601.39E-06
148000.E+00  2140.76E-06  2162.51E-06
152000.E+00  2618.05E-06  2640.63E-06
156000.E+00  3126.64E-06  3147.94E-06
160000.E+00  2820.37E-06  2842.57E-06
164000.E+00  1905.47E-06  1926.25E-06
168000.E+00  2658.65E-06  2680.77E-06
172000.E+00  3048.20E-06  3069.95E-06
176000.E+00  3257.96E-06  3279.56E-06
180000.E+00  4197.00E-06  4219.13E-06
184000.E+00  3592.83E-06  3613.46E-06
188000.E+00  2665.91E-06  2689.91E-06
192000.E+00  2696.79E-06  2720.34E-06
196000.E+00  3422.55E-06  3446.03E-06
200000.E+00  4856.79E-06  4882.97E-06
204000.E+00  3807.38E-06  3831.98E-06
208000.E+00  3632.44E-06  3655.54E-06
212000.E+00  4220.90E-06  4244.67E-06
216000.E+00  3510.24E-06  3536.79E-06
220000.E+00  2936.59E-06  2965.61E-06
224000.E+00  2463.06E-06  2492.01E-06
228000.E+00  2781.07E-06  2810.02E-06
232000.E+00  3813.91E-06  3841.51E-06
236000.E+00  3883.04E-06  3913.49E-06
240000.E+00  3197.36E-06  3226.84E-06
244000.E+00  4037.24E-06  4069.04E-06
248000.E+00  4617.47E-06  4647.99E-06
252000.E+00  3680.47E-06  3710.85E-06
256000.E+00  4240.45E-06  4271.12E-06
260000.E+00  4229.70E-06  4267.65E-06
264000.E+00  4820.42E-06  4855.89E-06
268000.E+00  4361.12E-06  4396.97E-06
272000.E+00  5627.01E-06  5662.64E-06
276000.E+00  4081.87E-06  4122.00E-06
280000.E+00  3610.18E-06  3651.28E-06
284000.E+00  4012.21E-06  4052.56E-06
288000.E+00  3984.15E-06  4026.60E-06
292000.E+00  3572.89E-06  3618.72E-06
296000.E+00  4983.48E-06  5028.48E-06
300000.E+00  4677.19E-06  4726.01E-06
304000.E+00  4634.26E-06  4687.66E-06
308000.E+00  6685.11E-06  6741.29E-06
312000.E+00  7368.38E-06  7427.70E-06
316000.E+00  6961.26E-06  7022.38E-06
320000.E+00  8004.47E-06  8073.47E-06
324000.E+00  8617.60E-06  8697.10E-06
328000.E+00  9116.84E-06  9201.14E-06
332000.E+00  9829.81E-06  9931.58E-06
336000.E+00  1111.43E-05  1123.38E-05
340000.E+00  1477.07E-05  1493.62E-05
344000.E+00  1968.47E-05  1993.82E-05
348000.E+00  2652.17E-05  2691.10E-05
352000.E+00  3344.15E-05  3402.03E-05
356000.E+00  3550.14E-05  3614.90E-05
360000.E+00  2856.35E-05  2914.64E-05
364000.E+00  1673.52E-05  1710.57E-05
368000.E+00  7182.70E-06  7352.95E-06
372000.E+00  2196.82E-06  2246.84E-06
376000.E+00  6084.87E-07  6249.87E-07
380000.E+00  1232.80E-07  1256.80E-07
384000.E+00  4488.82E-09  4563.82E-09
388000.E+00  1106.52E-08  1129.02E-08
392000.E+00  0000.00E+00  0000.00E+00
396000.E+00  0000.00E+00  0000.00E+00
400000.E+00  0000.00E+00  0000.00E+00
