====== H (3000) into Layer 1                    =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.=  H(3 MeV) ==> Layer 1(  40 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 40000.E+01 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
400001.E-02  5294.02E-03  3266.97E-08
800001.E-02  5294.81E-03  1912.81E-07
120000.E-01  5307.86E-03  6322.35E-07
160000.E-01  5335.62E-03  1602.75E-07
200000.E-01  5364.68E-03  2280.44E-07
240000.E-01  5392.99E-03  6405.11E-07
280000.E-01  5410.94E-03  4468.79E-07
320000.E-01  5433.00E-03  4654.91E-07
360000.E-01  5452.89E-03  2719.21E-07
400000.E-01  5481.12E-03  6653.71E-07
440000.E-01  5512.26E-03  3710.47E-07
480000.E-01  5545.02E-03  3141.85E-07
520000.E-01  5587.06E-03  3852.89E-07
560000.E-01  5618.76E-03  3822.08E-07
600000.E-01  5649.37E-03  2947.97E-07
640000.E-01  5677.60E-03  3909.69E-07
680000.E-01  5705.82E-03  3631.89E-07
720000.E-01  5734.30E-03  2795.70E-07
760000.E-01  5777.34E-03  9179.06E-07
800000.E-01  5817.66E-03  2474.66E-07
840000.E-01  5846.55E-03  2323.65E-07
880000.E-01  5871.59E-03  2889.94E-07
920000.E-01  5917.16E-03  3975.68E-07
960000.E-01  5956.17E-03  1950.53E-06
100000.E+00  5990.60E-03  5833.17E-07
104000.E+00  6033.88E-03  2634.23E-07
108000.E+00  6086.04E-03  3870.36E-07
112000.E+00  6130.10E-03  4006.19E-07
116000.E+00  6170.92E-03  3787.71E-07
120000.E+00  6214.41E-03  3246.75E-07
124000.E+00  6252.18E-03  5019.85E-07
128000.E+00  6292.62E-03  1370.92E-06
132000.E+00  6332.47E-03  2863.96E-07
136000.E+00  6378.56E-03  5654.89E-07
140000.E+00  6432.42E-03  4647.76E-07
144000.E+00  6479.49E-03  2645.86E-07
148000.E+00  6529.74E-03  2981.23E-07
152000.E+00  6591.50E-03  4702.86E-07
156000.E+00  6638.02E-03  6268.32E-07
160000.E+00  6685.61E-03  1098.09E-06
164000.E+00  6747.67E-03  5216.70E-07
168000.E+00  6796.91E-03  3791.26E-07
172000.E+00  6850.85E-03  4263.16E-07
176000.E+00  6921.56E-03  1097.10E-06
180000.E+00  6991.91E-03  1060.10E-06
184000.E+00  7072.44E-03  9333.33E-07
188000.E+00  7147.58E-03  8756.25E-07
192000.E+00  7217.23E-03  6083.60E-07
196000.E+00  7283.82E-03  6356.20E-07
200000.E+00  7339.77E-03  1124.40E-06
204000.E+00  7410.38E-03  1491.90E-06
208000.E+00  7521.14E-03  1054.34E-06
212000.E+00  7609.43E-03  1343.16E-06
216000.E+00  7695.18E-03  8921.50E-07
220000.E+00  7761.07E-03  1157.21E-06
224000.E+00  7837.34E-03  4151.15E-07
228000.E+00  7915.21E-03  6043.28E-07
232000.E+00  8020.39E-03  5370.03E-07
236000.E+00  8123.63E-03  1092.69E-06
240000.E+00  8221.74E-03  9637.98E-07
244000.E+00  8340.18E-03  5875.40E-07
248000.E+00  8459.71E-03  9078.15E-07
252000.E+00  8591.18E-03  1496.31E-06
256000.E+00  8728.04E-03  8174.87E-07
260000.E+00  8858.13E-03  1188.72E-06
264000.E+00  9019.08E-03  1054.21E-06
268000.E+00  9176.18E-03  1133.76E-06
272000.E+00  9359.75E-03  8121.79E-07
276000.E+00  9528.03E-03  1589.97E-06
280000.E+00  9740.45E-03  9047.74E-07
284000.E+00  9943.27E-03  8371.63E-07
288000.E+00  1016.26E-02  9922.18E-07
292000.E+00  1039.80E-02  7675.34E-07
296000.E+00  1070.73E-02  1293.56E-06
300000.E+00  1100.55E-02  9431.91E-07
304000.E+00  1133.98E-02  1039.92E-06
308000.E+00  1174.85E-02  1131.20E-06
312000.E+00  1215.28E-02  1786.36E-06
316000.E+00  1260.18E-02  1602.34E-06
320000.E+00  1319.43E-02  2036.87E-06
324000.E+00  1385.01E-02  2026.29E-06
328000.E+00  1467.05E-02  1896.30E-06
332000.E+00  1558.42E-02  2410.80E-06
336000.E+00  1666.75E-02  2267.77E-06
340000.E+00  1793.23E-02  3248.10E-06
344000.E+00  1902.72E-02  4293.73E-06
348000.E+00  1919.46E-02  5796.48E-06
352000.E+00  1751.81E-02  7353.56E-06
356000.E+00  1358.87E-02  7912.99E-06
360000.E+00  8432.10E-03  6431.21E-06
364000.E+00  4035.17E-03  3785.64E-06
368000.E+00  1499.62E-03  1661.01E-06
372000.E+00  4285.10E-04  5134.37E-07
376000.E+00  8962.34E-05  1498.75E-07
380000.E+00  1049.68E-05  2608.97E-08
384000.E+00  2308.70E-06  1512.27E-09
388000.E+00  1319.26E-06  2039.06E-09
392000.E+00  0000.00E+00  0000.00E+00
396000.E+00  0000.00E+00  0000.00E+00
400000.E+00  0000.00E+00  0000.00E+00
