====== H (3000) into Layer 1                    =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  H(3 MeV) ==> Layer 1(  40 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+05 AAA ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
400001.E-02  704658.E-09  275022.E-09
800001.E-02  657592.E-09  113235.E-08
120000.E-01  660201.E-09  246386.E-08
160000.E-01  631832.E-09  976055.E-09
200000.E-01  612978.E-09  135843.E-08
240000.E-01  607618.E-09  245646.E-08
280000.E-01  609520.E-09  197481.E-08
320000.E-01  617910.E-09  210195.E-08
360000.E-01  618100.E-09  151785.E-08
400000.E-01  616881.E-09  258549.E-08
440000.E-01  621679.E-09  186940.E-08
480000.E-01  630189.E-09  171576.E-08
520000.E-01  636764.E-09  189975.E-08
560000.E-01  645311.E-09  195301.E-08
600000.E-01  657216.E-09  168199.E-08
640000.E-01  665432.E-09  200443.E-08
680000.E-01  666288.E-09  186255.E-08
720000.E-01  667113.E-09  159942.E-08
760000.E-01  673070.E-09  305918.E-08
800000.E-01  686679.E-09  156143.E-08
840000.E-01  692318.E-09  153735.E-08
880000.E-01  686038.E-09  168903.E-08
920000.E-01  693662.E-09  194555.E-08
960000.E-01  696820.E-09  441914.E-08
100000.E+00  699709.E-09  254639.E-08
104000.E+00  707706.E-09  166489.E-08
108000.E+00  723573.E-09  205048.E-08
112000.E+00  733021.E-09  199512.E-08
116000.E+00  747973.E-09  191757.E-08
120000.E+00  741902.E-09  187599.E-08
124000.E+00  742618.E-09  239424.E-08
128000.E+00  751198.E-09  385319.E-08
132000.E+00  759389.E-09  175851.E-08
136000.E+00  763111.E-09  253843.E-08
140000.E+00  770219.E-09  216256.E-08
144000.E+00  767444.E-09  173033.E-08
148000.E+00  778454.E-09  186166.E-08
152000.E+00  801725.E-09  244887.E-08
156000.E+00  822526.E-09  264162.E-08
160000.E+00  829211.E-09  372312.E-08
164000.E+00  833096.E-09  258987.E-08
168000.E+00  842833.E-09  221970.E-08
172000.E+00  865780.E-09  230738.E-08
176000.E+00  874200.E-09  374059.E-08
180000.E+00  881039.E-09  350686.E-08
184000.E+00  892321.E-09  354408.E-08
188000.E+00  902809.E-09  349189.E-08
192000.E+00  914038.E-09  298353.E-08
196000.E+00  931886.E-09  295343.E-08
200000.E+00  938759.E-09  372085.E-08
204000.E+00  962105.E-09  405685.E-08
208000.E+00  983038.E-09  362641.E-08
212000.E+00  987507.E-09  380051.E-08
216000.E+00  101830.E-08  376773.E-08
220000.E+00  101814.E-08  406693.E-08
224000.E+00  105701.E-08  252079.E-08
228000.E+00  106950.E-08  321136.E-08
232000.E+00  108201.E-08  294840.E-08
236000.E+00  112487.E-08  446816.E-08
240000.E+00  113816.E-08  393455.E-08
244000.E+00  114728.E-08  320811.E-08
248000.E+00  116251.E-08  408590.E-08
252000.E+00  119382.E-08  499808.E-08
256000.E+00  121452.E-08  385109.E-08
260000.E+00  126203.E-08  491334.E-08
264000.E+00  130852.E-08  451053.E-08
268000.E+00  133059.E-08  480741.E-08
272000.E+00  135989.E-08  407291.E-08
276000.E+00  140903.E-08  606977.E-08
280000.E+00  144761.E-08  440046.E-08
284000.E+00  150261.E-08  445780.E-08
288000.E+00  152518.E-08  481387.E-08
292000.E+00  163826.E-08  440472.E-08
296000.E+00  169754.E-08  539756.E-08
300000.E+00  176200.E-08  498704.E-08
304000.E+00  187369.E-08  547288.E-08
308000.E+00  195193.E-08  593799.E-08
312000.E+00  207257.E-08  781286.E-08
316000.E+00  220360.E-08  720532.E-08
320000.E+00  239005.E-08  872522.E-08
324000.E+00  263758.E-08  926922.E-08
328000.E+00  293963.E-08  934585.E-08
332000.E+00  335537.E-08  115856.E-07
336000.E+00  395015.E-08  118220.E-07
340000.E+00  519541.E-08  163795.E-07
344000.E+00  781046.E-08  229904.E-07
348000.E+00  124931.E-07  331512.E-07
352000.E+00  185033.E-07  450182.E-07
356000.E+00  213760.E-07  496430.E-07
360000.E+00  198665.E-07  426932.E-07
364000.E+00  124376.E-07  258947.E-07
368000.E+00  592393.E-08  117098.E-07
372000.E+00  189583.E-08  364646.E-08
376000.E+00  610351.E-09  110789.E-08
380000.E+00  757576.E-10  175059.E-09
384000.E+00  244535.E-11  925666.E-11
388000.E+00  539558.E-11  143833.E-10
392000.E+00  000000.E+00  000000.E+00
396000.E+00  000000.E+00  000000.E+00
400000.E+00  000000.E+00  000000.E+00
