====== H (3000) into Layer 1                    =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
====== TRIM Calc.=  H(3 MeV) ==> Layer 1(  40 um) ============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+05 A ;
  Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 17 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400001.E-02  1075.00E-09  3714.34E-10  
800001.E-02  3775.00E-09  4342.03E-09  
120000.E-01  5600.00E-09  1388.01E-08  
160000.E-01  2900.00E-09  3437.06E-09  
200000.E-01  4475.00E-09  5028.91E-09  
240000.E-01  5400.00E-09  1522.81E-08  
280000.E-01  4875.00E-09  1064.89E-08  
320000.E-01  4850.00E-09  1189.53E-08  
360000.E-01  5375.00E-09  5617.01E-09  
400000.E-01  5100.00E-09  1639.99E-08  
440000.E-01  5525.00E-09  9041.84E-09  
480000.E-01  5000.00E-09  7737.68E-09  
520000.E-01  5150.00E-09  9502.42E-09  
560000.E-01  5100.00E-09  9838.16E-09  
600000.E-01  5450.00E-09  6824.09E-09  
640000.E-01  5550.00E-09  9986.64E-09  
680000.E-01  5675.00E-09  8383.87E-09  
720000.E-01  5500.00E-09  6019.10E-09  
760000.E-01  5700.00E-09  2056.45E-08  
800000.E-01  6050.00E-09  5109.95E-09  
840000.E-01  6400.00E-09  4222.62E-09  
880000.E-01  5625.00E-09  6337.47E-09  
920000.E-01  5375.00E-09  9151.50E-09  
960000.E-01  5575.00E-09  3434.31E-08  
100000.E+00  5775.00E-09  1510.30E-08  
104000.E+00  6275.00E-09  5424.33E-09  
108000.E+00  6425.00E-09  9410.64E-09  
112000.E+00  6350.00E-09  8884.99E-09  
116000.E+00  5275.00E-09  8774.21E-09  
120000.E+00  6000.00E-09  7300.02E-09  
124000.E+00  6125.00E-09  1254.20E-08  
128000.E+00  7175.00E-09  2715.19E-08  
132000.E+00  5900.00E-09  6081.89E-09  
136000.E+00  6975.00E-09  1331.69E-08  
140000.E+00  6200.00E-09  9943.87E-09  
144000.E+00  7175.00E-09  5002.39E-09  
148000.E+00  7250.00E-09  6019.81E-09  
152000.E+00  7525.00E-09  1159.89E-08  
156000.E+00  7100.00E-09  1423.98E-08  
160000.E+00  7400.00E-09  2458.32E-08  
164000.E+00  6925.00E-09  1341.55E-08  
168000.E+00  7375.00E-09  8794.13E-09  
172000.E+00  7250.00E-09  1003.18E-08  
176000.E+00  7200.00E-09  2459.43E-08  
180000.E+00  7375.00E-09  2188.05E-08  
184000.E+00  6875.00E-09  2241.86E-08  
188000.E+00  8000.00E-09  2102.18E-08  
192000.E+00  7850.00E-09  1561.71E-08  
196000.E+00  7825.00E-09  1536.41E-08  
200000.E+00  8725.00E-09  2259.35E-08  
204000.E+00  8200.00E-09  2643.40E-08  
208000.E+00  7700.00E-09  2186.81E-08  
212000.E+00  7925.00E-09  2375.01E-08  
216000.E+00  8850.00E-09  2197.47E-08  
220000.E+00  9675.00E-09  2451.26E-08  
224000.E+00  9650.00E-09  8477.40E-09  
228000.E+00  9650.00E-09  1525.50E-08  
232000.E+00  9200.00E-09  1281.37E-08  
236000.E+00  1015.00E-08  2749.75E-08  
240000.E+00  9825.00E-09  2197.40E-08  
244000.E+00  1060.00E-08  1370.17E-08  
248000.E+00  1017.50E-08  2293.91E-08  
252000.E+00  1012.50E-08  3236.14E-08  
256000.E+00  1022.50E-08  2006.28E-08  
260000.E+00  1265.00E-08  2896.52E-08  
264000.E+00  1182.50E-08  2467.68E-08  
268000.E+00  1195.00E-08  2716.66E-08  
272000.E+00  1187.50E-08  2003.94E-08  
276000.E+00  1337.50E-08  3827.31E-08  
280000.E+00  1370.00E-08  2077.25E-08  
284000.E+00  1345.00E-08  2065.56E-08  
288000.E+00  1415.00E-08  2377.59E-08  
292000.E+00  1527.50E-08  1791.22E-08  
296000.E+00  1500.00E-08  2757.59E-08  
300000.E+00  1627.50E-08  2205.66E-08  
304000.E+00  1780.00E-08  2464.17E-08  
308000.E+00  1872.50E-08  2774.94E-08  
312000.E+00  1977.50E-08  4492.99E-08  
316000.E+00  2037.50E-08  3757.24E-08  
320000.E+00  2300.00E-08  4930.78E-08  
324000.E+00  2650.00E-08  4990.01E-08  
328000.E+00  2810.00E-08  4583.71E-08  
332000.E+00  3392.50E-08  6069.12E-08  
336000.E+00  3982.50E-08  5355.01E-08  
340000.E+00  5517.50E-08  7654.85E-08  
344000.E+00  8450.00E-08  9665.89E-08  
348000.E+00  1297.75E-07  1216.64E-07  
352000.E+00  1929.25E-07  1390.74E-07  
356000.E+00  2158.50E-07  1407.05E-07  
360000.E+00  1943.00E-07  9949.46E-08  
364000.E+00  1235.25E-07  5283.80E-08  
368000.E+00  5675.00E-08  2083.81E-08  
372000.E+00  1667.50E-08  6384.77E-09  
376000.E+00  5500.00E-09  1389.76E-09  
380000.E+00  8000.00E-10  4488.78E-10  
384000.E+00  2500.00E-11  3578.60E-11  
388000.E+00  7500.00E-11  2099.46E-11  
392000.E+00  0000.00E+00  0000.00E+00  
396000.E+00  0000.00E+00  0000.00E+00  
400000.E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
