====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 40870.E+01 AAA ;
  Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 351848.E+00 A   Straggling = 150834.E-01 A
 Ion Lateral Range = 222214.E-01 A   Straggling = 303865.E-01 A
 Ion Radial  Range = 348994.E-01 A   Straggling = 250937.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
4087010.E-03 12063147.E-02 15413328.E-02 24453504.E-02 64880051.E-03 
8174010.E-03 13708755.E-02 16061275.E-02 20725165.E-02 88403529.E-03 
1226101.E-02 18643787.E-02 20556848.E-02 21377134.E-02 76037992.E-03 
1634801.E-02 12150541.E-02 13880947.E-02 25239601.E-02 48067962.E-03 
2043501.E-02 16968656.E-02 18999578.E-02 20944878.E-02 93421003.E-03 
2452201.E-02 15812275.E-02 18224519.E-02 21577002.E-02 10126451.E-02 
2860901.E-02 18960249.E-02 20172406.E-02 24054305.E-02 77483286.E-03 
3269601.E-02 15785263.E-02 17985030.E-02 23348963.E-02 82162274.E-03 
3678301.E-02 19062150.E-02 21418776.E-02 27091928.E-02 61725109.E-03 
4087001.E-02 12960732.E-02 15034849.E-02 21053939.E-02 86577210.E-03 
4495701.E-02 14594764.E-02 17229644.E-02 22193290.E-02 68903913.E-03 
4904401.E-02 14957246.E-02 17528237.E-02 23026216.E-02 70086834.E-03 
5313101.E-02 12577479.E-02 14722959.E-02 18223991.E-02 68857186.E-03 
5721801.E-02 14057566.E-02 16029523.E-02 19989535.E-02 84902096.E-03 
6130501.E-02 14425915.E-02 17493711.E-02 23390949.E-02 90497557.E-03 
6539201.E-02 13437766.E-02 16378490.E-02 22119273.E-02 78137237.E-03 
6947901.E-02 12888538.E-02 15156747.E-02 20390297.E-02 80762390.E-03 
7356601.E-02 17843127.E-02 20022281.E-02 23623856.E-02 68432924.E-03 
7765301.E-02 14718454.E-02 16982765.E-02 25461415.E-02 66556151.E-03 
8174001.E-02 15351748.E-02 18238130.E-02 22665007.E-02 86923077.E-03 
8582701.E-02 15346381.E-02 17554644.E-02 23207710.E-02 71630114.E-03 
8991401.E-02 11774897.E-02 14342944.E-02 22368116.E-02 65917719.E-03 
9400101.E-02 14434972.E-02 16944976.E-02 22197489.E-02 73338860.E-03 
