====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 A ;
  Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 10 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
408701.E-02  7807.68E-10  1844.15E-09  
817401.E-02  2668.22E-09  4950.59E-09  
122610.E-01  4004.65E-09  8420.99E-09  
163480.E-01  2884.51E-09  6004.62E-09  
204350.E-01  3650.84E-09  7310.28E-09  
245220.E-01  3912.16E-09  7784.61E-09  
286090.E-01  3946.66E-09  7611.51E-09  
326960.E-01  4002.69E-09  7574.88E-09  
367830.E-01  4071.69E-09  8117.04E-09  
408700.E-01  4039.39E-09  8137.48E-09  
449570.E-01  4128.46E-09  8359.29E-09  
490440.E-01  4141.42E-09  7938.86E-09  
531310.E-01  4127.48E-09  7928.31E-09  
572180.E-01  4210.67E-09  9077.23E-09  
613050.E-01  4238.32E-09  8922.75E-09  
653920.E-01  4347.93E-09  8615.23E-09  
694790.E-01  4329.09E-09  8528.60E-09  
735660.E-01  4324.20E-09  8240.32E-09  
776530.E-01  4416.44E-09  8306.23E-09  
817400.E-01  4420.36E-09  9297.17E-09  
858270.E-01  4510.40E-09  8532.55E-09  
899140.E-01  4543.92E-09  8169.67E-09  
940010.E-01  4565.94E-09  8894.44E-09  
980880.E-01  4714.22E-09  9352.94E-09  
102175.E+00  4661.85E-09  8579.06E-09  
106262.E+00  4716.42E-09  8648.80E-09  
110349.E+00  4751.16E-09  8740.92E-09  
114436.E+00  4801.81E-09  9914.90E-09  
118523.E+00  4906.53E-09  9362.85E-09  
122610.E+00  4894.54E-09  9288.47E-09  
126697.E+00  5047.71E-09  9386.24E-09  
130784.E+00  5109.37E-09  9829.52E-09  
134871.E+00  5221.68E-09  9607.82E-09  
138958.E+00  5174.70E-09  9386.18E-09  
143045.E+00  5296.31E-09  9729.44E-09  
147132.E+00  5376.56E-09  9856.13E-09  
151219.E+00  5352.34E-09  1009.92E-08  
155306.E+00  5469.78E-09  1032.24E-08  
159393.E+00  5501.35E-09  9992.35E-09  
163480.E+00  5629.07E-09  1072.39E-08  
167567.E+00  5719.35E-09  1113.79E-08  
171654.E+00  5833.13E-09  1119.08E-08  
175741.E+00  5896.50E-09  1118.76E-08  
179828.E+00  5996.33E-09  1084.92E-08  
183915.E+00  6092.49E-09  1154.41E-08  
188002.E+00  6177.15E-09  1141.44E-08  
192089.E+00  6253.98E-09  1128.47E-08  
196176.E+00  6322.98E-09  1151.27E-08  
200263.E+00  6513.33E-09  1231.09E-08  
204350.E+00  6649.38E-09  1166.31E-08  
208437.E+00  6683.14E-09  1179.88E-08  
212524.E+00  6891.12E-09  1162.08E-08  
216611.E+00  7032.05E-09  1248.84E-08  
220698.E+00  7130.17E-09  1269.77E-08  
224785.E+00  7289.45E-09  1317.36E-08  
228872.E+00  7530.22E-09  1367.62E-08  
232959.E+00  7634.94E-09  1302.62E-08  
237046.E+00  7876.93E-09  1424.51E-08  
241133.E+00  8028.63E-09  1453.05E-08  
245220.E+00  8182.77E-09  1432.23E-08  
249307.E+00  8476.14E-09  1509.20E-08  
253394.E+00  8713.73E-09  1579.36E-08  
