====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 3000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 A   Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   326.2E+03 A   Straggling =   111.5E+02 A
 Ion Lateral Range =   161.0E+02 A   Straggling =   223.1E+02 A
 Ion Radial  Range =   252.7E+02 A   Straggling =   188.5E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =121
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -008.3343  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 151.7416  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
371701.E-02  0.0000E+00  0.0000E+00
743401.E-02  1.6142E-01  0.0000E+00
111510.E-01  2.4213E-01  0.0000E+00
148680.E-01  2.6903E-01  0.0000E+00
185850.E-01  1.8832E-01  0.0000E+00
223020.E-01  2.6903E-01  0.0000E+00
260190.E-01  2.6903E-01  0.0000E+00
297360.E-01  1.8832E-01  0.0000E+00
334530.E-01  2.4213E-01  0.0000E+00
371700.E-01  2.9594E-01  0.0000E+00
408870.E-01  2.1523E-01  0.0000E+00
446040.E-01  2.1523E-01  0.0000E+00
483210.E-01  2.6903E-01  0.0000E+00
520380.E-01  1.3452E-01  0.0000E+00
557550.E-01  2.1523E-01  0.0000E+00
594720.E-01  3.4974E-01  0.0000E+00
631890.E-01  1.3452E-01  0.0000E+00
669060.E-01  2.9594E-01  0.0000E+00
706230.E-01  2.6903E-01  0.0000E+00
743400.E-01  2.4213E-01  0.0000E+00
780570.E-01  3.2284E-01  0.0000E+00
817740.E-01  3.7665E-01  0.0000E+00
854910.E-01  2.6903E-01  0.0000E+00
892080.E-01  4.3045E-01  0.0000E+00
929250.E-01  2.9594E-01  0.0000E+00
966420.E-01  1.8832E-01  0.0000E+00
100359.E+00  3.2284E-01  0.0000E+00
104076.E+00  3.7665E-01  0.0000E+00
107793.E+00  2.1523E-01  0.0000E+00
