====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     4.E+05 A ;
  Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Total Target Vacancies     = 19 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
371701.E-02  1232.71E-09  2770.75E-09  
743401.E-02  4249.39E-09  8437.73E-09  
111510.E-01  5997.58E-09  1350.49E-08  
148680.E-01  4465.16E-09  9570.90E-09  
185850.E-01  5743.61E-09  1156.54E-08  
223020.E-01  6052.19E-09  1237.66E-08  
260190.E-01  6053.54E-09  1361.98E-08  
297360.E-01  6115.42E-09  1304.25E-08  
334530.E-01  6142.05E-09  1349.99E-08  
371700.E-01  6278.72E-09  1403.03E-08  
408870.E-01  6343.29E-09  1254.42E-08  
446040.E-01  6342.75E-09  1261.51E-08  
483210.E-01  6450.90E-09  1359.93E-08  
520380.E-01  6410.01E-09  1348.05E-08  
557550.E-01  6458.43E-09  1308.56E-08  
594720.E-01  6556.09E-09  1511.67E-08  
631890.E-01  6579.23E-09  1517.00E-08  
669060.E-01  6760.29E-09  1370.07E-08  
706230.E-01  6742.00E-09  1407.95E-08  
743400.E-01  6820.02E-09  1489.35E-08  
780570.E-01  6857.41E-09  1498.21E-08  
817740.E-01  6930.05E-09  1472.39E-08  
854910.E-01  7021.79E-09  1466.20E-08  
892080.E-01  7116.76E-09  1491.09E-08  
929250.E-01  7142.05E-09  1429.21E-08  
966420.E-01  7213.61E-09  1476.95E-08  
100359.E+00  7320.96E-09  1525.01E-08  
104076.E+00  7440.95E-09  1587.26E-08  
107793.E+00  7496.64E-09  1564.71E-08  
111510.E+00  7624.16E-09  1656.04E-08  
115227.E+00  7668.01E-09  1513.81E-08  
118944.E+00  7716.71E-09  1589.77E-08  
122661.E+00  7846.38E-09  1678.28E-08  
126378.E+00  7981.97E-09  1812.25E-08  
130095.E+00  8040.09E-09  1716.06E-08  
133812.E+00  8187.79E-09  1699.73E-08  
137529.E+00  8233.25E-09  1809.33E-08  
141246.E+00  8390.91E-09  1809.62E-08  
144963.E+00  8498.52E-09  1782.33E-08  
148680.E+00  8646.22E-09  1954.22E-08  
152397.E+00  8682.54E-09  1810.43E-08  
156114.E+00  8836.43E-09  2033.78E-08  
159831.E+00  8976.32E-09  1925.46E-08  
163548.E+00  8959.91E-09  1822.89E-08  
167265.E+00  9146.62E-09  1964.13E-08  
170982.E+00  9398.71E-09  1974.41E-08  
174699.E+00  9448.75E-09  1923.97E-08  
178416.E+00  9632.77E-09  1956.00E-08  
182133.E+00  9873.02E-09  2062.22E-08  
185850.E+00  1003.95E-08  2137.22E-08  
189567.E+00  1019.53E-08  2077.05E-08  
193284.E+00  1029.92E-08  2239.45E-08  
197001.E+00  1056.15E-08  2152.94E-08  
200718.E+00  1078.34E-08  2218.81E-08  
204435.E+00  1100.35E-08  2282.83E-08  
208152.E+00  1133.55E-08  2310.41E-08  
211869.E+00  1148.86E-08  2320.91E-08  
215586.E+00  1177.43E-08  2414.31E-08  
219303.E+00  1208.64E-08  2495.26E-08  
223020.E+00  1235.62E-08  2498.70E-08  
226737.E+00  1268.31E-08  2547.70E-08  
230454.E+00  1301.26E-08  2495.41E-08  
