====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 3000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     3.E+05 AAA ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
327601.E-02  146451.E-08  945607.E-09
655201.E-02  138408.E-08  302033.E-08
982801.E-02  135557.E-08  327956.E-08
131040.E-01  131604.E-08  304440.E-08
163800.E-01  131119.E-08  360651.E-08
196560.E-01  132253.E-08  363220.E-08
229320.E-01  133122.E-08  360002.E-08
262080.E-01  134314.E-08  365658.E-08
294840.E-01  135804.E-08  383621.E-08
327600.E-01  137060.E-08  366297.E-08
360360.E-01  138246.E-08  378610.E-08
393120.E-01  139682.E-08  379091.E-08
425880.E-01  140893.E-08  385225.E-08
458640.E-01  142500.E-08  381907.E-08
491400.E-01  143637.E-08  391759.E-08
524160.E-01  145095.E-08  387371.E-08
556920.E-01  146623.E-08  394344.E-08
589680.E-01  148076.E-08  393565.E-08
622440.E-01  149616.E-08  398808.E-08
655200.E-01  151143.E-08  413269.E-08
687960.E-01  153007.E-08  416067.E-08
720720.E-01  154507.E-08  417519.E-08
753480.E-01  156202.E-08  419030.E-08
786240.E-01  157773.E-08  434997.E-08
819000.E-01  159260.E-08  428512.E-08
851760.E-01  161792.E-08  421451.E-08
884520.E-01  163784.E-08  434991.E-08
917280.E-01  165312.E-08  438342.E-08
950040.E-01  167473.E-08  448680.E-08
982800.E-01  169554.E-08  451113.E-08
101556.E+00  172004.E-08  462674.E-08
104832.E+00  174056.E-08  462980.E-08
108108.E+00  176278.E-08  465270.E-08
111384.E+00  178632.E-08  480727.E-08
114660.E+00  181344.E-08  476621.E-08
117936.E+00  183931.E-08  486493.E-08
121212.E+00  186584.E-08  492487.E-08
124488.E+00  189011.E-08  509584.E-08
127764.E+00  192488.E-08  516284.E-08
131040.E+00  195931.E-08  510738.E-08
134316.E+00  199000.E-08  519190.E-08
137592.E+00  202406.E-08  547696.E-08
140868.E+00  205969.E-08  542478.E-08
144144.E+00  209754.E-08  566237.E-08
147420.E+00  213427.E-08  557508.E-08
150696.E+00  218268.E-08  573842.E-08
153972.E+00  222189.E-08  583089.E-08
157248.E+00  226874.E-08  590052.E-08
160524.E+00  230372.E-08  601290.E-08
163800.E+00  235507.E-08  615958.E-08
167076.E+00  241002.E-08  634391.E-08
170352.E+00  246533.E-08  641453.E-08
173628.E+00  252771.E-08  662130.E-08
176904.E+00  259075.E-08  668097.E-08
180180.E+00  265383.E-08  699150.E-08
183456.E+00  271947.E-08  708243.E-08
186732.E+00  280188.E-08  729314.E-08
190008.E+00  288039.E-08  747679.E-08
193284.E+00  297937.E-08  771599.E-08
196560.E+00  307679.E-08  791454.E-08
199836.E+00  318266.E-08  821438.E-08
203112.E+00  330185.E-08  855756.E-08
206388.E+00  342173.E-08  877978.E-08
209664.E+00  357326.E-08  905623.E-08
212940.E+00  372151.E-08  940171.E-08
216216.E+00  390263.E-08  986110.E-08
219492.E+00  409343.E-08  104309.E-07
222768.E+00  432981.E-08  108556.E-07
226044.E+00  457742.E-08  114670.E-07
229320.E+00  490744.E-08  122283.E-07
232596.E+00  525880.E-08  130316.E-07
235872.E+00  570923.E-08  140546.E-07
239148.E+00  626404.E-08  151634.E-07
242424.E+00  695835.E-08  165085.E-07
245700.E+00  784681.E-08  182109.E-07
248976.E+00  906052.E-08  204890.E-07
252252.E+00  107011.E-07  234094.E-07
255528.E+00  129962.E-07  273139.E-07
258804.E+00  161113.E-07  322404.E-07
262080.E+00  201203.E-07  380351.E-07
265356.E+00  242189.E-07  431895.E-07
268632.E+00  268107.E-07  453404.E-07
271908.E+00  261848.E-07  422200.E-07
275184.E+00  216154.E-07  333063.E-07
278460.E+00  147670.E-07  219203.E-07
281736.E+00  815318.E-08  117602.E-07
285012.E+00  364099.E-08  513647.E-08
288288.E+00  129701.E-08  178411.E-08
291564.E+00  380144.E-09  510289.E-09
294840.E+00  807646.E-10  108612.E-09
298116.E+00  149276.E-10  197907.E-10
301392.E+00  303289.E-11  368100.E-11
304668.E+00  194846.E-12  369923.E-12
307944.E+00  000000.E+00  000000.E+00
311220.E+00  000000.E+00  000000.E+00
314496.E+00  000000.E+00  000000.E+00
317772.E+00  000000.E+00  000000.E+00
321048.E+00  000000.E+00  000000.E+00
324324.E+00  000000.E+00  000000.E+00
327600.E+00  000000.E+00  000000.E+00
