====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 3000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 63200.E+01 AAA ;
  Layer # 1- Density = 4.294E22 atoms/cm3 = 6.506 g/cm3
  Layer # 1- Zr = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 545615.E+00 A   Straggling = 227970.E-01 A
 Ion Lateral Range = 336506.E-01 A   Straggling = 461314.E-01 A
 Ion Radial  Range = 528531.E-01 A   Straggling = 383118.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
6320010.E-03 17012287.E-02 20569223.E-02 31485858.E-02 91083246.E-03 
1264001.E-02 14014191.E-02 21509475.E-02 32554301.E-02 12461830.E-02 
1896001.E-02 16905135.E-02 23655967.E-02 32568778.E-02 45902380.E-03 
2528001.E-02 21569836.E-02 24357711.E-02 35023003.E-02 11862304.E-02 
3160001.E-02 19352197.E-02 24004256.E-02 35155077.E-02 12925298.E-02 
3792001.E-02 16517558.E-02 20532581.E-02 28537222.E-02 11562370.E-02 
4424001.E-02 19073945.E-02 23335147.E-02 35436547.E-02 12197002.E-02 
5056001.E-02 20121021.E-02 24830532.E-02 29493074.E-02 97521862.E-03 
5688001.E-02 15231084.E-02 18596635.E-02 36946933.E-02 11304514.E-02 
6320001.E-02 13678417.E-02 18443088.E-02 27141011.E-02 12624551.E-02 
6952001.E-02 27657504.E-02 30964807.E-02 35094598.E-02 12997663.E-02 
7584001.E-02 19901033.E-02 24287306.E-02 34678118.E-02 11579647.E-02 
8216001.E-02 24469172.E-02 29042157.E-02 30918570.E-02 12755058.E-02 
8848001.E-02 24570347.E-02 28859683.E-02 38200015.E-02 95015984.E-03 
9480001.E-02 18579608.E-02 21891960.E-02 39593727.E-02 11244461.E-02 
1011200.E-01 22317649.E-02 25389106.E-02 35752423.E-02 10954116.E-02 
1074400.E-01 22006010.E-02 25157659.E-02 34677244.E-02 11359185.E-02 
1137600.E-01 22652689.E-02 26835591.E-02 36158471.E-02 14383891.E-02 
1200800.E-01 25368001.E-02 28683169.E-02 35960379.E-02 11871942.E-02 
1264000.E-01 18764713.E-02 24518663.E-02 29872826.E-02 13592144.E-02 
1327200.E-01 23766307.E-02 25490847.E-02 31876694.E-02 10333097.E-02 
1390400.E-01 21373141.E-02 24683376.E-02 31799733.E-02 10037460.E-02 
1453600.E-01 22997672.E-02 26425784.E-02 36771130.E-02 11120677.E-02 
