====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 88470.E+01 AAA ;
  Layer # 1- Density = 8.491E22 atoms/cm3 = 8.96 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 777404.E+00 A   Straggling = 242966.E-01 A
 Ion Lateral Range = 359819.E-01 A   Straggling = 500085.E-01 A
 Ion Radial  Range = 565396.E-01 A   Straggling = 425707.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
8847010.E-03 20162072.E-02 23611335.E-02 63726819.E-02 73309079.E-03 
1769401.E-02 39515301.E-02 43137159.E-02 50128448.E-02 12556967.E-02 
2654101.E-02 26661208.E-02 34067499.E-02 44400058.E-02 16283594.E-02 
3538801.E-02 78457868.E-03 78958812.E-03 46183565.E-02 59199590.E-03 
4423501.E-02 23405259.E-02 27386484.E-02 40184180.E-02 13817501.E-02 
5308201.E-02 35661141.E-02 40976423.E-02 56090106.E-02 15072669.E-02 
6192901.E-02 29776286.E-02 30569943.E-02 38161199.E-02 57535165.E-03 
7077601.E-02 26986389.E-02 33065043.E-02 42903956.E-02 23449942.E-02 
7962301.E-02 43188594.E-02 48215804.E-02 53152401.E-02 17873431.E-02 
8847001.E-02 27679770.E-02 34609237.E-02 49397860.E-02 22995892.E-02 
9731701.E-02 24032429.E-02 25926680.E-02 53609357.E-02 15836170.E-02 
1061640.E-01 23561208.E-02 33872225.E-02 49956437.E-02 17706949.E-02 
1150110.E-01 33200192.E-02 36038533.E-02 47953322.E-02 14217563.E-02 
1238580.E-01 27186988.E-02 33204391.E-02 44065386.E-02 18679520.E-02 
1327050.E-01 41582574.E-02 44983739.E-02 52071272.E-02 19030028.E-02 
1415520.E-01 28843568.E-02 34848073.E-02 44498492.E-02 15688961.E-02 
1503990.E-01 32832807.E-02 38637856.E-02 51479575.E-02 10498951.E-02 
1592460.E-01 26877098.E-02 31009045.E-02 46883509.E-02 23203442.E-02 
1680930.E-01 22867414.E-02 29272149.E-02 47842391.E-02 17568167.E-02 
1769400.E-01 25420579.E-02 27957480.E-02 39958120.E-02 15690480.E-02 
1857870.E-01 25876489.E-02 30755805.E-02 40185156.E-02 17753784.E-02 
1946340.E-01 35778738.E-02 42753582.E-02 56568070.E-02 14428868.E-02 
2034810.E-01 31124260.E-02 38581574.E-02 47007560.E-02 22155175.E-02 
