====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 92020.E+01 AAA ;
  Layer # 1- Density = 8.490E22 atoms/cm3 = 7.874 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
920201.E-02  1208.41E-06  1208.41E-06
184040.E-01  1155.83E-06  1155.83E-06
276060.E-01  1253.31E-06  1253.31E-06
368080.E-01  1325.92E-06  1325.92E-06
460100.E-01  1320.59E-06  1320.59E-06
552120.E-01  1351.53E-06  1351.53E-06
644140.E-01  1302.10E-06  1302.10E-06
736160.E-01  1356.19E-06  1356.19E-06
828180.E-01  1386.10E-06  1386.10E-06
920200.E-01  1348.62E-06  1348.62E-06
101222.E+00  1287.38E-06  1287.38E-06
110424.E+00  1264.72E-06  1264.72E-06
119626.E+00  1418.42E-06  1418.42E-06
128828.E+00  1433.32E-06  1433.32E-06
138030.E+00  1351.04E-06  1351.04E-06
147232.E+00  1366.61E-06  1366.61E-06
156434.E+00  1326.28E-06  1326.28E-06
165636.E+00  1336.77E-06  1336.77E-06
174838.E+00  1374.40E-06  1374.40E-06
184040.E+00  1342.09E-06  1342.09E-06
193242.E+00  1322.90E-06  1322.90E-06
202444.E+00  1345.81E-06  1345.81E-06
211646.E+00  1440.71E-06  1440.71E-06
220848.E+00  1451.18E-06  1451.18E-06
230050.E+00  1464.79E-06  1464.79E-06
239252.E+00  1470.29E-06  1470.29E-06
248454.E+00  1457.75E-06  1457.75E-06
257656.E+00  1502.66E-06  1502.66E-06
266858.E+00  1546.90E-06  1546.90E-06
276060.E+00  1582.64E-06  1582.64E-06
285262.E+00  1609.12E-06  1609.12E-06
294464.E+00  1608.51E-06  1608.51E-06
303666.E+00  1622.29E-06  1622.29E-06
312868.E+00  1677.83E-06  1677.83E-06
322070.E+00  1618.62E-06  1618.62E-06
331272.E+00  1563.43E-06  1563.43E-06
340474.E+00  1625.48E-06  1625.48E-06
349676.E+00  1716.78E-06  1716.78E-06
358878.E+00  1620.93E-06  1620.93E-06
368080.E+00  1657.77E-06  1657.77E-06
377282.E+00  1748.11E-06  1748.11E-06
386484.E+00  1685.27E-06  1685.27E-06
395686.E+00  1710.10E-06  1710.10E-06
404888.E+00  1753.07E-06  1753.07E-06
414090.E+00  1760.15E-06  1760.15E-06
423292.E+00  1831.80E-06  1831.80E-06
432494.E+00  1894.19E-06  1894.19E-06
441696.E+00  1929.98E-06  1929.98E-06
450898.E+00  2002.70E-06  2002.70E-06
460100.E+00  1956.23E-06  1956.23E-06
469302.E+00  1895.68E-06  1895.68E-06
478504.E+00  2012.02E-06  2012.02E-06
487706.E+00  2146.42E-06  2146.42E-06
496908.E+00  2174.67E-06  2174.67E-06
506110.E+00  2099.27E-06  2099.27E-06
515312.E+00  2161.36E-06  2161.36E-06
524514.E+00  2181.34E-06  2181.34E-06
533716.E+00  2200.30E-06  2200.30E-06
542918.E+00  2251.03E-06  2251.03E-06
552120.E+00  2242.13E-06  2242.13E-06
561322.E+00  2364.26E-06  2364.26E-06
570524.E+00  2315.71E-06  2315.71E-06
579726.E+00  2506.48E-06  2506.48E-06
588928.E+00  2518.68E-06  2518.68E-06
598130.E+00  2626.63E-06  2626.63E-06
607332.E+00  2621.83E-06  2621.83E-06
616534.E+00  2639.56E-06  2639.56E-06
625736.E+00  2762.75E-06  2762.75E-06
634938.E+00  2787.68E-06  2787.68E-06
644140.E+00  2978.18E-06  2978.18E-06
653342.E+00  3126.77E-06  3126.77E-06
662544.E+00  3221.49E-06  3221.49E-06
671746.E+00  3275.32E-06  3275.32E-06
680948.E+00  3414.28E-06  3414.28E-06
690150.E+00  3540.16E-06  3540.16E-06
699352.E+00  3643.78E-06  3643.78E-06
708554.E+00  3837.88E-06  3837.88E-06
717756.E+00  4063.97E-06  4063.97E-06
726958.E+00  4267.57E-06  4267.57E-06
736160.E+00  4704.62E-06  4704.62E-06
745362.E+00  5014.47E-06  5014.47E-06
754564.E+00  5484.05E-06  5484.05E-06
763766.E+00  6145.00E-06  6145.00E-06
772968.E+00  7192.22E-06  7192.22E-06
782170.E+00  8979.37E-06  8979.37E-06
791372.E+00  1220.51E-05  1220.51E-05
800574.E+00  1685.24E-05  1685.24E-05
809776.E+00  2066.68E-05  2066.68E-05
818978.E+00  1947.83E-05  1947.83E-05
828180.E+00  1322.00E-05  1322.00E-05
837382.E+00  6294.22E-06  6294.22E-06
846584.E+00  2043.48E-06  2043.48E-06
855786.E+00  4656.57E-07  4656.57E-07
864988.E+00  6893.46E-08  6893.46E-08
874190.E+00  6377.05E-09  6377.05E-09
883392.E+00  5855.11E-10  5855.11E-10
892594.E+00  0000.00E+00  0000.00E+00
901796.E+00  0000.00E+00  0000.00E+00
910998.E+00  0000.00E+00  0000.00E+00
920200.E+00  0000.00E+00  0000.00E+00
