====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 90860.E+01 AAA ;
  Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
908601.E-02  1321.92E-06  1321.92E-06
181720.E-01  1337.72E-06  1337.72E-06
272580.E-01  1316.87E-06  1316.87E-06
363440.E-01  1282.83E-06  1282.83E-06
454300.E-01  1317.21E-06  1317.21E-06
545160.E-01  1327.56E-06  1327.56E-06
636020.E-01  1376.08E-06  1376.08E-06
726880.E-01  1380.29E-06  1380.29E-06
817740.E-01  1301.99E-06  1301.99E-06
908600.E-01  1277.61E-06  1277.61E-06
999460.E-01  1362.99E-06  1362.99E-06
109032.E+00  1383.77E-06  1383.77E-06
118118.E+00  1367.05E-06  1367.05E-06
127204.E+00  1391.45E-06  1391.45E-06
136290.E+00  1421.08E-06  1421.08E-06
145376.E+00  1368.98E-06  1368.98E-06
154462.E+00  1374.75E-06  1374.75E-06
163548.E+00  1428.55E-06  1428.55E-06
172634.E+00  1453.27E-06  1453.27E-06
181720.E+00  1492.32E-06  1492.32E-06
190806.E+00  1450.88E-06  1450.88E-06
199892.E+00  1437.69E-06  1437.69E-06
208978.E+00  1477.42E-06  1477.42E-06
218064.E+00  1538.90E-06  1538.90E-06
227150.E+00  1559.30E-06  1559.30E-06
236236.E+00  1539.74E-06  1539.74E-06
245322.E+00  1541.94E-06  1541.94E-06
254408.E+00  1557.55E-06  1557.55E-06
263494.E+00  1616.60E-06  1616.60E-06
272580.E+00  1624.02E-06  1624.02E-06
281666.E+00  1603.34E-06  1603.34E-06
290752.E+00  1670.10E-06  1670.10E-06
299838.E+00  1680.01E-06  1680.01E-06
308924.E+00  1632.75E-06  1632.75E-06
318010.E+00  1628.46E-06  1628.46E-06
327096.E+00  1716.39E-06  1716.39E-06
336182.E+00  1719.62E-06  1719.62E-06
345268.E+00  1703.80E-06  1703.80E-06
354354.E+00  1705.58E-06  1705.58E-06
363440.E+00  1743.11E-06  1743.11E-06
372526.E+00  1731.91E-06  1731.91E-06
381612.E+00  1822.27E-06  1822.27E-06
390698.E+00  1850.72E-06  1850.72E-06
399784.E+00  1779.30E-06  1779.30E-06
408870.E+00  1862.73E-06  1862.73E-06
417956.E+00  1904.09E-06  1904.09E-06
427042.E+00  1990.99E-06  1990.99E-06
436128.E+00  2034.31E-06  2034.31E-06
445214.E+00  1986.41E-06  1986.41E-06
454300.E+00  2119.27E-06  2119.27E-06
463386.E+00  2070.28E-06  2070.28E-06
472472.E+00  2075.26E-06  2075.26E-06
481558.E+00  2112.55E-06  2112.55E-06
490644.E+00  2263.51E-06  2263.51E-06
499730.E+00  2240.25E-06  2240.25E-06
508816.E+00  2285.70E-06  2285.70E-06
517902.E+00  2227.98E-06  2227.98E-06
526988.E+00  2215.70E-06  2215.70E-06
536074.E+00  2370.90E-06  2370.90E-06
545160.E+00  2434.69E-06  2434.69E-06
554246.E+00  2500.02E-06  2500.02E-06
563332.E+00  2546.89E-06  2546.89E-06
572418.E+00  2558.23E-06  2558.23E-06
581504.E+00  2616.60E-06  2616.60E-06
590590.E+00  2745.03E-06  2745.03E-06
599676.E+00  2691.95E-06  2691.95E-06
608762.E+00  2811.60E-06  2811.60E-06
617848.E+00  2837.79E-06  2837.79E-06
626934.E+00  3093.43E-06  3093.43E-06
636020.E+00  3203.26E-06  3203.26E-06
645106.E+00  3286.92E-06  3286.92E-06
654192.E+00  3377.61E-06  3377.61E-06
663278.E+00  3455.44E-06  3455.44E-06
672364.E+00  3586.77E-06  3586.77E-06
681450.E+00  3846.34E-06  3846.34E-06
690536.E+00  4012.11E-06  4012.11E-06
699622.E+00  4371.90E-06  4371.90E-06
708708.E+00  4567.56E-06  4567.56E-06
717794.E+00  5083.01E-06  5083.01E-06
726880.E+00  5308.32E-06  5308.32E-06
735966.E+00  5960.21E-06  5960.21E-06
745052.E+00  6785.30E-06  6785.30E-06
754138.E+00  7759.81E-06  7759.81E-06
763224.E+00  9552.33E-06  9552.33E-06
772310.E+00  1200.70E-05  1200.70E-05
781396.E+00  1429.29E-05  1429.29E-05
790482.E+00  1460.50E-05  1460.50E-05
799568.E+00  1188.48E-05  1188.48E-05
808654.E+00  7338.27E-06  7338.27E-06
817740.E+00  3309.88E-06  3309.88E-06
826826.E+00  1096.83E-06  1096.83E-06
835912.E+00  2704.54E-07  2704.54E-07
844998.E+00  4472.26E-08  4472.26E-08
854084.E+00  4515.91E-09  4515.91E-09
863170.E+00  4891.08E-10  4891.08E-10
872256.E+00  3191.99E-11  3191.99E-11
881342.E+00  0000.00E+00  0000.00E+00
890428.E+00  0000.00E+00  0000.00E+00
899514.E+00  0000.00E+00  0000.00E+00
908600.E+00  0000.00E+00  0000.00E+00
