====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 90860.E+01 A ;
  Layer # 1- Density = 6.413E22 atoms/cm3 = 10.22 g/cm3
  Layer # 1- Mo = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
908601.E-02  3942.25E-03  1025.57E-07
181720.E-01  3956.96E-03  3198.64E-07
272580.E-01  3973.08E-03  2475.95E-07
363440.E-01  3992.40E-03  3203.12E-07
454300.E-01  4012.99E-03  2964.62E-07
545160.E-01  4031.95E-03  3205.52E-07
636020.E-01  4054.14E-03  2970.40E-07
726880.E-01  4075.34E-03  3556.36E-07
817740.E-01  4096.65E-03  3219.03E-07
908600.E-01  4118.07E-03  2891.92E-07
999460.E-01  4139.68E-03  2975.30E-07
109032.E+00  4163.02E-03  3334.76E-07
118118.E+00  4187.14E-03  3232.27E-07
127204.E+00  4210.54E-03  3265.89E-07
136290.E+00  4234.68E-03  3301.50E-07
145376.E+00  4260.49E-03  3363.15E-07
154462.E+00  4285.84E-03  3118.13E-07
163548.E+00  4311.03E-03  3280.08E-07
172634.E+00  4336.22E-03  3385.58E-07
181720.E+00  4363.72E-03  3286.29E-07
190806.E+00  4390.09E-03  3719.52E-07
199892.E+00  4416.62E-03  3266.94E-07
208978.E+00  4444.07E-03  3420.25E-07
218064.E+00  4472.28E-03  3407.22E-07
227150.E+00  4502.68E-03  3550.37E-07
236236.E+00  4534.22E-03  3833.31E-07
245322.E+00  4565.21E-03  3415.47E-07
254408.E+00  4595.58E-03  3692.01E-07
263494.E+00  4628.74E-03  3678.55E-07
272580.E+00  4662.26E-03  3809.21E-07
281666.E+00  4694.89E-03  3765.44E-07
290752.E+00  4730.71E-03  3754.69E-07
299838.E+00  4765.89E-03  3872.59E-07
308924.E+00  4801.85E-03  3865.93E-07
318010.E+00  4839.78E-03  3835.55E-07
327096.E+00  4878.42E-03  3831.50E-07
336182.E+00  4918.60E-03  4038.87E-07
345268.E+00  4959.76E-03  3948.81E-07
354354.E+00  5000.01E-03  4008.91E-07
363440.E+00  5043.53E-03  3985.78E-07
372526.E+00  5088.72E-03  3887.11E-07
381612.E+00  5132.98E-03  4125.34E-07
390698.E+00  5181.00E-03  4153.95E-07
399784.E+00  5226.09E-03  4178.48E-07
408870.E+00  5275.71E-03  4168.39E-07
417956.E+00  5328.61E-03  4368.64E-07
427042.E+00  5379.70E-03  4426.31E-07
436128.E+00  5435.15E-03  4793.66E-07
445214.E+00  5492.53E-03  4500.93E-07
454300.E+00  5550.04E-03  4701.34E-07
463386.E+00  5612.08E-03  4839.96E-07
472472.E+00  5676.28E-03  4689.56E-07
481558.E+00  5741.64E-03  4702.10E-07
490644.E+00  5809.17E-03  5086.04E-07
499730.E+00  5879.00E-03  5297.20E-07
508816.E+00  5952.48E-03  5252.42E-07
517902.E+00  6029.61E-03  4956.48E-07
526988.E+00  6109.83E-03  5102.45E-07
536074.E+00  6194.21E-03  5073.28E-07
545160.E+00  6283.42E-03  5585.65E-07
554246.E+00  6374.92E-03  5491.90E-07
563332.E+00  6474.46E-03  5834.15E-07
572418.E+00  6578.04E-03  5636.08E-07
581504.E+00  6685.35E-03  5843.14E-07
590590.E+00  6798.58E-03  6105.81E-07
599676.E+00  6918.05E-03  6016.90E-07
608762.E+00  7048.84E-03  6196.25E-07
617848.E+00  7186.81E-03  6230.40E-07
626934.E+00  7335.43E-03  6656.81E-07
636020.E+00  7492.37E-03  7080.49E-07
645106.E+00  7664.59E-03  7263.18E-07
654192.E+00  7849.28E-03  7492.00E-07
663278.E+00  8048.70E-03  7509.86E-07
672364.E+00  8263.45E-03  7714.42E-07
681450.E+00  8507.03E-03  8363.97E-07
690536.E+00  8774.37E-03  8574.06E-07
699622.E+00  9068.82E-03  9468.26E-07
708708.E+00  9396.91E-03  9820.53E-07
717794.E+00  9784.19E-03  1077.64E-06
726880.E+00  1024.98E-02  1131.55E-06
735966.E+00  1082.87E-02  1255.43E-06
745052.E+00  1157.53E-02  1429.91E-06
754138.E+00  1251.73E-02  1607.71E-06
763224.E+00  1360.26E-02  1970.07E-06
772310.E+00  1443.02E-02  2493.50E-06
781396.E+00  1417.63E-02  2990.48E-06
790482.E+00  1204.61E-02  3113.13E-06
799568.E+00  8308.29E-03  2577.36E-06
808654.E+00  4441.44E-03  1623.29E-06
817740.E+00  1785.32E-03  7442.53E-07
826826.E+00  5346.51E-04  2497.97E-07
835912.E+00  1173.58E-04  6203.77E-08
844998.E+00  1825.96E-05  1065.59E-08
854084.E+00  1967.03E-06  1121.64E-09
863170.E+00  2108.19E-07  1163.52E-10
872256.E+00  7235.25E-09  7200.35E-12
881342.E+00  0000.00E+00  0000.00E+00
890428.E+00  0000.00E+00  0000.00E+00
899514.E+00  0000.00E+00  0000.00E+00
908600.E+00  0000.00E+00  0000.00E+00
