====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 83780.E+01 AAA ;
  Layer # 1- Density = 9.143E22 atoms/cm3 = 8.912 g/cm3
  Layer # 1- Ni = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
837801.E-02  1467.07E-06  1467.07E-06
167560.E-01  1552.36E-06  1552.36E-06
251340.E-01  1399.26E-06  1399.26E-06
335120.E-01  1412.64E-06  1412.64E-06
418900.E-01  1466.51E-06  1466.51E-06
502680.E-01  1458.77E-06  1458.77E-06
586460.E-01  1477.36E-06  1477.36E-06
670240.E-01  1526.59E-06  1526.59E-06
754020.E-01  1507.43E-06  1507.43E-06
837800.E-01  1557.10E-06  1557.10E-06
921580.E-01  1603.54E-06  1603.54E-06
100536.E+00  1630.73E-06  1630.73E-06
108914.E+00  1587.49E-06  1587.49E-06
117292.E+00  1581.27E-06  1581.27E-06
125670.E+00  1589.06E-06  1589.06E-06
134048.E+00  1578.69E-06  1578.69E-06
142426.E+00  1709.17E-06  1709.17E-06
150804.E+00  1642.44E-06  1642.44E-06
159182.E+00  1706.62E-06  1706.62E-06
167560.E+00  1707.46E-06  1707.46E-06
175938.E+00  1725.38E-06  1725.38E-06
184316.E+00  1739.25E-06  1739.25E-06
192694.E+00  1703.73E-06  1703.73E-06
201072.E+00  1780.52E-06  1780.52E-06
209450.E+00  1808.42E-06  1808.42E-06
217828.E+00  1750.43E-06  1750.43E-06
226206.E+00  1688.37E-06  1688.37E-06
234584.E+00  1762.20E-06  1762.20E-06
242962.E+00  1816.86E-06  1816.86E-06
251340.E+00  1778.02E-06  1778.02E-06
259718.E+00  1793.57E-06  1793.57E-06
268096.E+00  1947.82E-06  1947.82E-06
276474.E+00  1991.34E-06  1991.34E-06
284852.E+00  1980.42E-06  1980.42E-06
293230.E+00  1879.39E-06  1879.39E-06
301608.E+00  1898.18E-06  1898.18E-06
309986.E+00  1997.91E-06  1997.91E-06
318364.E+00  1962.38E-06  1962.38E-06
326742.E+00  1895.81E-06  1895.81E-06
335120.E+00  1938.34E-06  1938.34E-06
343498.E+00  2024.02E-06  2024.02E-06
351876.E+00  2052.93E-06  2052.93E-06
360254.E+00  1912.11E-06  1912.11E-06
368632.E+00  1975.01E-06  1975.01E-06
377010.E+00  2134.68E-06  2134.68E-06
385388.E+00  2183.94E-06  2183.94E-06
393766.E+00  2176.08E-06  2176.08E-06
402144.E+00  2200.08E-06  2200.08E-06
410522.E+00  2165.78E-06  2165.78E-06
418900.E+00  2238.86E-06  2238.86E-06
427278.E+00  2326.34E-06  2326.34E-06
435656.E+00  2408.74E-06  2408.74E-06
444034.E+00  2494.95E-06  2494.95E-06
452412.E+00  2416.52E-06  2416.52E-06
460790.E+00  2497.20E-06  2497.20E-06
469168.E+00  2548.66E-06  2548.66E-06
477546.E+00  2629.93E-06  2629.93E-06
485924.E+00  2599.18E-06  2599.18E-06
494302.E+00  2729.21E-06  2729.21E-06
502680.E+00  2755.03E-06  2755.03E-06
511058.E+00  2677.55E-06  2677.55E-06
519436.E+00  2904.05E-06  2904.05E-06
527814.E+00  3016.02E-06  3016.02E-06
536192.E+00  3000.52E-06  3000.52E-06
544570.E+00  3143.05E-06  3143.05E-06
552948.E+00  3164.00E-06  3164.00E-06
561326.E+00  3152.09E-06  3152.09E-06
569704.E+00  3432.77E-06  3432.77E-06
578082.E+00  3488.94E-06  3488.94E-06
586460.E+00  3553.48E-06  3553.48E-06
594838.E+00  3710.18E-06  3710.18E-06
603216.E+00  3838.08E-06  3838.08E-06
611594.E+00  3978.33E-06  3978.33E-06
619972.E+00  4113.37E-06  4113.37E-06
628350.E+00  4234.88E-06  4234.88E-06
636728.E+00  4555.08E-06  4555.08E-06
645106.E+00  4794.42E-06  4794.42E-06
653484.E+00  5026.78E-06  5026.78E-06
661862.E+00  5236.30E-06  5236.30E-06
670240.E+00  5738.44E-06  5738.44E-06
678618.E+00  6306.12E-06  6306.12E-06
686996.E+00  6973.62E-06  6973.62E-06
695374.E+00  7987.41E-06  7987.41E-06
703752.E+00  9417.59E-06  9417.59E-06
712130.E+00  1204.17E-05  1204.17E-05
720508.E+00  1666.75E-05  1666.75E-05
728886.E+00  2266.72E-05  2266.72E-05
737264.E+00  2564.80E-05  2564.80E-05
745642.E+00  2242.72E-05  2242.72E-05
754020.E+00  1410.41E-05  1410.41E-05
762398.E+00  6277.42E-06  6277.42E-06
770776.E+00  1942.09E-06  1942.09E-06
779154.E+00  4195.70E-07  4195.70E-07
787532.E+00  6585.19E-08  6585.19E-08
795910.E+00  5220.34E-09  5220.34E-09
804288.E+00  2562.39E-10  2562.39E-10
812666.E+00  0000.00E+00  0000.00E+00
821044.E+00  0000.00E+00  0000.00E+00
829422.E+00  0000.00E+00  0000.00E+00
837800.E+00  0000.00E+00  0000.00E+00
