====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 5000 keV
 Total Ions calculated =1000000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 15276.E+02 AAA ;
  Layer # 1- Density = 5.711E22 atoms/cm3 = 4.54 g/cm3
  Layer # 1- Ti = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 135365.E+01 A   Straggling = 362972.E-01 A
 Ion Lateral Range = 509024.E-01 A   Straggling = 719910.E-01 A
 Ion Radial  Range = 799851.E-01 A   Straggling = 630551.E-01 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1527601.E-02 27586374.E-02 27586374.E-02 27898001.E-02 00000000.E+00 
3055201.E-02 30781351.E-02 32967772.E-02 70141397.E-02 36205753.E-02 
4582801.E-02 58613681.E-02 65590928.E-02 77373422.E-02 29998729.E-02 
6110401.E-02 50517902.E-02 60492970.E-02 66560727.E-02 22620270.E-02 
7638001.E-02 46444578.E-02 66477828.E-02 65506985.E-02 38282806.E-02 
9165601.E-02 36858779.E-02 36880827.E-02 51355802.E-02 11027511.E-02 
1069320.E-01 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1222080.E-01 42855653.E-02 49447621.E-02 89998318.E-02 28201589.E-02 
1374840.E-01 36209676.E-02 44531932.E-02 75291258.E-02 39578529.E-02 
1527600.E-01 70285246.E-02 70285246.E-02 10803803.E-01 00000000.E+00 
1680360.E-01 58303791.E-02 73263410.E-02 94611394.E-02 21301545.E-02 
1833120.E-01 53298488.E-02 56002298.E-02 73326911.E-02 20079220.E-02 
1985880.E-01 29814303.E-02 32735419.E-02 72706067.E-02 18715070.E-02 
2138640.E-01 41114902.E-02 48354576.E-02 77650194.E-02 30755511.E-02 
2291400.E-01 38679958.E-02 38853333.E-02 76312868.E-02 32843303.E-02 
2444160.E-01 39663787.E-02 45944250.E-02 68354453.E-02 28328640.E-02 
2596920.E-01 29830374.E-02 45910529.E-02 85654130.E-02 20572862.E-02 
2749680.E-01 52942695.E-02 60495156.E-02 88717760.E-02 28218326.E-02 
2902440.E-01 36737305.E-02 51968917.E-02 71421336.E-02 31226428.E-02 
3055200.E-01 59476067.E-02 69512865.E-02 90904819.E-02 33921861.E-02 
3207960.E-01 38166935.E-02 44349818.E-02 89201606.E-02 35260905.E-02 
3360720.E-01 42989071.E-02 46552180.E-02 76435616.E-02 24040585.E-02 
3513480.E-01 57883209.E-02 63981993.E-02 83851774.E-02 26960930.E-02 
