====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 5000  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     2.E+06 A   Layer # 1- Density = 5.711E22 atoms/cm3 = 4.54 g/cm3
  Layer # 1- Ti = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   135.4E+04 A   Straggling =   363.0E+02 A
 Ion Lateral Range =   509.0E+02 A   Straggling =   719.9E+02 A
 Ion Radial  Range =   799.9E+02 A   Straggling =   630.6E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =67
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -009.6988  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 224.0571  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
152760.E-01  6.5462E-03  0.0000E+00
305520.E-01  2.6185E-02  0.0000E+00
458280.E-01  3.2731E-02  0.0000E+00
611040.E-01  2.6185E-02  0.0000E+00
763800.E-01  2.6185E-02  0.0000E+00
916560.E-01  1.3092E-02  0.0000E+00
106932.E+00  0.0000E+00  0.0000E+00
122208.E+00  3.2731E-02  0.0000E+00
137484.E+00  3.9277E-02  0.0000E+00
152760.E+00  6.5462E-03  0.0000E+00
168036.E+00  4.5824E-02  0.0000E+00
183312.E+00  2.6185E-02  0.0000E+00
198588.E+00  2.6185E-02  0.0000E+00
213864.E+00  4.5824E-02  0.0000E+00
229140.E+00  3.2731E-02  0.0000E+00
244416.E+00  7.8555E-02  0.0000E+00
259692.E+00  2.6185E-02  0.0000E+00
274968.E+00  5.8916E-02  0.0000E+00
290244.E+00  2.6185E-02  0.0000E+00
305520.E+00  1.9639E-02  0.0000E+00
320796.E+00  4.5824E-02  0.0000E+00
336072.E+00  3.2731E-02  0.0000E+00
351348.E+00  5.8916E-02  0.0000E+00
366624.E+00  3.9277E-02  0.0000E+00
381900.E+00  1.9639E-02  0.0000E+00
397176.E+00  3.2731E-02  0.0000E+00
412452.E+00  4.5824E-02  0.0000E+00
427728.E+00  4.5824E-02  0.0000E+00
443004.E+00  7.2008E-02  0.0000E+00
