====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 69440.E+01 A ;
  Layer # 1- Density = 6.305E22 atoms/cm3 = 19.25 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
694401.E-02  5545.34E-03  1261.90E-07
138880.E-01  5565.43E-03  3394.39E-07
208320.E-01  5591.47E-03  3257.98E-07
277760.E-01  5620.55E-03  3502.38E-07
347200.E-01  5649.87E-03  3742.58E-07
416640.E-01  5681.57E-03  3623.65E-07
486080.E-01  5710.42E-03  3927.99E-07
555520.E-01  5741.87E-03  3916.47E-07
624960.E-01  5773.25E-03  3902.70E-07
694400.E-01  5806.36E-03  4102.69E-07
763840.E-01  5838.96E-03  3878.22E-07
833280.E-01  5869.97E-03  3912.48E-07
902720.E-01  5905.02E-03  3688.42E-07
972160.E-01  5940.60E-03  4054.75E-07
104160.E+00  5975.33E-03  4117.38E-07
111104.E+00  6012.75E-03  3890.01E-07
118048.E+00  6048.93E-03  3999.89E-07
124992.E+00  6086.71E-03  4286.65E-07
131936.E+00  6124.60E-03  4374.20E-07
138880.E+00  6165.66E-03  4229.27E-07
145824.E+00  6205.48E-03  4277.62E-07
152768.E+00  6244.43E-03  4320.20E-07
159712.E+00  6287.84E-03  4353.26E-07
166656.E+00  6329.80E-03  4292.00E-07
173600.E+00  6373.44E-03  4434.88E-07
180544.E+00  6419.15E-03  4456.69E-07
187488.E+00  6462.31E-03  4212.96E-07
194432.E+00  6511.19E-03  4383.96E-07
201376.E+00  6558.06E-03  4726.28E-07
208320.E+00  6603.65E-03  4729.30E-07
215264.E+00  6655.38E-03  4569.54E-07
222208.E+00  6706.32E-03  4588.48E-07
229152.E+00  6760.19E-03  4879.32E-07
236096.E+00  6815.61E-03  4667.79E-07
243040.E+00  6870.04E-03  4723.13E-07
249984.E+00  6927.11E-03  4668.19E-07
256928.E+00  6984.93E-03  4779.80E-07
263872.E+00  7047.65E-03  4891.13E-07
270816.E+00  7108.56E-03  5028.69E-07
277760.E+00  7172.32E-03  5220.70E-07
284704.E+00  7238.47E-03  5423.40E-07
291648.E+00  7309.62E-03  5414.85E-07
298592.E+00  7381.99E-03  5361.59E-07
305536.E+00  7454.23E-03  5387.54E-07
312480.E+00  7525.17E-03  5493.43E-07
319424.E+00  7603.60E-03  5518.65E-07
326368.E+00  7685.82E-03  5683.08E-07
333312.E+00  7767.38E-03  5944.43E-07
340256.E+00  7854.68E-03  5834.63E-07
347200.E+00  7942.84E-03  5953.03E-07
354144.E+00  8032.99E-03  5947.79E-07
361088.E+00  8133.23E-03  6163.88E-07
368032.E+00  8234.65E-03  6252.76E-07
374976.E+00  8335.35E-03  6284.02E-07
381920.E+00  8450.99E-03  6674.59E-07
388864.E+00  8567.65E-03  6582.24E-07
395808.E+00  8689.27E-03  6776.31E-07
402752.E+00  8812.25E-03  6850.18E-07
409696.E+00  8939.94E-03  7146.99E-07
416640.E+00  9077.53E-03  7287.86E-07
423584.E+00  9226.48E-03  7555.05E-07
430528.E+00  9382.37E-03  7463.71E-07
437472.E+00  9545.06E-03  7874.62E-07
444416.E+00  9719.78E-03  8239.40E-07
451360.E+00  9911.38E-03  8325.79E-07
458304.E+00  1010.68E-02  8714.39E-07
465248.E+00  1031.58E-02  8956.44E-07
472192.E+00  1054.84E-02  9415.78E-07
479136.E+00  1080.06E-02  9757.50E-07
486080.E+00  1106.58E-02  1010.44E-06
493024.E+00  1135.83E-02  1068.42E-06
499968.E+00  1167.28E-02  1106.73E-06
506912.E+00  1203.04E-02  1185.93E-06
513856.E+00  1241.83E-02  1258.44E-06
520800.E+00  1286.99E-02  1351.48E-06
527744.E+00  1337.68E-02  1481.28E-06
534688.E+00  1395.61E-02  1570.87E-06
541632.E+00  1459.72E-02  1774.22E-06
548576.E+00  1528.04E-02  2026.12E-06
555520.E+00  1593.25E-02  2332.75E-06
562464.E+00  1634.00E-02  2722.31E-06
569408.E+00  1609.51E-02  3159.30E-06
576352.E+00  1465.60E-02  3408.59E-06
583296.E+00  1181.74E-02  3272.74E-06
590240.E+00  8076.99E-03  2622.40E-06
597184.E+00  4508.25E-03  1685.75E-06
604128.E+00  2016.30E-03  8507.60E-07
611072.E+00  7106.79E-04  3369.24E-07
618016.E+00  1927.98E-04  9897.25E-08
624960.E+00  3991.61E-05  2219.90E-08
631904.E+00  5893.69E-06  3741.30E-09
638848.E+00  7525.06E-07  3884.65E-10
645792.E+00  1203.74E-07  8697.00E-11
652736.E+00  1760.47E-09  3689.54E-12
659680.E+00  0000.00E+00  0000.00E+00
666624.E+00  0000.00E+00  0000.00E+00
673568.E+00  0000.00E+00  0000.00E+00
680512.E+00  0000.00E+00  0000.00E+00
687456.E+00  0000.00E+00  0000.00E+00
694400.E+00  0000.00E+00  0000.00E+00
